"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","barcode","phylum","continentOcean","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","class","order","identifiedBy","yearIdentified","monthIdentified","dayIdentified","imagecode","minimumElevationInMeters","maximumElevationInMeters","individualCount","typeStatus","preparationType"
"1","2021-02-18 09:30:27-03","UNESP-IBB","BOTU","16954","PreservedSpecimen","Plantae","Poaceae","Chascolytrum","bulbosum","Chascolytrum bulbosum","(Parodi) Essi, Longhi-Wagner & Souza-Chies","Kleinnbing","32","1972","09","22","Brasil","Rio Grande do Sul","Pelotas","Campus - IPEAS-UFPEL","9999","9999","BOTU016954",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-15 11:47:51-02","IPA","IPA","20641","S","Plantae","Poaceae","Erianthecium","bulbosum","Erianthecium bulbosum","Parodi","Morais; Moretti; Murat; Nobre; Tabin; Moretti; Murat; Nobre; Tabin","28","1972","10","27","Brasil","Rio Grande do Sul","Pelotas","Campus IPEAS-UFPEL.",NA,NA,"IPA0020641","Plantae","Southern America","-52.3424987792969","-31.771900177002","51462","Ocasional, solo areno-argiloso.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:25:56-03","IAP","PACA-AGP","63392","PreservedSpecimen","Plantae","Gramineae","Erianthecium","bulbosum","Erianthecium bulbosum","Par.","J. C. Sacco","185","1954","10","05","Brasil","RS","Pelotas",NA,NA,NA,"PACA063392","Magnoliophyta",NA,"-52.3424987792969","-31.771900177002","51462","Habitat: in campestribus","auto","Liliatae","Cyperales","Parodi-Swallen",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:25:56-03","IAP","PACA-AGP","52737","PreservedSpecimen","Plantae","Gramineae","Erianthecium","bulbosum","Erianthecium bulbosum","Par.","Beetle, A. A.","2226","1952","08","25","Brasil","RS","Pelotas","Inst. de Agricultura",NA,NA,"PACA052737","Magnoliophyta",NA,"-52.3424987792969","-31.771900177002","51462","Cmfirmado por: L. Essi, 11.2006. Habitat: in prato Fenofase: fruto","auto","Liliatae","Cyperales","H. Longhi","1975","06","10",NA,NA,NA,NA,NA,NA
"5","2019-11-19 14:08:49-03","UFRPE","PEUFR","4036","PreservedSpecimen","Plantae","Poaceae","Erianthecium","bulbosum","Erianthecium bulbosum","Parodi","Almeida; Romero; Martins; Netto; Tôrres; Amaral","27","1972","10","20","Brasil","Rio Grande do Sul","Pelotas","Campus IPEAS-UFPEL",NA,NA,"PEUFR004036",NA,NA,"-52.3424987792969","-31.771900177002","51462","Escassa","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-01-27 14:32:56-03","UFSM","SMDB","1135","S","Plantae","Poaceae","Chascolytrum","bulbosum","Chascolytrum bulbosum","(Parodi) L. Essi, Longhi-Wagner & Souza-Chies","Bernardes.; et al.","12","1972","10","17","Brasil","Rio Grande do Sul","Pelotas","Campus UFPEL",NA,NA,"SMDB001135",NA,NA,"-52.3424987792969","-31.771900177002","51462",NA,"auto",NA,NA,"Essi, L","2019","06","18","SMDB001135",NA,NA,NA,NA,NA
"7","2012-02-06 06:10:00-02","MO","MOBOT","2479802","PreservedSpecimen","Plantae","Poaceae","Erianthecium","bulbosum","Erianthecium bulbosum","Parodi","Hilda M. Longhi-Wagner|et al.","Longhi-Wagner 208",NA,NA,NA,"Brazil","Rio Grande do Sul",NA,"Piratini",NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2009-08-21 20:53:00-03","MO","MOBOT","2516044","PreservedSpecimen","Plantae","Poaceae","Erianthecium","bulbosum","Erianthecium bulbosum","Parodi","Bernardo Rosengurtt","Rosengurtt 3154","1939","10","15","Uruguay",NA,NA,"Minas, cerro Arequipa",NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,"Mujica Sallés, J.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-19 11:20:04-03","UFG","UFG","8868","S","Plantae","Poaceae","Erianthecium","bulbosum","Erianthecium bulbosum","L.Parodi","Zanatta, M.; De Marco; Fernandes; Nienaber & Santos","34","1972","10","25","Brasil","Rio Grande do Sul","Pelotas","Campus - IPEAS-UFPEL.",NA,NA,NA,NA,NA,"-52.3424987792969","-31.771900177002","51462","Escassa.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-26 14:12:49-03","CPACT","ECT","4447","PreservedSpecimen","Plantae","Poaceae","Chascolytrum","bulbosum","Chascolytrum bulbosum","(Parodi) L. Essi, Longhi-Wagner & Souza-Chies","M.M.Marchi; J.Villela","4142","2012","12","03","Brasil","Rio Grande do Sul","Tapes","Fazenda São Miguel, área de conservação do banco de germoplasma in situ da Butia odorata, área 1 de monitoramento. Campo nativo, ecossistema de butiazal.","51º21'35''W","30º31'22''S","ECT0004447","Embryophyta",NA,"-51.359722","-30.522778",NA,NA,NA,NA,NA,"M.M.Marchi","2012","12","03","ECT0004447","40","40",NA,NA,NA
