"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","year","month","day","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","coordinatePrecision","geoFlag","fieldNumber","verbatimLongitude","verbatimLatitude"
"1","2020-09-23 10:36:28-03","E","E","265152","PreservedSpecimen","Plantae","Begoniaceae","Begonia","undulata","Begonia undulata","unspecified kind of","Mr. Otto","E. Tropical South America","BR","photograph of unspecified type","BGBASE:279736","<a href=http://data.rbge.org.uk/herb/E00265152 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00265152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","884719","PreservedSpecimen","Plantae","Begoniaceae","Begonia","salicifolia","Begonia salicifolia",NA,"L. B. Smith","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965404' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884719","Magnoliophyta","Cucurbitales","A.DC.","1416","1928","12","04","Rio de Janeiro","Brook trail between Paineiras and Jardim Botanico, Rio de Janeiro.","-43.2247853","-22.9644984","100","400","NY00884719_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02700139","PreservedSpecimen","Plantae","Begoniaceae","Begonia","undulata","Begonia undulata",NA,"C. F. P. von Martius","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2992640' target='other'> <mi>dwc_moreinfo</mi></a>","NY02700139","Magnoliophyta","Cucurbitales","Schott","s.n.","1829",NA,NA,NA,NA,NA,NA,NA,NA,"NY02700139_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:35:24-03","EAO","IAN","34258","PreservedSpecimen","Plantae","Begoniaceae","Begonia","undulata","Begonia undulata",NA,"Schott, HW","Southern America","Brasil",NA,NA,NA,"IAN034258","Dicotiledônea",NA,"Schott","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN034258 IAN034258_e IAN034258_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:59:06-03","NBC","NL-BOTANY","L.2481518","PreservedSpecimen","Plantae","Begoniaceae","Begonia","salicifolia","Begonia salicifolia",NA,"Bailey LH; Bailey EZ","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2481518 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2481518",NA,"Cucurbitales","A.DC.",NA,"1924","01","29",NA,"Corcovado Range, Estado do Rio Janeiro. Native in forets; estimate fls, nearly white fruits pink.",NA,NA,NA,NA,"NL-L2481518","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:59:11-03","NBC","NL-BOTANY","L.2481275","PreservedSpecimen","Plantae","Begoniaceae","Begonia","undulata","Begonia undulata",NA,"Unreadable","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2481275 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2481275",NA,"Cucurbitales","Schott",NA,NA,NA,NA,NA,"Brasilia.",NA,NA,NA,NA,"NL-L2481275","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:03:00-03","ESALQ","ESA","111738","PreservedSpecimen","Plantae","Begoniaceae","Begonia","cf. salicifolia","Begonia cf. salicifolia",NA,"Feliciano, C.D.",NA,"Brasil",NA,NA,NA,"ESA111738","Magnoliophyta",NA,"A.DC.",NA,"2001","07","17","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,"ESA111738",NA,"Kollmann, L.","2019","03","15","Rio de Janeiro","57442","auto",NA,NA,NA
"8","2015-07-02 14:01:06-03","JBP","HPL","1938","S","Plantae","Begoniaceae","Begonia","undulata","Begonia undulata",NA,"E.R. Salviani & H. Lorenzi",NA,"Brasil",NA,NA,NA,NA,NA,NA,"Schott","1556","2000","08","16","RJ","Sítio R. Burle Marx.","-43.2075","-22.9028",NA,NA,NA,NA,"E.R. Salviani & H. Lorenzi","2000","08","16","Rio de Janeiro","57442","auto",NA,NA,NA
"9","2016-02-02 14:37:50-02","BGBM","B","B 10 0243051","S","Plantae","Begoniaceae","Begonia","undulata","Begonia undulata","type","H. W. Schott","Middle and South America","Brazil",NA,NA,"<a href=http://herbarium.bgbm.org/object/B100243051 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100243051",NA,NA,"Schott",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B100243051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 09:29:45-03","UFRRJ","RBR","35867","S","Plantae","Begoniaceae","Begonia","undulata","Begonia undulata",NA,"D. Sucre",NA,"Brasil",NA,NA,NA,"RBR00035867",NA,NA,"Schott","7919","1971","11","18","Rio de Janeiro","Serra da Piaba, Vertente Sul, Elev.: 50-100.","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"E.L. Jacques","2006","08",NA,"Rio de Janeiro","57442","auto",NA,NA,NA
