"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","preparationType","occurrenceRemarks","class","relatedCatalogItem","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount"
"1","2021-04-05 14:33:23-03","UNESC","CRI","4140","PreservedSpecimen","Plantae","Celastraceae","Schaefferia","argentinensis","Schaefferia argentinensis","Speg.","Marcos Sobral","V. P. Boff","1995","09","09","Brasil","Santa Catarina","Fraiburgo","-50.921667","-27.026667","50º55'18''W","27º1'36''S","1021","1021","CRI006444","CRI006444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","230326","PreservedSpecimen","Plantae","Celastraceae","Schaefferia","argentinensis","Schaefferia argentinensis","Speg.","M. H. Nee","M. H. Nee","1998","02","01","Bolivia","Santa Cruz","Florida","-63.78","-18.17",NA,NA,"1300","1300","NY00230326",NA,"Magnoliophyta","Celastrales","48216","South America","Bottom of valley of Río Achira and steep slopes above highway from Santa Cruz to Samaipata, near cemetery near Achira.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=588919' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02474144","PreservedSpecimen","Plantae","Celastraceae","Schaefferia","argentinensis","Schaefferia argentinensis","Speg.",NA,"L. Biral","2012","10","27","Brazil","São Paulo","Botucatu","-48.8547","-22.13",NA,NA,"616",NA,"NY02474144","NY02474144_01","Magnoliophyta","Celastrales","799","South America","Mata da Pavuna. Rodovia Marechal Rondon KM 259. Trilha da direita para cachoeira. Lado esquerdo da trilha.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685547' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02474127","PreservedSpecimen","Plantae","Celastraceae","Schaefferia","argentinensis","Schaefferia argentinensis","Speg.",NA,"L. Biral","2010","01","13","Brazil","São Paulo","Botucatu","-48.8542","-22.13",NA,NA,NA,NA,"NY02474127","NY02474127_01","Magnoliophyta","Celastrales","589","South America","Mata da Pavuna, pela trilha à direita, na mata à esquerda, antes do início da descida que leva à cachoeira.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685515' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:58:11-03","NBC","NL-BOTANY","AMD.50486","PreservedSpecimen","Plantae","Celastraceae","Schaefferia","argentinensis","Schaefferia argentinensis","Speg.",NA,"Herter WG","1931","11","01","Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,"NL-AMD50486","NL-AMD50486",NA,"Celastrales",NA,"Southern America","Dep de Minas, Penitente.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.50486 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:58:11-03","NBC","NL-BOTANY","L.2277804","PreservedSpecimen","Plantae","Celastraceae","Schaefferia","argentinensis","Schaefferia argentinensis","Speg.",NA,"Rojas T","1938","10","01","Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,"NL-L2277804","NL-L2277804",NA,"Celastrales",NA,"Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2277804 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae","L 0096876",NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:58:11-03","NBC","NL-BOTANY","L.2277805","PreservedSpecimen","Plantae","Celastraceae","Schaefferia","argentinensis","Schaefferia argentinensis","Speg.",NA,"Pedersen TM","1970","01","29","Argentina","Corrientes",NA,NA,NA,NA,NA,NA,NA,"NL-L2277805","NL-L2277805",NA,"Celastrales",NA,"Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2277805 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae","L 0096877",NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:58:11-03","NBC","NL-BOTANY","L.2277806","PreservedSpecimen","Plantae","Celastraceae","Schaefferia","argentinensis","Schaefferia argentinensis","Speg.",NA,"Pedersen TM","1977","10","05","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,"NL-L2277806","NL-L2277806",NA,"Celastrales",NA,"Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2277806 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae","L 0096878",NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:58:11-03","NBC","NL-BOTANY","L.3748807","PreservedSpecimen","Plantae","Celastraceae","Schaefferia","argentinensis","Schaefferia argentinensis","Speg.",NA,"Solomon JC","1983","10","02","Bolivia",NA,NA,"-64.266667","-21.416667","-64.266667","-21.416667",NA,NA,"NL-L3748807","NL-L3748807",NA,"Celastrales",NA,"Southern America","Tarija: O'Connor Province, 1.5 km E of (below) Narvaez on road to Entre Rios.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3748807 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:58:11-03","NBC","NL-BOTANY","U.1197965","PreservedSpecimen","Plantae","Celastraceae","Schaefferia","argentinensis","Schaefferia argentinensis","Speg.",NA,"Pedersen TM","1957","09","23","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,"NL-U1197965","NL-U1197965",NA,"Celastrales",NA,"Southern America","University Copenhagen, Ricon de Luna, estancia 'La Alicia Ana', Dep. Concepcion, Prov. Corrientes.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1197965 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
