"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","kingdom","identifiedBy","recordNumber","continentOcean","phylum","class","year","decimalLongitude","decimalLatitude"
"1","2015-09-04 19:28:48-03","MNHN","RECOLNAT_MNHN_P","P00711001","PreservedSpecimen","Lauraceae","Nectandra","impressa","Nectandra impressa","Mez","holotype","Ferreira","Brésil","Para","hb","Comm. Geoffroy St. Hil. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00711001' target='other'> <mi>dwc_moreinfo</mi></a>","P00711001","P00711001_01 P00711001_02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-09-05 06:51:57-03","MNHN","RECOLNAT_MNHN_P","P00711002","PreservedSpecimen","Lauraceae","Nectandra","impressa","Nectandra impressa","Mez","holotype","Ferreira","Brésil","Para","hb","Comm. Geoffroy St. Hilaire <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00711002' target='other'> <mi>dwc_moreinfo</mi></a>","P00711002","P00711002_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2009-06-25 21:22:00-03","MO","MOBOT","1811993","PreservedSpecimen","Lauraceae","Nectandra","impressa","Nectandra impressa","Mez",NA,"Anonymous","Brazil",NA,NA,NA,NA,NA,"Plantae","J.G. Rohwer (MO)","Anonymous s.n.","South America",NA,NA,NA,NA,NA
"4","2019-09-04 18:19:48-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Lauraceae","Nectandra","impressa","Nectandra impressa",NA,NA,"A. Glaziou","Brazil",NA,NA,NA,NA,NA,"Plantae",NA,"22044","South America","Spermatophyta","Dicotyledoneae","1894","-52.8731","-10.8339"
"5","2019-09-04 18:10:09-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Lauraceae","Nectandra","impressa","Nectandra impressa",NA,"Type [status unknown]",NA,"Brazil",NA,NA,NA,NA,NA,"Plantae",NA,NA,"South America","Spermatophyta","Dicotyledoneae",NA,"-52.8731","-10.8339"
