"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","fieldNumber","preparationType","class","order","dayIdentified","sex"
"1","2019-10-09 11:27:41-03","UFBA","ALCB","81863","PreservedSpecimen","Plantae","Monocotyledon","Bromeliaceae","Vriesea","wawranea","Vriesea wawranea","Antoine","Wanderley, MGL","2007","12","Roque, N; Carvalho, G; Alunos de Botânica III","1752","2007","11","10","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina","-41.207778","-11.591667","-41.207778","-11.591667","1297","1297","em solo arenoso ca. 1,6m alt. Eixo da inflorescência verde, botões amarelos com manchas e pintas vináceas.","ALCB035957","ALCB035957 ALCB035957_1",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-07 08:35:21-03","MN","R","214611","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","oleosa","Vriesea oleosa","Leme",NA,NA,NA,"Moura, R.","792","2009","04","14",NA,"Brasil","Bahia","Camacan",NA,"-39.4958000183105","-15.4191999435425",NA,NA,NA,NA,NA,"R010018061",NA,"22686","auto",NA,NA,NA,NA,NA,NA
"3","2021-02-07 08:35:21-03","MN","R","214612","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","oleosa","Vriesea oleosa","Leme",NA,NA,NA,"Moura, R.","787","2009","04","07",NA,"Brasil","Bahia","Itajuípe",NA,"-39.375","-14.6780996322632",NA,NA,NA,NA,NA,"R010018058",NA,"21442","auto",NA,NA,NA,NA,NA,NA
"4","2021-02-07 08:35:31-03","MN","R","219349","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","wawranea","Vriesea wawranea","Antoine","Moura, R.","2014","01","Moura, R. 506; Vianna-Filho, M.D.M. & Carrijo, T.T.",NA,"2008","01","19",NA,"Brasil","Espírito Santo","Vargem Alta",NA,"-41.007731","-20.682644","41°0'27.83W","20°40'57.52S",NA,NA,NA,"R010019888",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-31 13:37:05-03","MN","R","219353","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","wawranea","Vriesea wawranea","Antoine","Moura, R.","2014","01","Moura, R. 442; Costa, A.F., Gomes-da-Silva, J. & França, C.",NA,"2007","12","11",NA,"Brasil","Rio de Janeiro","Paraty",NA,"-44.833608","-23.199789","44°50'0.99W","23°11'59.24S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-07 08:35:31-03","MN","R","214796","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","wawranea","Vriesea wawranea","Antoine",NA,NA,NA,"Moura, R.","455","2008","01","16",NA,"Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,NA,"R010019893",NA,"23813","auto",NA,NA,NA,NA,NA,NA
"7","2021-02-07 08:35:31-03","MN","R","191126","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","wawranea","Vriesea wawranea","Antoine",NA,NA,NA,"Costa, A.F.","534","1995","10","19",NA,"Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,NA,"R010019891",NA,"23813","auto",NA,NA,NA,NA,NA,NA
"8","2021-02-07 08:35:31-03","MN","R","214797","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","wawranea","Vriesea wawranea","Antoine",NA,NA,NA,"Moura, R.","611","2008","07","21",NA,"Brasil","Pernambuco","Taquaritinga do Norte",NA,"-36.0442008972168","-7.90305995941162",NA,NA,NA,NA,NA,"R010019892",NA,"25558","auto",NA,NA,NA,NA,NA,NA
"9","2021-02-07 08:35:31-03","MN","R","214798","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","wawranea","Vriesea wawranea","Antoine",NA,NA,NA,"Moura, R.","612","2008","07","21",NA,"Brasil","Pernambuco","Taquaritinga do Norte",NA,"-36.0442008972168","-7.90305995941162",NA,NA,NA,NA,NA,"R010019890",NA,"25558","auto",NA,NA,NA,NA,NA,NA
"10","2021-03-31 13:37:05-03","MN","R","219362","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","wawranea","Vriesea wawranea","Antoine","Moura, R.","2014","01","França, C.R.P.; Costa, A., Gomes-da-Silva, J. & Moura, R.",NA,"2007","12","11",NA,"Brasil","Rio de Janeiro","Paraty",NA,"-44.7131004333496","-23.2178001403809",NA,NA,NA,NA,NA,NA,NA,"34470","auto",NA,NA,NA,NA,NA,NA
