"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","coordinatePrecision","geoFlag","infraspecificEpithet","monthIdentified","dayIdentified","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00923946","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","panniculatus","Diplusodon panniculatus","Koehne","T. B. Cavalcanti","S. A. Mori","16947","1984","07","24","South America","Brazil","Goiás","Cristalina","BR 040, 1 km SE of Cristalina, km 107.","-47.6133","-16.7686","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014257' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923946","NY00923946_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00923945","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","panniculatus","Diplusodon panniculatus","Koehne","T. B. Cavalcanti","S. Romaniuc Neto","388","1985","07","31","South America","Brazil","Goiás","Cristalina",NA,"-47.6133","-16.7686",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014254' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923945","NY00923945_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00923944","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","panniculatus","Diplusodon panniculatus","Koehne","A. Lourteig","H. S. Irwin","9717","1965","11","01","South America","Brazil","Goiás","Cristalina","Serra dos Cristais. 5 km W. of Cristalina","-47.6","-16.79518","1175","1175","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014251' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923944","NY00923944_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:43:20-03","EAO","IAN","135145","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lythraceae","Diplusodon","panniculatus","Diplusodon panniculatus","Koehne","Lourteig, A","Irwin, HS; Souza, R","9717","1965","11","01","Southern America","Brasil","Goiás",NA,"5km Cristalina. Low weedy vegetation among rocks.","-48","-17","1175","1175",NA,"Simple or few-branched shrub ca. 75cm tall. Fruit dried.","IAN135145",NA,"1968","-48","-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:43:20-03","EAO","IAN","22093","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lythraceae","Diplusodon","panniculatus","Diplusodon panniculatus","Koehne",NA,"Glaziou, AFM","21416",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN022093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:32:20-03","MBM","MBM","86975","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","paniculatus","Diplusodon paniculatus","Koehne","Lourteig, A.","Hatschbach, G.","46597",NA,NA,NA,"Southern America","Brazil","Goiás","Campo Alegre","Campo Alegre, arredores",NA,NA,NA,NA,NA,NA,"MBM086975","MBM086975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-11-07 05:10:51-02","MNHN","RECOLNAT_MNHN_P","P01901865","PreservedSpecimen",NA,NA,NA,"Lythraceae","Diplusodon","panniculatus","Diplusodon panniculatus","Koehne",NA,"Glaziou, A.",NA,"1895","9","19",NA,"Brésil",NA,NA,"Entre Cabeceiro do Rio Sambambaia et ponzo de Barbatimao (Goyaz)",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01901865' target='other'> <mi>dwc_moreinfo</mi></a>","P01901865","P01901865_01",NA,NA,NA,"isotype","21416",NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-09-05 04:02:30-03","MNHN","RECOLNAT_MNHN_P","P05092039","PreservedSpecimen",NA,NA,NA,"Lythraceae","Diplusodon","panniculatus","Diplusodon panniculatus","Koehne",NA,"Irwin, H.S.|Santos, R.R.|Souza, R.",NA,"1965","11","1",NA,"Brasil","Goiás","Cristalina","5 km S of Cristalina","-47.6136016845703","-16.7686004638672","1175",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05092039' target='other'> <mi>dwc_moreinfo</mi></a>","P05092039","P05092039_01",NA,NA,NA,NA,"9717","85457","auto",NA,NA,NA,NA,NA,NA
"9","2015-09-05 04:02:30-03","MNHN","RECOLNAT_MNHN_P","P05092040","PreservedSpecimen",NA,NA,NA,"Lythraceae","Diplusodon","panniculatus","Diplusodon panniculatus","Koehne",NA,"Mori, S.A.|Silva, L.A.M.|Mitchell, J.|Ferreira, F.R.",NA,"1984","7","24",NA,"Brasil","Goiás","Cristalina","BR040, 1km SE of Cristalina, km 107 Campo Rupestre.","-47.6136016845703","-16.7686004638672","1250",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05092040' target='other'> <mi>dwc_moreinfo</mi></a>","P05092040","P05092040_01",NA,NA,NA,NA,"16947","85457","auto",NA,NA,NA,NA,NA,NA
"10","2015-09-05 04:02:30-03","MNHN","RECOLNAT_MNHN_P","P05092038","PreservedSpecimen",NA,NA,NA,"Lythraceae","Diplusodon","panniculatus","Diplusodon panniculatus","Koehne",NA,"Hatschbach, G.",NA,"1983","6","22",NA,"Brasil","Goiás","Campo Alegre de Goiás","Campo Alegre, arredores","-47.7783012390137","-17.6331005096436",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05092038' target='other'> <mi>dwc_moreinfo</mi></a>","P05092038","P05092038_01",NA,NA,NA,NA,"46597","53964","auto",NA,NA,NA,NA,NA,NA
