"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","individualCount","phylum","order","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","previousCatalogNumber"
"1","2021-04-05 14:33:50-03","UNESC","CRI","12944","PreservedSpecimen","Plantae","Orchidaceae","Bulbophyllum","regnellii","Bulbophyllum regnellii","Rchb.f.","Alexandre Medeiros","2017","12","20","Alexandre Medeiros","2017","12","20","Brasil","Santa Catarina","Balneário Camboriú","Barra.","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Coleta 880. Flores verdes. Habito: Epífita","CRI011552","CRI011552",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4481","S","Plantae","Orchidaceae","Bulbophyllum","regnellii","Bulbophyllum regnellii",NA,"Carlos Alberto Ferreira Júnior","2018","11","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","414791","PreservedSpecimen","Plantae","Orchidaceae","Bulbophyllum","regnellii","Bulbophyllum regnellii","Rchb.f.","G. F. J. Pabst",NA,NA,NA,"L. B. Smith","1964","12","04","Brazil","Santa Catarina","Agua Doce","Fazenda Esperança, Campos de Palmas, 6 km south of Horizonte (Paraná)","-51.62","-26.63",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=186228' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414791","NY00414791_01",NA,"Magnoliophyta","Asparagales","13530","South America","1100","1200","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","8608","PreservedSpecimen","Plantae","Orchidaceae","Bulbophyllum","regnelli","Bulbophyllum regnelli","Rchb.f.",NA,NA,NA,NA,"A. F. Regnell",NA,NA,NA,"Brazil","Minas Gerais","Caldas","Caldas","-46.3858","-21.9236",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219627' target='other'> <mi>dwc_moreinfo</mi></a>","NY00008608","NY00008608_01",NA,"Magnoliophyta","Asparagales","II270","South America",NA,NA,"sheet","isotype",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","414789","PreservedSpecimen","Plantae","Orchidaceae","Bulbophyllum","regnellii","Bulbophyllum regnellii","Rchb.f.","G. F. J. Pabst",NA,NA,NA,"G. G. Hatschbach","1966","11","19","Brazil","Paraná","Palmas","Sta. Barbara, Paraná","-51.9906","-26.4844",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=186226' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414789","NY00414789_01",NA,"Magnoliophyta","Asparagales","15022","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","414792","PreservedSpecimen","Plantae","Orchidaceae","Bulbophyllum","regnellii","Bulbophyllum regnellii","Rchb.f.","G. F. J. Pabst",NA,NA,NA,"R. M. Klein","1964","08","26","Brazil","Santa Catarina","Abelardo Luz","Abelardo Luz","-52.3281","-26.5647",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=186225' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414792","NY00414792_01",NA,"Magnoliophyta","Asparagales","5543","South America","900","900","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","414788","PreservedSpecimen","Plantae","Orchidaceae","Bulbophyllum","regnellii","Bulbophyllum regnellii","Rchb.f.","L. A. Garay",NA,NA,NA,"P. K. H. Dusén","1909","09","08","Brazil","Paraná",NA,"Paraná",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=186229' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414788","NY00414788_01",NA,"Magnoliophyta","Asparagales","7494","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","414790","PreservedSpecimen","Plantae","Orchidaceae","Bulbophyllum","regnellii","Bulbophyllum regnellii","Rchb.f.","G. F. J. Pabst",NA,NA,NA,"L. B. Smith","1971","12","04","Brazil","Paraná","Palmas","24 km northwest of Palmas","-51.9906","-26.4844",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=186227' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414790","NY00414790_01",NA,"Magnoliophyta","Asparagales","15649","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","6643","PreservedSpecimen","Plantae","Orchidaceae","Bulbophyllum","regnellii","Bulbophyllum regnellii","Rchb.f.",NA,NA,NA,NA,"Amaral Jr., A.","1973","01","29","Brasil","São Paulo","Botucatu","À 13km de Rubião Jr., pela estrada de Monte Alegre, árvore isolada na margem da estrada, na entrada da Fazenda São José",NA,NA,"9999","9999",NA,"BOTU006643",NA,NA,NA,NA,"1415/1419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","6644","PreservedSpecimen","Plantae","Orchidaceae","Bulbophyllum","regnellii","Bulbophyllum regnellii","Rchb.f.",NA,NA,NA,NA,"Amaral Jr., A.","1972","09","29","Brasil","São Paulo","São Manuel","Pavuna, próximo ao limite do município de Botucatu com São Manuel, pela Rodovia Marechal Rondon",NA,NA,"9999","9999",NA,"BOTU006644",NA,NA,NA,NA,"1139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","28367","PreservedSpecimen","Plantae","Orchidaceae","Bulbophyllum","regnellii","Bulbophyllum regnellii","Rchb.f.","Marcusso, G.M.","2012","02","19","Marcusso, G.M.","2012","02","10","Brasil","São Paulo","São Manuel","Sítio Vargem Grande, Toledo",NA,NA,"9999","9999",NA,"BOTU028367",NA,NA,NA,NA,"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-12-04 15:26:31-03","PUCPR","HUCP","24374","S","Plantae","Orchidaceae","Bulbophyllum","regnellii","Bulbophyllum regnellii","Rchb. f.","Santos, TF; Gusso, L",NA,NA,NA,"Santos, TF","2013","10","19","Brasil","Paraná","Tibagi","Fazenda Pinheirinho","-50.4136009216309","-24.5093994140625",NA,NA,NA,"HUCP00002888","HUCP00002888",NA,"Monocotiledonea",NA,"012",NA,NA,NA,NA,NA,"56988","auto",NA,NA,NA,NA
"13","2020-02-08 08:46:01-03","NBC","NL-BOTANY","L 0803931","PreservedSpecimen","Plantae","Orchidaceae","Bulbophyllum","regnelli","Bulbophyllum regnelli","Rchb.f.","Smidt EC","2006","03","01","Hatschbach GG","1960","10","22","Brazil","Paraná",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200803931 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0803931",NA,NA,NA,"Asparagales",NA,"Southern America",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","33720",NA,NA
"14","2020-02-08 08:46:01-03","NBC","NL-BOTANY","L.1489218","PreservedSpecimen","Plantae","Orchidaceae","Bulbophyllum","regnelli","Bulbophyllum regnelli","Rchb.f.","Smidt EC","2006","03","01","Hatschbach GG","1960","10","22","Brazil","Paraná",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1489218 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1489218","NL-L1489218",NA,NA,"Asparagales",NA,"Southern America",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","L 0627959",NA,NA
"15","2020-02-08 08:46:01-03","NBC","NL-BOTANY","L.1489219","PreservedSpecimen","Plantae","Orchidaceae","Bulbophyllum","regnelli","Bulbophyllum regnelli","Rchb.f.","Smidt EC","2006","03","01","Klein RM","1964","08","26","Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1489219 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1489219","NL-L1489219",NA,NA,"Asparagales",NA,"Southern America",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","L 0627958",NA,NA
"16","2021-03-31 13:40:42-03","MN","R","123450","PreservedSpecimen","Plantae","Orchidaceae","Bulbophyllum","regnellii","Bulbophyllum regnellii","Rchb. f.","Smith, L.B.",NA,NA,NA,"Smith, L.B.; Klein, R.M. & Hatschbach, G.G.","1971","12","04","Brasil","Paraná","Palmas",NA,"-51.9906005859375","-26.4841995239258",NA,NA,NA,NA,NA,NA,NA,NA,"15649",NA,NA,NA,NA,NA,"46666","auto",NA,NA,NA,NA
"17","2021-03-31 13:40:42-03","MN","R","129450","PreservedSpecimen","Plantae","Orchidaceae","Bulbophyllum","regnellii","Bulbophyllum regnellii","Rchb. f.","Smith, L.B.",NA,NA,NA,"Smith, L.B.; Klein, R.M. & Hatschbach, G.","1971","12","04","Brasil","Paraná","Palmas",NA,"-51.9906005859375","-26.4841995239258",NA,NA,NA,NA,NA,NA,NA,NA,"15649",NA,NA,NA,NA,NA,"46666","auto",NA,NA,NA,NA
"18","2016-02-02 14:38:42-02","BGBM","B","B 10 0127724","S","Plantae","Orchidaceae","Bulbophyllum","regnellii","Bulbophyllum regnellii","Rchb.f.",NA,NA,NA,NA,"L. B. Smith & R. M. Klein","1964","12","04","Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100127724 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100127724","B100127724",NA,NA,NA,"13530","Middle and South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-02-02 14:38:42-02","BGBM","B","B 10 0127726","S","Plantae","Orchidaceae","Bulbophyllum","regnellii","Bulbophyllum regnellii","Rchb.f.",NA,NA,NA,NA,"R. M. Klein","1964","08","26","Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100127726 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100127726","B100127726",NA,NA,NA,"5.543","Middle and South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-02-02 14:38:42-02","BGBM","B","B 10 0127727","S","Plantae","Orchidaceae","Bulbophyllum","regnellii","Bulbophyllum regnellii","Rchb.f.",NA,NA,NA,NA,"R. M. Klein","1963","11","01","Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100127727 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100127727","B100127727",NA,NA,NA,"4.514","Middle and South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2016-02-02 14:38:42-02","BGBM","B","B 10 0127725","S","Plantae","Orchidaceae","Bulbophyllum","regnellii","Bulbophyllum regnellii","Rchb.f.",NA,NA,NA,NA,"C. Jürgens","1933","11",NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100127725 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100127725","B100127725",NA,NA,NA,"9","Middle and South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-08-27 13:26:31-03","IAP","PACA-AGP","66871","PreservedSpecimen","Plantae","Orchidaceae","Bulbophyllum","regnellii","Bulbophyllum regnellii","Rchb. f.","G. Pabst","1976",NA,NA,"R. M. Klein","1964","08","26","Brasil","SC","Abelardo Luz",NA,"-52.3283004760742","-26.5646991729736",NA,NA,"Confirmado por: E.C. Smidt em 08.2007 Habitat: Em mata de galeria Hábito: epífito","PACA066871",NA,NA,"Magnoliophyta","Orchidales","5543",NA,NA,NA,NA,NA,"35836","auto","Liliatae",NA,NA,NA
