"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","class","order","individualCount","imagecode"
"1","2021-03-30 12:35:32-03","EAO","IAN","78686","PreservedSpecimen","Plantae","Dicotiledônea","Bignoniaceae","Jacaranda","bullata","Jacaranda bullata","A.H.Gentry","Vattimo, I","1996","05","03","holotipo","Fróes, RL; Addison, GON","29141","1952","10","29","Southern America","Brasil","Amazonas","Margem do Rio Araca, sub-afluente do Rio Negro; terra firme alta.","Flor rosea","IAN078686",NA,NA,NA,NA
"2","2014-01-05 12:26:00-02","MO","MOBOT","1044434","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Jacaranda","bullata","Jacaranda bullata","A.H. Gentry","A. Gentry, 1977 (MO)",NA,NA,NA,NA,"Ricardo de Lemos Fróes|G. Addison","Fróes 29141","1952","10","29","South America","Brazil","Amazonas","Margem do Rio Araca, Rio Negro.",NA,NA,NA,NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","2341437","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Jacaranda","bullata","Jacaranda bullata","A.H. Gentry",NA,NA,NA,NA,"Isotype","R. L. Fróes & G. Addison","29141","1952","10","29","South America - Neotropics","Brazil","Amazonas","Edge of Rio Araca, Rio Negro drainage N of Barcelos.",NA,"US00125858","Dicotyledonae","Lamiales","1","US00125858_01"
