"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","scientificNameAuthorship","maximumElevationInMeters","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","relatedCatalogItem","relationshipType","fieldNumber","individualCount"
"1","2016-09-30 00:52:00-03","NY","NYBG","1114032","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Huperzia","quadrifariata","Huperzia quadrifariata","A. R. Smith","J. Cordeiro","1543","1999","07","01","South America","Brazil","Paraná","Campina Grande do Sul","Morro Camacuã","-49.0553","-25.3058","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1257016' target='other'> <mi>dwc_moreinfo</mi></a>","NY01114032","NY01114032_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-30 18:01:00-03","NY","NYBG","2063332","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Huperzia","quadrifariata","Huperzia quadrifariata",NA,"J. B. S. Pereira","77","2007","09","29","South America","Brazil","Paraná","Campina Grande do Sul","Parque Estadual Pico Paraná.","-48.83","-25.23","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2463539' target='other'> <mi>dwc_moreinfo</mi></a>","NY02063332","NY02063332_01","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","788991","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Huperzia","quadrifariata","Huperzia quadrifariata","B. Øllgaard","F. C. Hoehne","4594","1924","06","03","South America","Brazil","São Paulo",NA,"Alto da Serra. Cult. na estufa do Horto O. Cruz en Butantan.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795364' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788991","NY00788991_01",NA,"(Bory ex Duperrey) Rothm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","788994","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Huperzia","quadrifariata","Huperzia quadrifariata","B. Øllgaard","P. K. H. Dusén","16999","1915","04","07","South America","Brazil","Paraná","Jaguariaíva",NA,"-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795376' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788994","NY00788994_01","740","(Bory ex Duperrey) Rothm.","740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","788992","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Huperzia","quadrifariata","Huperzia quadrifariata","B. Øllgaard","A. C. Brade","19191","1948","08","08","South America","Brazil","Espírito Santo","Castelo","Braço do Sul.","-41.1844","-20.6036","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795371' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788992","NY00788992_01",NA,"(Bory ex Duperrey) Rothm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-30 18:01:00-03","NY","NYBG","2063366","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Huperzia","quadrifariata","Huperzia quadrifariata",NA,"J. B. S. Pereira","244","2008","03","18","South America","Brazil","Paraná","Campina Grande do Sul","Parque Estadual Pico Paraná. Pico Caratuva.","-48.83","-25.23","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2463803' target='other'> <mi>dwc_moreinfo</mi></a>","NY02063366","NY02063366_01","1700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","788993","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Huperzia","quadrifariata","Huperzia quadrifariata","B. Øllgaard","R. Schmalz","147","1902","10",NA,"South America","Brazil","Santa Catarina",NA,"Pirabairaba.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795374' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788993","NY00788993_01",NA,"(Bory ex Duperrey) Rothm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02553668","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Lycopodium","quadrangulare","Lycopodium quadrangulare",NA,"F. Sellow","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2803796' target='other'> <mi>dwc_moreinfo</mi></a>","NY02553668","NY02553668_01",NA,"Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02553667","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Lycopodium","quadrangulare","Lycopodium quadrangulare",NA,"F. Sellow","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2803795' target='other'> <mi>dwc_moreinfo</mi></a>","NY02553667","NY02553667_01",NA,"Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1017052","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","quadrifariatus","Phlegmariurus quadrifariatus","W. L. Testo","D. M. Vital","12416","1984","09","27","South America","Brazil","Santa Catarina",NA,"Serra Geral, Serra Rio do Rastro, ca. 12 km W of Bom Jardim da Serra on road to Lauro Muller, at rim of summit plateau.","-49.53","-28.37","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1197196' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017052","NY01017052_01","1470","(Bory) B.Øllg.","1470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
