"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","identifiedBy","imagecode","typeStatus"
"1","2020-12-11 11:34:18-03","UFMG","BHCB","112164","PreservedSpecimen","Plantae","Dicotyledon","Calophyllaceae","Kielmeyera","altissima","Kielmeyera altissima","Saddi","Stehmann, JR","4751","2007","02","08","Southern America","Brasil","Minas Gerais","Linhares","Reserva Natural da Companhia Vale do Rio Doce, Estrada Jueirana Facão","-40.04135","-19.09042","-40.04135","-19.09042","61","61","Flores brancas com estames amarelos, árvore de 8m.; Floresta de tabuleiro","BHCB040733",NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-11 11:34:18-03","UFMG","BHCB","87019","PreservedSpecimen","Plantae","Dicotyledon","Calophyllaceae","Kielmeyera","altissima","Kielmeyera altissima","Saddi","Stehmann, JR; Mota, RC da; Morais, PO; França, GS","3659","2004","02","10","Southern America","Brasil","Minas Gerais","Novo Cruzeiro","Fazenda Araras","-41.963694","-17.613222","-41.963694","-17.613222","754","754","Árvore, 10m de altura, flores brancas; Floresta Estacional Semidecidual","BHCB032003","2004","09","02",NA,NA,NA,NA,NA
"3","2020-12-11 11:34:18-03","UFMG","BHCB","38199","PreservedSpecimen","Plantae","Dicotyledon","Calophyllaceae","Kielmeyera","altissima","Kielmeyera altissima","Saddi",NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Caratinga","Estação Biológica de Caratinga","-42.1391983032227","-19.7896995544434",NA,NA,NA,NA,NA,NA,NA,NA,NA,"49886","auto",NA,NA,NA
"4","2020-04-29 16:29:40-03","UFVJM","HDJF","4785","PreservedSpecimen","Plantae","Dicotyledoneae","Calophyllaceae","Kielmeyera","altissima","Kielmeyera altissima","Saddi","Moreira, SN; Pereira, E","1954","2016","04","10","Southern America","Brasil","Minas Gerais","Conceição do Mato Dentro","Borda de estrada vicinal","-43.426111","-18.903611","-43.426111","-18.903611","793","793",NA,"HDJF004785","2016","05","19",NA,NA,"Moreira, SN","HDJF004785_01",NA
"5","2019-11-01 14:55:55-03","UnB","UB","148398","PreservedSpecimen","Plantae","Dicotyledoneae","Calophyllaceae","Kielmeyera","altissima","Kielmeyera altissima","Saddi","Gomes, V","2767","1968","01","12","Southern America","Brasil","Minas Gerais","Coronel Pacheco","Na mata da Estação Experimental de Água Limpa","-43.27","-21.59","-43.27","-21.59",NA,NA,"Árvore com 20 metros de altura, 35 de Diâm. Flores alvas,frutos grande triangulares.; Mata Atlântica.",NA,"1984",NA,NA,NA,NA,"Saddi, N",NA,NA
"6","2019-11-01 14:55:55-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae","Calophyllaceae","Kielmeyera","altissima","Kielmeyera altissima","Saddi","Moreira, SN; Pereira, E","1954","2016","04","10","Southern America","Brasil","Minas Gerais","Conceição do Mato Dent","Borda de estrada vicinal","-43.426111","-18.903611","-43.426111","-18.903611","793","793","Fruto creme imaturo; Remanescente de Cerrado",NA,"2016","05","19",NA,NA,"Moreira, SN",NA,NA
"7","2019-11-01 14:55:55-03","UnB","UB","148399","PreservedSpecimen","Plantae","Dicotyledoneae","Calophyllaceae","Kielmeyera","altissima","Kielmeyera altissima","Saddi","Heringer, EP","2767a","1968","01","12","Southern America","Brasil","Minas Gerais","Coronel Pacheco","Estação Experimental.","-43.2655982971191","-21.5877990722656",NA,NA,NA,NA,"Árvore ,atingindo 25m de alt. 35 de Diâm. Flores alvas,frutos grandes triângulosos.; Mata Atlântica.",NA,"1984",NA,NA,"10350","auto","Saddi, N",NA,NA
"8","2019-11-21 10:03:02-03","IBt","SP","52340","S","Plantae",NA,"Calophyllaceae","Kielmeyera","altissima","Kielmeyera altissima","Saddi","Heringer, EP","86","1943","03","10",NA,"Brasil","Minas Gerais","Coronel Pacheco","Estação Experimental do Café","-43.2655982971191","-21.5877990722656",NA,NA,NA,NA,NA,"SP003736","2017","11",NA,"10350","auto","Trad, RJ","SP003736","Isotype"
