"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","typeStatus","infraspecificEpithet","verbatimLongitude","verbatimLatitude","individualCount"
"1","2016-09-29 23:29:00-03","NY","NYBG","00996943","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus","N. P. Taylor; D. C. Zappi","P. I. Oliveira","84","1979","09","17","South America","Brazil","Mato Grosso","Chapada dos Guimarães","Chapada dos Guimarães, arredores.","-55.7494","-15.4608","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139480' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996943","NY00996943_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00996942","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus","N. P. Taylor; D. C. Zappi","B. Maguire","56911","1963","08","29","South America","Brazil","Mato Grosso","Rondonópolis",NA,"-54.6356010437012","-16.4708003997803","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139441' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996942","NY00996942_01","(Rodrigues) Britton & Rose","69781","600","700","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0252782","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus","Taylor NP","Horst L",NA,NA,NA,NA,"Southern America","Brazil","Mato Grosso do Sul",NA,"Inter septentriones et orientem Aquidauana, Mato Grosso, Brasilia.",NA,NA,NA,"In parte aperta et saxosa catingae vastae.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200252782 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0252782","NL-U0252782","(Barb.Rodr.) Britton & Rose",NA,NA,NA,NA,"Magnoliopsidae","1991","10","01","holotype",NA,NA,NA,NA
"4","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0104076","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus catingicola",NA,"Horst L",NA,NA,NA,NA,"Southern America","Brazil","Bahia",NA,"Brazil; Bahia; Santana; Porto Novo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200104076 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0104076","NL-U0104076","(Buining & Brederoo) N.P.Taylor & Zappi",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,"holotype","catingicola",NA,NA,NA
"5","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0244342","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus heptacanthus","Taylor NP","Horst L; Uebelmann W",NA,NA,NA,NA,"Southern America","Brazil","Goiás",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200244342 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0244342",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","1991","10","01",NA,"heptacanthus",NA,NA,NA
"6","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0244343","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus heptacanthus","Taylor NP","Horst L; Uebelmann W",NA,NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,"Serra dos Alegres, Minas Gerais",NA,NA,NA,"Ibi crescit in harena pulverea flavescente inter dumeta parva ubi et crescunt nonnullae herbae, variae arbores parvae et Monvillea species.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200244343 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0244343","NL-U0244343",NA,NA,NA,NA,NA,"Magnoliopsidae","1991","10","01","holotype","heptacanthus",NA,NA,NA
"7","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0244345","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus heptacanthus","Taylor NP","Horst L; Uebelmann W",NA,NA,NA,NA,"Southern America","Brazil","Mato Grosso do Sul",NA,"Corumba, Matto Grosso do Sul, Brasilia.",NA,NA,NA,"Nusquam alibi quam in rimis vel partibus humilioribus rupium planarum et nigrarum, quae factae sunt e metallis manganesii.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200244345 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0244345","NL-U0244345",NA,NA,NA,NA,NA,"Magnoliopsidae","1991","10","01","holotype","heptacanthus",NA,NA,NA
"8","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0252711","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus heptacanthus","Taylor NP","Horst L",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brazil",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200252711 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0252711",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","1991","10","01",NA,"heptacanthus",NA,NA,NA
"9","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0252716","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus heptacanthus","Taylor NP","Horst L",NA,NA,NA,NA,"Southern America","Brazil","Mato Grosso",NA,"Porto Murtino, Mato Grosso, Brasilia",NA,NA,NA,"In solo duro silicoso et lapidoso inter herbas, dumeta et arbores.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200252716 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0252716",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","1991","10","01",NA,"heptacanthus",NA,NA,NA
"10","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0252718","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Discocactus","heptacanthus","Discocactus heptacanthus heptacanthus","Taylor NP","Horst L",NA,NA,NA,NA,"Southern America","Brazil","Goiás",NA,"Inter Rio Maranhao (Rio Tocantins) et Rio Parana, Goias, Brasilia.",NA,NA,NA,"In solo saxoso lapidum fractorum inter herbas longas et sub arbusculis curvatis et distortis crescit.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200252718 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0252718","NL-U0252718",NA,NA,NA,NA,NA,"Magnoliopsidae","1991","10","01","holotype","heptacanthus",NA,NA,NA
