"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","dayIdentified","class","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","01045397","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.","E. Hágsater","G. G. Hatschbach","29741","1972","06","24","South America","Brazil","Minas Gerais","Caminho ao Pico Itambe","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1184607' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045397","NY01045397_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","418254","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.","F. C. Hoehne","A. Löfgren","29332","1894","10","01","South America","Brazil","São Paulo","Rib. de Iguape, Sao Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=35396' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418254","NY00418254_01","Iguape","-47.5497","-24.7003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","418253","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.","G. F. J. Pabst","G. F. J. Pabst","449","1949","10",NA,"South America","Brazil","Rio de Janeiro","Guanabara, Furnas de Agassis, Tijuca","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=35395' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418253","NY00418253_01","Rio de Janeiro","-43.2075","-22.9031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","418252","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.","E. A. Christenson","P. I. S. Braga","5","1967","10","30","South America","Brazil","Rio de Janeiro","Mata do Principe","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=35394' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418252","NY00418252_01","Petrópolis","-43.1783","-22.505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01045396","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.","E. Hágsater","R. P. Belém","3716","1968","06","18","South America","Brazil","Bahia","Ilheus, CEPEC","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1184605' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045396","NY01045396_01",NA,"-39.2273659","-14.771874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:20:28-03","UFRJ","RFA","42917","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.","M.S. Wängler","M.S. Wängler",NA,"2011","02","20",NA,"Brasil","Rio de Janeiro","APA Palmares. D. Isabel",NA,NA,"RFA38923",NA,"Paty do Alferes","-43.4185981750488","-22.4286003112793","2011","18359","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-13 09:20:28-03","UFRJ","RFA","42916","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.","M.S. Wängler","M.S. Wängler","2271","2011","02","20",NA,"Brasil","Rio de Janeiro","APA Palmares. D. Isabel",NA,NA,"RFA38922",NA,"Paty do Alferes","-43.4185981750488","-22.4286003112793",NA,"18359","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:52:45-03","EAO","IAN","29049","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.",NA,"Occhioni, P","s.n.","1939","12",NA,"Southern America","Brasil","Rio de Janeiro",NA,NA,"Epífita de flores esverdeadas.","IAN029049","IAN029049 IAN029049_1 IAN029049_e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:52:45-03","EAO","IAN","125356","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.","Pabst, GFJ","Belém, RP","3716","1968","06","18","Southern America","Brasil","Bahia","Centro de Pesquisa do Cacau, CEPEC.",NA,"Planta terrestre de 1m de altura. Flor branca. Coleção viva.","IAN125356",NA,"Ilhéus","-39.0494003295898","-14.7889003753662","1971","61245","auto","06",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-31 13:40:58-03","MN","R","31722","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","Lindl.","Forster, W.","Schwacke, C.A.W.",NA,"1888","07",NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"2002",NA,NA,"03",NA,NA,NA,NA,NA,NA,NA,NA
