"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","minimumElevationInMeters","imagecode","maximumElevationInMeters","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","2530353","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","espiritosantensis","Huberia espiritosantensis","Baumgratz","R. Goldenberg","2216","2015","06","04","South America","Brazil","Espírito Santo","Santa Leopoldina","Luxemburgo, Pedra Preta, macega na base da pedra","-40.614331","-20.166781","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2767870' target='other'> <mi>dwc_moreinfo</mi></a>","NY02530353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02736634","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","espiritosantensis","Huberia espiritosantensis","Baumgratz","C. N. Fraga","3506","2013","04","13","South America","Brazil","Espírito Santo","Pancas","Serra do Alto Mutum Preto, Pedra da Colina, caminho para a rampa de vôo livre.","-40.8764","-19.2308","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3244527' target='other'> <mi>dwc_moreinfo</mi></a>","NY02736634","775","NY02736634_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2423202","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","espiritosantensis","Huberia espiritosantensis","Baumgratz","T. Bochorny","138","2015","05","10","South America","Brazil","Espírito Santo","Santa Leopoldina","Luxemburgo, Pedra Preta","-40.9956","-20.2917","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685486' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423202",NA,"NY02423202_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03287802","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","espiritosantensis","Huberia espiritosantensis","Baumgratz","R. Goldenberg","1448","2009","04","12","South America","Brazil","Espírito Santo","Viana","Reserva Biológica Duas Bocas. São Paulo de Viana. Estrada próximo ao Pesque e pague do Nenem.","-40.5375","-20.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3582041' target='other'> <mi>dwc_moreinfo</mi></a>","NY03287802","507",NA,"507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2480176","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","espiritosantensis","Huberia espiritosantensis","Baumgratz","R. C. Forzza","7740","2014","02","12","South America","Brazil","Espírito Santo",NA,"Monumento Natural dos Pontões Capixaba. Distrito de Lajinha, Pedra do Sr. Vidal Krause.","-40.7833","-19.1886","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2700279' target='other'> <mi>dwc_moreinfo</mi></a>","NY02480176","592",NA,"592","F. A. Michelangeli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2480396","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","espiritosantensis","Huberia espiritosantensis","Baumgratz","R. Goldenberg","1258","2009","01","19","South America","Brazil","Espírito Santo",NA,"Viana. Arredores da Reserva Biològica de Duas Bocas. São Paulo de Viana, propriedade do Valtinho.","-40.5417","-20.3064","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2706451' target='other'> <mi>dwc_moreinfo</mi></a>","NY02480396","700",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2423197","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","espiritosantensis","Huberia espiritosantensis","Baumgratz","T. Bochorny","144","2015","05","12","South America","Brazil","Espírito Santo","Governador Lindenberg","Subida para a Pedra da Santa Luzia","-40.7719","-19.4711","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685480' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423197","350","NY02423197_01","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:33:58-03","UNICAMP","UEC","203912","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Huberia","espiritosantensis","Huberia espiritosantensis","Baumgratz","Bochorny, T; Bacci, LF; Goldenberg, R; Kollmann, L","144","2015","05","12",NA,"Brazil","Espírito Santo","Governador Lindenberg","Subida para a Pedra da Santa Luzia.","-40.5375","-19.311667",NA,"Árvore, ca. 4m alt Flores com pétalas brancas assimétricas e base ligeiramente rosada, estames amarelos subisomorfos . Frutos imaturos verdes.","UEC169599","350","UEC169599","650","Goldenberg, R","2015","-40.5375","-19.311667",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:33:58-03","UNICAMP","UEC","203926","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Huberia","espiritosantensis","Huberia espiritosantensis","Baumgratz","Bochorny, T; Bacci, LF; Bolson, M","193","2016","01","17",NA,"Brazil","Espirito Santo",NA,"Brasil, Espírito Santo:Santa Lúcia, Estação Ecológica de Santa Lúcia.Trilha principal, na Ponte dos Amigos do Museu.","-40.528333","-19.973056",NA,"Árvore, 6 m, botões, botões florais e frutos secos antigos.","UEC162157","650","UEC162157","650","Bochorny, T","2016","-40.528333","-19.973056","01",NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:33:58-03","UNICAMP","UEC","203914","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Huberia","espiritosantensis","Huberia espiritosantensis","Baumgratz","Bochorny, T; Bacci, LF; Goldenberg, R","138","2015","05","10",NA,"Brazil","Espírito Santo","Santa Leopoldina","Luxemburgo, Trilha para o topo da Pedra Preta.","-20.291667","-41.028889",NA,"Árvore, ca.4m alt. Frutos imaturos verdes.","UEC169597",NA,"UEC169597",NA,"Goldenberg, R","2015","-20.291667","-41.028889",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-01 16:33:58-03","UNICAMP","UEC","105068","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Huberia","espiritosantensis","Huberia espiritosantensis","Baumgratz","Chamas, CC; Santos, RR","69","1995","04","12",NA,"Brazil","Espírito Santo","Santa Teresa","Valsugana Velha, Estação Biológica de Santa Lúcia. Trilha rio Timbuí, próximo a cachoeira.","-40.6002998352051","-19.9356002807617",NA,"Árvore, folha discolor, pecíolo marrom, pétala branca, gineceu vermelho, androceu amarelo.; Mata Atlântica de encosta, altitude 500 a 950 m.s.m.","UEC079618",NA,"UEC079618",NA,"Shimizu, GH","2007",NA,NA,"10","09","23813","auto",NA,NA,NA
"12","2019-06-27 10:25:37-03","UFES","VIES","38501","S","Plantae",NA,NA,"Melastomataceae","Huberia","espiritosantensis","Huberia espiritosantensis","Baumgratz","Bochorny, T.; Bacci, L.F. & Goldenberg, R.","138","2015","05","10",NA,"Brasil","Espírito Santo","Santa Leopoldina","Luxembusgo.","-40.5297012329102","-20.1005992889404",NA,NA,"VIES038501",NA,"VIES038501",NA,"Goldenberg, R.","2015",NA,NA,NA,NA,"23799","auto",NA,NA,NA
