"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","locality","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:26:11-03","UNESC","CRI","13297","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","tetrandra","Symplocos tetrandra","Mart.","Funez, L.A.","2016","09","01","Oliveira, A.A.","3274","2016","04","11","Brasil","Santa Catarina","Caçador","-51.3","-26.685","51º18'W","26º41'6''S","900","900","SC_PR_550_F_3_9_35 Habitat: Floresta Habito: Árvore","CRI011780","CRI011780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:11-03","UNESC","CRI","9129","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","tetrandra","Symplocos tetrandra","Mart.","J. Aranha","2011","07","25","A. Korte","6697","2011","04","19","Brasil","Santa Catarina","Brunópolis","-50.94","-27.36","50º56'24''W","27º21'36''S","920","920","Floresta Ombrófila Mista","CRI007833","CRI007833","Carazinho.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-28 15:29:00-03","NY","NYBG","486930","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","tetrandra","Symplocos tetrandra",NA,"F. C. Hoehne",NA,NA,NA,"F. C. Hoehne","s.n.","1932","06","17","Brazil","São Paulo","Sao Paulo","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=158928' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486930","NY00486930_01","Jardim Botanico (Parque do Estado)","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","486928","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","tetrandra","Symplocos tetrandra","(Mart.) Mart.","M. R. F. Melo",NA,NA,NA,"O. Handro","s.n.","1935","05","04","Brazil","São Paulo","Sao Paulo","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=158925' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486928","NY00486928_01","Jardim Botanico","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2016-09-28 15:29:00-03","NY","NYBG","486929","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","tetrandra","Symplocos tetrandra",NA,NA,NA,NA,NA,"A. Bidá","713","1995","04","22","Brazil","Paraná","Curitiba","-49.22","-25.37",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=158931' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486929","NY00486929_01","Universidade Federal do Paraná, Centro Politécnico","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","486927","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","tetrandra","Symplocos tetrandra","(Mart.) Mart.","S. F. Smith",NA,NA,NA,"R. A. Wasum","s.n.","1988","05","14","Brazil","Rio Grande do Sul","Garibaldi","-51.5333","-29.2561",NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=158926' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486927","NY00486927_01","Garibaldi - Marcorama - Vila Santana","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","486926","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","tetrandra","Symplocos tetrandra","(Mart.) Mart.","S. F. Smith",NA,NA,NA,"R. A. Wasum","s.n.","1992","04","02","Brazil","Rio Grande do Sul","Caxias do Sul","-51.094927","-29.108528",NA,NA,"750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=158927' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486926","NY00486926_01","Ana Rech - Faxinal","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 19:23:00-03","NY","NYBG","685964","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","tetrandra","Symplocos tetrandra",NA,"A. Bidá",NA,NA,NA,"F. de Barros","2472","1992","07","10","Brazil","São Paulo","Sao Paulo","-46.621883","-23.654505",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822971' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685964","NY00685964_01","Sao Paulo, Reserva Biológica do Parque Estadual das Fontes do Ipiranga.","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2016-09-28 15:29:00-03","NY","NYBG","486931","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","tetrandra","Symplocos tetrandra",NA,"F. C. Hoehne",NA,NA,NA,"F. C. Hoehne","29764","1932","06","17","Brazil","São Paulo","Sao Paulo","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=158929' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486931","NY00486931_01","Jardim Botanico","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","778856","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","tetrandra","Symplocos tetrandra","(Mart.) Mart.","S. F. Smith",NA,NA,NA,"A. Kegler","1297","2003","02","09","Brazil","Rio Grande do Sul","Caxias do Sul","-51.1792","-29.1683",NA,NA,"780","780","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799323' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778856","NY00778856_01","Forqueta","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
