"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","885891","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Saranthe","composita","Saranthe composita","(Link) K.Schum.","J. M. A. Braga","J. M. A. Braga","7315","2003","12","04","South America","Brazil","Espírito Santo","Linhares","Reserva Natural da Vale do Rio Doce, km 2 da estrada da Farinha Seca.","-39.9319","-19.1853","42","42","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009006' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885891","NY00885891_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","885890","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Saranthe","composita","Saranthe composita","(Link) K.Schum.","J. M. A. Braga","J. M. A. Braga","7315","2003","12","04","South America","Brazil","Espírito Santo","Linhares","Reserva Natural da Vale do Rio Doce, km 2 da estrada da Farinha Seca.","-39.9319","-19.1853","42","42","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009004' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885890","NY00885890_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:13:12-03","ESALQ","ESA","118762","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Marantaceae","Saranthe","composita","Saranthe composita",NA,"Gissi, D.S.","Gissi, D.S.","12.0","2012","01","01",NA,"Brasil","Rio de Janeiro","Maricá",NA,"-42.8185997009277","-22.9193992614746",NA,NA,NA,NA,"ESA118762","ESA118762","2012","20726","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-07-02 14:02:54-03","JBP","HPL","4999","S","Plantae",NA,NA,"Marantaceae","Saranthe","composita","Saranthe composita","(Link) K. Schum.","D.S. Gissi","E.R. Salviani & H. Lorenzi","906","2000","01","13",NA,"Brasil","RJ","Rio de Janeiro","Coletado no Sítio R. Burle Marx.no viveiro de Marantaceae","-43.2075","-22.9028",NA,NA,NA,NA,NA,NA,"2012","57442","auto","01","27",NA,NA,NA,NA,NA,NA
"5","2015-07-02 14:42:43-03","JBP","HPL","13215","S","Plantae",NA,NA,"Marantaceae","Saranthe","composita","Saranthe composita","(K.Koch) K.Schum",NA,"M.N.Saka, G.H.Shimizu & A.Campos-Rocha et al.","299","2013","12","13",NA,"Brasil","ES","Linhares","Reserva Natural da Vale Estrada Bicuíba. Floresta Tabuleira. HRCB-61669.","-40.042944","-19.154583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40° 02' 34,6 W","19° 09' 16,5 S",NA,NA,NA,NA
"6","2015-07-02 14:02:53-03","JBP","HPL","12261","S","Plantae",NA,NA,"Marantaceae","Saranthe","composita","Saranthe composita","(Link) K. Schum.","S. Vieira","S. Vieira, H. Lorenzi, E. Jacques & M. Peixoto","449","2010","12","10",NA,"Brasil","ES","Fundão","Coletada na beira da estrada, sentido Santa Teresa.","-40.4067","-19.9325",NA,NA,NA,NA,NA,NA,"2010","27186","auto","12","10",NA,NA,NA,NA,NA,NA
"7","2021-03-24 17:09:24-03","UFES","SAMES","3281","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Saranthe","composita","Saranthe composita","(Link) K. Schum.","Braga,J.M.A.","Folli,D.A.","3099","1998","01","19",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale. Mata de Tabuleiro, estrada cinco folhas, 450 metros.","-40.0722007751465","-19.3910999298096",NA,NA,NA,"Herbácea, terrestre, cor botão verde claro, cor flor verde claro, exsudação seiva e incolor.","SAMES03281",NA,"1999","48094","auto","07","12",NA,NA,NA,NA,NA,NA
"8","2021-03-24 17:09:24-03","UFES","SAMES","3278","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Saranthe","composita","Saranthe composita","(Link) K. Schum.","Vieira,S.","Vieira,S.","270","2006","12","12",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale. Próximo a entrada para a estrada da Jueirana Vermelja, estrada Gávea.","-40.0722007751465","-19.3910999298096",NA,NA,NA,"Herbáceo, terrestre, altura 1m, cor flor estaminóides lilás, estaminóides cuculado amarelo, exsudação seiva de cor incolor.","SAMES03278",NA,"2006","48094","auto","12","12",NA,NA,NA,NA,NA,NA
"9","2021-03-24 17:09:24-03","UFES","SAMES","3276","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Saranthe","composita","Saranthe composita","(Link) K. Schum.","Saka,M.N.","Ribeiro,M.; Broggio,I.S.;Rocha,T.L.","390","2010","12","18",NA,"Brasil","Espírito Santo","Pinheiros","Reserva Biológica Córrego do Veado. Estrada à esquerda da sede da reserva, floresta alta de tabuleiro, mata da água limpa.","-40.2132987976074","-18.3703002929688",NA,NA,NA,"Erva terrestre inflorescência, raque verde claro, brácteas de cor salmon.","SAMES03276",NA,NA,"28525","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-24 17:09:24-03","UFES","SAMES","3275","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Saranthe","composita","Saranthe composita","(Link) K. Schum.","Saka,M.N.","Rocha,T.L.; Broggio,I.S.;Ribeiro,M.","94","2010","12","18",NA,"Brasil","Espírito Santo","Pinheiros","Reserva Biológica Córrego do Veado. Floresta alta de Tabuleiro, trilha da água limpa.","-40.2132987976074","-18.3703002929688",NA,NA,NA,"Inflorescência rosa.","SAMES03275",NA,NA,"28525","auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-24 17:09:24-03","UFES","SAMES","3280","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Saranthe","composita","Saranthe composita","(Link) K. Schum.","Ribeiro,M.","Ribeiro,M.; Silva,W.B.","792","2013","02","02",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta Alta sobre Tabuleiro, km 4 ao 8 da estrada interna.","-39.7322006225586","-18.5932998657227",NA,NA,NA,"Erva, inflorescência rosa avermelhado, flor lilás.","SAMES03280",NA,NA,"41644","auto",NA,NA,"-398050000.0","-182625000.0",NA,NA,NA,NA
"12","2021-03-24 17:09:24-03","UFES","SAMES","3282","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Saranthe","composita","Saranthe composita","(Link) K. Schum.","Folli,D.A.","Folli,D.A.","1580","1992","01","30",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale. Mata de Tabuleiro, estrada do Flamengo, 11000 metros.","-40.0722007751465","-19.3910999298096",NA,NA,NA,"Planta de porte herbáceo, terrestre, botões florais marrom, flor branco.","SAMES03282",NA,"1992","48094","auto","01","30",NA,NA,NA,NA,NA,NA
"13","2021-03-24 17:09:24-03","UFES","SAMES","3279","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Saranthe","composita","Saranthe composita","(Link) K. Schum.","Kennedy,H.","Folli,D.A.","1275","1991","02","05",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale. Mata de Tabuleiro, próximo a sede.","-40.0722007751465","-19.3910999298096",NA,NA,NA,"Herbáceo, terrestre, 1m de alt., folhas brilhantes, verdes escuras em cima, semi-brilhosas e verde acinzentadas em baixo. Pulvino verde oliva, pecíolo verde escuro. Bainha verde a arroxeado escuro. Brácteas marrons. Sépalos transparen","SAMES03279",NA,"1991","48094","auto","02","05",NA,NA,NA,NA,NA,NA
"14","2021-03-24 17:09:24-03","UFES","SAMES","3277","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Saranthe","composita","Saranthe composita","(Link) K. Schum.","Saka,M.N.","Giaretta,A.O.; Menezes,L.F.T.;Souza,M.C.;Monteiro,R.F.;Saavedra,M.M.","173","2008","01","12",NA,"Brasil","Espírito Santo","Nova Venécia","Pedra do Elefante. Mata em afloramento graníitico localizado na vertente oeste da Pedra do Elefante, com elevação de 165m.","-40.4006004333496","-18.710599899292",NA,NA,NA,"Planta de botões verde-amarelados.","SAMES03277",NA,NA,"42400","auto",NA,NA,"-404613889.0","-187647222.0",NA,NA,NA,NA
"15","2020-07-30 12:23:21-03","UFES","VIES","47410","S","Plantae",NA,NA,"Marantaceae","Saranthe","composita","Saranthe composita","(Link) K. Schum.","R.M. Oliveira","Oliveira, R.M.; Nepomuceno, A.; Sossai, B.G.; Nichio-Amaral, R.; Miranda, V.S.","71","2020","01","16",NA,"Brasil","Espírito Santo","Conceição da Barra","Trilha Sul da Flona. Flona do Rio Preto","-39.835833","-18.433611",NA,NA,NA,NA,"VIES047410","VIES047410","2020",NA,NA,"03","10","39º50'9''W","18º26'1''S",NA,NA,NA,NA
"16","2020-07-30 12:23:21-03","UFES","VIES","47473","S","Plantae",NA,NA,"Marantaceae","Saranthe","composita","Saranthe composita","(Link) K. Schum.","R.M. Oliveira","Oliveira, R.M.; Scheidegger, A.F.A.; Dutra, S.C.; Rabelo, S.","95","2020","02","04",NA,"Brasil","Espírito Santo","Conceição da Barra","Região extremo Sul. Flona do Rio Preto","-39.841389","-18.430278",NA,NA,NA,NA,"VIES047473","VIES047473","2020",NA,NA,"03","10","39º50'29''W","18º25'49''S",NA,NA,NA,NA
"17","2020-03-17 17:48:17-03","UFES","VIES","46689","S","Plantae",NA,NA,"Marantaceae","Saranthe","composita","Saranthe composita","(Link) K. Schum.","Oliveira, R.M.","Oliveira, R.M.; Mendes, B.S.; Gurtler, J.; Moraes, Q.S.; Moraes, P.N.; Miranda, V.S.","9","2019","05","23",NA,"Brasil","Espírito Santo","Conceição da Barra","Fragmento da Sede Abandonada. Floresta Nacional do Rio Preto","-39.7322006225586","-18.5932998657227",NA,NA,NA,NA,"VIES046689","VIES046689","2019","41644","auto","11","26",NA,NA,NA,NA,NA,NA
"18","2020-07-30 12:23:21-03","UFES","VIES","47524","S","Plantae",NA,NA,"Marantaceae","Saranthe","composita","Saranthe composita","(Link) K. Schum.","R.M. Oliveira","Oliveira, R.M.; Nichio-Amaral, R.; Nepomuceno, A.; Sossai, B.G.; Dutra, S.C.","112","2020","02","17",NA,"Brasil","Espírito Santo","Conceição da Barra","Trilha do Canastra. Flona do Rio Preto","-39.7322006225586","-18.5932998657227",NA,NA,NA,NA,"VIES047524","VIES047524","2020","41644","auto","03","10",NA,NA,NA,NA,NA,NA
"19","2020-07-30 12:23:21-03","UFES","VIES","47408","S","Plantae",NA,NA,"Marantaceae","Saranthe","composita","Saranthe composita","(Link) K. Schum.","R.M. Oliveira","Oliveira, R.M.; Nepomuceno, A.; Sossai, B.G.; Nichio-Amaral, R.; Miranda, V.S.","69","2020","01","16",NA,"Brasil","Espírito Santo","Conceição da Barra","Trilha Sul da Flona. Flona do Rio Preto","-39.835833","-18.433611",NA,NA,NA,NA,"VIES047408","VIES047408","2020",NA,NA,"03","10","39º50'9''W","18º26'1''S",NA,NA,NA,NA
"20","2020-04-27 16:10:29-03","UFES","VIES","42926","S","Plantae",NA,NA,"Marantaceae","Saranthe","composita","Saranthe composita","(Link) K. Schum.","R.M. Oliveira","Nichio-Amaral, R.; Alves-Araújo, A.; Sossai, B.G.; Dutra, S.C.; Mello, B.N.;","845","2019","05","28",NA,"Brasil","Espírito Santo","Conceição da Barra","Fragmento da Sede abandonada. Flona do Rio Preto","-39.7322006225586","-18.5932998657227",NA,NA,NA,NA,"VIES042926","VIES042926","2019","41644","auto","11","26",NA,NA,NA,NA,NA,NA
"21","2020-03-17 17:48:17-03","UFES","VIES","46681","S","Plantae",NA,NA,"Marantaceae","Saranthe","composita","Saranthe composita","(Link) K. Schum.","Oliveira, R.M.","Oliveira, R.M.; Mendes, B.S.; Gurtler, J.; Moraes, Q.S.; Moraes, P.N.; Miranda, V.S.","1","2019","05","23",NA,"Brasil","Espírito Santo","Conceição da Barra","Fragmento da Sede Abandonada. Floresta Nacional do Rio Preto","-39.7322006225586","-18.5932998657227",NA,NA,NA,NA,"VIES046681","VIES046681","2019","41644","auto","11","26",NA,NA,NA,NA,NA,NA
"22","2020-03-17 17:48:17-03","UFES","VIES","46682","S","Plantae",NA,NA,"Marantaceae","Saranthe","composita","Saranthe composita","(Link) K. Schum.","Oliveira, R.M.","Oliveira, R.M.; Mendes, B.S.; Gurtler, J.; Moraes, Q.S.; Moraes, P.N.; Miranda, V.S.","2","2019","05","23",NA,"Brasil","Espírito Santo","Conceição da Barra","Fragmento da Sede Abandonada. Floresta Nacional do Rio Preto","-39.7322006225586","-18.5932998657227",NA,NA,NA,NA,"VIES046682","VIES046682","2019","41644","auto","11","26",NA,NA,NA,NA,NA,NA
"23","2020-03-17 17:48:17-03","UFES","VIES","46644","S","Plantae",NA,NA,"Marantaceae","Saranthe","composita","Saranthe composita","(Link) K. Schum.","Oliveira, R.M.","Mello, B.N.; Nepomuceno, A.; Nichio-Amaral, R.; Miranda, V.S.; Mendes, B.S.; Gurtler, J.; Dutra, S.C.; Silvestre, S.S.","176","2019","07","04",NA,"Brasil","Espírito Santo","Conceição da Barra","Trilha da Sede Abandonada. Floresta Nacional do Rio Preto","-39.7322006225586","-18.5932998657227",NA,NA,NA,NA,"VIES046644","VIES046644","2019","41644","auto","11","26",NA,NA,NA,NA,NA,NA
"24","2020-04-27 16:10:29-03","UFES","VIES","29626","S","Plantae",NA,NA,"Marantaceae","Saranthe","composita","Saranthe composita","(Link) K. Schum.","Kennedy, H.","Folli, D.A.","1275","1991","02","05",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale.","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"VIES029626",NA,"1991","48094","auto","02","05",NA,NA,NA,NA,NA,NA
"25","2020-04-27 16:10:29-03","UFES","VIES","29350","S","Plantae",NA,NA,"Marantaceae","Saranthe","composita","Saranthe composita","(Link) K. Schum.","Braga, J.M.A.","Folli, D.A.","3099","1998","01","19",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale.","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"VIES029350",NA,"1999","48094","auto","07","12",NA,NA,NA,NA,NA,NA
"26","2019-09-27 18:05:21-03","UFES","VIES","29655","S","Plantae",NA,NA,"Marantaceae","Saranthe","composita","Saranthe composita","(Link) K. Schum.","Vieira, S.","Vieira, S.","270","2006","12","12",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale.","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"VIES029655",NA,"2006","48094","auto","12","12",NA,NA,NA,NA,NA,NA
"27","2019-12-04 12:52:31-03","UTFPR","HCF","29995","S","Plantae",NA,NA,"Marantaceae","Saranthe","composita","Saranthe composita","(Link) K.Schum.","F.F.F. Mazziero","F.F.F. Mazziero","4251","2019","01","29",NA,"Brasil","ES","Linhares",NA,"-40.211389","-19.466667","27","27",NA,"erva terrícola, encontrada no interior da floresta. Vegetação secundária média/avançada.",NA,NA,"2019",NA,NA,"02","01","40°12'41 W","19°28'00 S",NA,NA,NA,NA
