"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","yearIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","01066735","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Hybanthus","strigoides","Hybanthus strigoides","Taub.","J. P. Souza","E. P. Heringer","2305","1979","10","10","South America","Brazil","Goiás","Estrada Alto Paraiso-Teresina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1204096' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066735",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:20:45-03","ESALQ","ESA","101498","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Violaceae","Pombalia","strigoides","Pombalia strigoides","(Taub.) Paula-Souza","Paula-Souza, J.","Silva, M.A.","5363.0","2002","09","08",NA,"Brasil","Goiás",NA,NA,NA,"ESA101498","2002","Cristalina","-47.6136016845703","-16.7686004638672","85457","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:20:45-03","ESALQ","ESA","49072","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Violaceae","Pombalia","strigoides","Pombalia strigoides","(Taub.) Paula-Souza","Souza, J.P.","Souza, V.C.; Capellari Jr., L.; Souza, J.P.; Mazine, F.F.","21469.0","1998","09","10",NA,"Brasil","Goiás",NA,NA,NA,"ESA049072","2002","Cristalina","-47.6136016845703","-16.7686004638672","85457","auto","01","01",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:20:45-03","ESALQ","ESA","90126","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Violaceae","Pombalia","strigoides","Pombalia strigoides","(Taub.) Paula-Souza","Paula-Souza, J.","Paula-Souza, J.; Ferrucci, M.S.; Duarte, A.R.; Rando, J.G.; Tsuji, R.","4531.0","2005","01","23",NA,"Brasil","Goiás","Estrada para a Vila de São Jorge, ca. 26,5km da GO-118. Campo limpo com Paepalanthus",NA,"Subarbusto, ca. 20cm alt. Vegetativo, abundante na área","ESA090126",NA,"Alto Paraíso de Goiás","-47.5099983215332","-14.1324996948242","44724","auto",NA,NA,"-47,732,417","-14,136,056","1130","1130","ESA090126",NA,NA,NA
"5","2020-11-04 11:20:45-03","ESALQ","ESA","97045","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Violaceae","Pombalia","strigoides","Pombalia strigoides","(Taub.) Paula-Souza",NA,"Paula-Souza, J.; Romão, G.O.; Leite, G.S.","6691.0","2006","10","16",NA,"Brasil","Goiás","Estrada para a Vila de São Jorge, ca. 26,5km da GO-118. Campo limpo recentemente queimado",NA,"Erva, flores azuis com a base do labelo amarela","ESA097045",NA,"Alto Paraíso de Goiás","-477.322","-141.358",NA,NA,NA,NA,"-477,322","-141,358","1130","1130",NA,NA,NA,NA
"6","2020-11-04 11:20:45-03","ESALQ","ESA","62765","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Violaceae","Pombalia","strigoides","Pombalia strigoides","(Taub.) Paula-Souza","Souza, J.P.","Rizzo, J.A.","8407.0","1972","10","07",NA,"Brasil","Goiás",NA,NA,NA,"ESA062765",NA,"Alto Paraíso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESA062765",NA,NA,NA
"7","2020-11-04 11:20:45-03","ESALQ","ESA","62764","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Violaceae","Pombalia","strigoides","Pombalia strigoides","(Taub.) Paula-Souza","Souza, J.P.","Rizzo, J.A.","8415.0","1972","10","07",NA,"Brasil","Goiás",NA,NA,NA,"ESA062764","2002","Alto Paraíso de Goiás","-47.5099983215332","-14.1324996948242","44724","auto","01","01",NA,NA,NA,NA,"ESA062764",NA,NA,NA
"8","2020-11-04 11:20:45-03","ESALQ","ESA","62228","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Violaceae","Pombalia","strigoides","Pombalia strigoides","(Taub.) Paula-Souza","Souza, J.P.","Cordeiro, I. et al.","444.0","1987","11","21",NA,"Brasil","Goiás",NA,NA,NA,"ESA062228",NA,"Alto Paraíso de Goiás","-47.5099983215332","-14.1324996948242","44724","auto",NA,NA,NA,NA,NA,NA,"ESA062228",NA,NA,NA
"9","2020-11-04 11:20:45-03","ESALQ","ESA","121190","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Violaceae","Pombalia","strigoides","Pombalia strigoides","(Taub.) Paula-Souza","Paula-Souza, J.","Delfini, C.","676.0","2012","10","01",NA,"Brasil","Goiás","Rod. GO-118 em direção a Cavalcante, ca. 12km N (em linha reta) de Alto Paraíso",NA,"Erva xilopodífera, flores azuis","ESA121190",NA,"Alto Paraíso de Goiás","-47.5099983215332","-14.1324996948242","44724","auto",NA,NA,NA,NA,"1502","1502","ESA121190",NA,NA,NA
"10","2020-11-04 11:20:45-03","ESALQ","ESA","121192","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Violaceae","Pombalia","strigoides","Pombalia strigoides","(Taub.) Paula-Souza",NA,"Delfini, C.","715.0","2012","10","01",NA,"Brasil","Goiás","Rod. GO-118 em direção a Cavalcante, ca. 20km N (em linha reta) de Alto Paraíso",NA,"Erva xilopodífera, flores roxas","ESA121192",NA,"Alto Paraíso de Goiás","-47.5099983215332","-14.1324996948242","44724","auto",NA,NA,NA,NA,"1516","1516","ESA121192",NA,NA,NA
"11","2021-03-01 16:42:48-03","UNICAMP","UEC","22355","S","Plantae","Magnoliopsida",NA,"Violaceae","Hybanthus","strigoides","Hybanthus strigoides","Taub.","Souza, JP","Heringer, EP; Paula, JE; Mendonça, RC; Heringer-Salles, AE","2305","1979","10","10",NA,"Brazil","Goiás","Estrada Alto Paraíso - Teresina",NA,"Erva com haste floral de 20cm flores laterais pétalas ligeiramente lilases.",NA,"2004",NA,NA,NA,NA,NA,"06","24",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:47:26-03","MBM","MBM","391138","PreservedSpecimen","Plantae",NA,NA,"Violaceae","Hybanthus","strigoides","Hybanthus strigoides","Taub.","Paula-Souza, J.","Delfini, C.; Paula-Souza, J.; Rigon, J.; Paula-Souza, J.; Rigon, J.","715","2012","10","23","Southern America","Brazil","Goiás","Rod. GO-118 em direção a Cavalcante , ca. 20km (em linha reta) de Alto Paraíso",NA,"Erva xilopodífera, flores roxas.; Campo limpo.","MBM391138","2012","Alto Paraíso","-47.473917","-13.961167",NA,NA,"10",NA,"-47.473917","-13.961167","1516","1516","MBM391138",NA,NA,NA
"13","2020-05-30 04:37:00-03","MO","MOBOT","100762960","PreservedSpecimen","Plantae",NA,NA,"Violaceae","Hybanthus","strigoides","Hybanthus strigoides","Taub.",NA,"Ernst Üle","Üle 2752","1892","9",NA,"South America","Brazil","Goiás","Auf Chapadao der Morro do Salto.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lectotype","1",NA
"14","2019-12-19 11:20:38-03","UFG","UFG","8445","S","Plantae",NA,NA,"Violaceae","Hybanthus","strigoides","Hybanthus strigoides","Taub.","Souza, J.P.","Rizzo, J.A.","8407","1972","10","07",NA,"Brasil","Goiás","Parque Nacional Chapada dos Veadeiros, Cerrado e campo rupestre.",NA,"10 cm, corola branca.",NA,"2003","Alto Paraíso",NA,NA,NA,NA,"02","11",NA,NA,NA,NA,NA,NA,NA,NA
