"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","yearIdentified","class","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","monthIdentified","fieldNumber","individualCount","typeStatus","relatedCatalogItem","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","3108051","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","nardifolia","Rhynchospora nardifolia","(Kunth) Boeckeler","P. J. S. da Silva","O. Huber","3493","1979","02","27","South America","Venezuela","Amazonas","Mun. Atures","Caño Camani, valle; W del Cerro Morrocoy y 10 km W de San Juan de Manapiare. Sector NE del Valle","-66.17","5.35","150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3535104' target='other'> <mi>dwc_moreinfo</mi></a>","NY03108051","NY03108051_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","668219","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","nardifolia","Rhynchospora nardifolia","(Kunth) Boeckeler","T. M. Koyama","L. Coradin","146","1975","02","28","South America","Brazil","Pará",NA,"Martins Pinheiro, Campina do Mangaba.","-47.564744","-0.7912",NA,"sheet","Herbário do Ipean <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=564566' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668219","NY00668219_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3108241","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","nardifolia","Rhynchospora nardifolia","(Kunth) Boeckeler","P. J. S. da Silva","W. W. Thomas","5662","1987","12","04","South America","Bolivia","Santa Cruz","José Miguel de Velasco","Serrania de Huanchaca, Parque Nacional Prof. Noel Kempff Mercado, Rocky hills east of airstrip","-60.72","-13.98",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3639131' target='other'> <mi>dwc_moreinfo</mi></a>","NY03108241","NY03108241_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3108239","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","nardifolia","Rhynchospora nardifolia","(Kunth) Boeckeler","P. J. S. da Silva","A. F. M. Glaziou","20545","1893","11","22","South America","Brazil","Minas Gerais",NA,"Sta Luzia da Sabera.",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3639127' target='other'> <mi>dwc_moreinfo</mi></a>","NY03108239","NY03108239_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1184024","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","nardifolia","Rhynchospora nardifolia","(Kunth) Boeckeler","P. J. S. da Silva","R. J. F. Garcia","1987","2000","04","17","South America","Brazil","São Paulo","São José do Barreiro","Serra da Bocaina, estrada para Silveiras.","-44.57","-22.64",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1459906' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184024","NY01184024_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00939321","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","nardifolia","Rhynchospora nardifolia","(Kunth) Boeckeler","P. J. Silva Filho","E. Pereira","1559","1955","05","26","South America","Brazil","Minas Gerais","Diamantina",NA,"-43.6003","-18.2494",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=972874' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939321","NY00939321_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","668220","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","nardifolia","Rhynchospora nardifolia","(Kunth) Boeckeler",NA,"G. T. Prance","29646","1985","07","17","South America","Brazil","Amazonas",NA,"Summit of Central Massif of Serra Aracá.","-63.3745909","0.9016571","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=564567' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668220","NY00668220_01","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3108054","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","nardifolia","Rhynchospora nardifolia","(Kunth) Boeckeler","P. J. S. da Silva","S. G. Beck","20675","1991","10","21","South America","Bolivia","El Beni","José Ballivián","Camino Riberalta - Santa Rosa, 54 km antes de Puerto Yata, 2 km después de Palma Flor",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3535107' target='other'> <mi>dwc_moreinfo</mi></a>","NY03108054","NY03108054_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00938858","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","nardifolia","Rhynchospora nardifolia","(Kunth) Boeckeler",NA,"H. A. Weddell","1338","1843","11",NA,"South America","Brazil","Minas Gerais",NA,"Itabira.",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931257' target='other'> <mi>dwc_moreinfo</mi></a>","NY00938858","NY00938858_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02618901","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","nardifolia","Rhynchospora nardifolia","(Kunth) Boeckeler","P. J. S. da Silva","J. M. Pires","52381","1962","08","07","South America","Brazil","Amapá",NA,"Between Rios Cujubim and Flechal.","-50.97","1.75",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2936519' target='other'> <mi>dwc_moreinfo</mi></a>","NY02618901","NY02618901_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
