"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","infraspecificEpithet","scientificName","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","recordNumber","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","typeStatus"
"1","2021-04-05 14:33:16-03","UNESC","CRI","11929","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata","pinnatifida","Calea serrata pinnatifida","Vanilde C. Zanette","Vanilde C. Zanette; Patricia de Aguiar Amaral","2011","10","08","Brasil","Santa Catarina","Nova Veneza","Caravaggio.","-49.498333","-28.636944","49º29'54''W","28º38'13''S","CRI008763","CRI008763",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:56-03","UNESC","CRI","11263","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","A. C. Fernandes","M. Verdi; D.h. klettenberg e G. Klemz","2009","10","17","Brasil","Santa Catarina","Timbé do Sul","Vila Belmiro.","-49.86","-28.8","49º51'36''W","28º48'0''S","CRI001273","CRI001273","Less.","2012","03","05","2820","360","360","Floresta Ombrófila Densa Habitat: entorno do fragmento Habito: liana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:16-03","UNESC","CRI","9241","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata",NA,"Birgit Harter Marques; Ricardo Vicente","2007","04","29","Brasil","Santa Catarina","Siderópolis","MIna do Trevo.","-49.425278","-28.598889","49º25'31''W","28º35'56''S","CRI001275","CRI001275","Less.",NA,NA,NA,NA,"111","111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:16-03","UNESC","CRI","4023","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","J. A. Jarenkow","J. A. Jarenkow","1989","11","19","Brasil","Rio Grande do Sul","Piratini","Serra das Asperesas, BR 293 próx. a divisa com Pinheiro Machado.","-53.104167","-31.448056","53º6'15''W","31º26'53''S","CRI001280","CRI001280","Less.",NA,NA,NA,"1432","318","318","Habitat: capão Habito: trepadeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:24:56-03","UNESC","CRI","583","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","Mara Rejane Ritter","Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1990","08","15","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.285278","-28.368333","49º17'7''W","28º22'6''S","CRI001278","CRI001278","Less.",NA,NA,NA,"933","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:24:56-03","UNESC","CRI","7348","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata",NA,"Vanilde C. Zanette; Robson dos Santos & Alecsandro S. Klein","2001","10","24","Brasil","Santa Catarina","Praia Grande","Rio do Boi.","-49.950278","-29.196667","49º57'1''W","29º11'48''S","CRI001274","CRI001274","Less.",NA,NA,NA,NA,NA,NA,"Habito: liana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:24:56-03","UNESC","CRI","1207","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","Marcos Sobral","Vanilde Citadini-Zanette; Robson dos Santos","1992","10","15","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.285278","-28.368333","49º17'7''W","28º22'6''S","CRI001277","CRI001277","Less.",NA,NA,NA,"1524","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:24:56-03","UNESC","CRI","596","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","Mara Rejane Ritter","Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1990","10","20","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.285278","-28.368333","49º17'7''W","28º22'6''S","CRI001279","CRI001279","Less.",NA,NA,NA,"946","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:16-03","UNESC","CRI","7944","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","Vanilde Citadini- Zanette","Beatriz Wessler; Bruna Alberton","2007","09","06","Brasil","Santa Catarina","Içara","SANTEC Resíduos.","-49.3","-28.713333","49º18'0''W","28º42'48''S","CRI001281","CRI001281","Less.","2007","09","07",NA,"52","52","Habitat: borda de mata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:24:56-03","UNESC","CRI","3881","PreservedSpecimen","Plantae","Asteraceae","Calea","serrata",NA,"Calea serrata","S. A. Bordignon","J. A. Jarenkow","1988","10","10","Brasil","Rio Grande do Sul","Marcelino Ramos",NA,"-51.906667","-27.462222","51º54'24''W","27º27'44''S","CRI001276","CRI001276","Less.",NA,NA,NA,NA,NA,NA,"Habito: trepadeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
