"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","year","month","day","coordinatePrecision","geoFlag","identifiedBy","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","214374","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Pterandra","andersonii","Pterandra andersonii","C.E.Anderson","holotype","A. Lisboa","s.n.","South America","Brazil","Maranhão","Grajaú","Grajahú","-46.1383","-5.8194","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=46528' target='other'> <mi>dwc_moreinfo</mi></a>","NY00214374","NY00214374_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:43:37-03","EAO","IAN","153295","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malpighiaceae","Pterandra","andersonii","Pterandra andersonii","C.E.Anderson","isoparatipo","Pinheiro, GS","12","Southern America","Brasil","Maranhão","Imperatriz","Próximo ao campo de aviação, terra firme, solo argiloso.","-47.49169921875","-5.52639007568359",NA,"Arbusto de 3m. Flor vermelha.","IAN153295",NA,"1999","1976","07","31","48110","auto",NA,NA,NA,NA,NA,NA
"3","2019-11-21 10:09:08-03","IBt","SP","468567","S","Plantae",NA,NA,"Malpighiaceae","Pterandra","andersonii","Pterandra andersonii","C.E.Anderson",NA,"Vale, GD; Haidar, RF; Brandão, M; Fonseca, J","736",NA,"Brasil","Tocantins","São Bento do Tocantins","Sub-bacia Rio Araguaia","-47.793611","-5.967778",NA,NA,"SP031275","SP031275","2015","2010","06","08",NA,NA,"Mamede, MCH","03","-47.793611","-5.967778","219","219"
