"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","infraspecificEpithet","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount","typeStatus","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","196421","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Zanthoxylum","acreanum","Zanthoxylum acreanum","(K.Krause) J.F.Macbr.","M. N. Alexiades","M. N. Alexiades","1037","1990","08","21","South America","Peru","Madre de Dios","Tambopata","Rio Tambopata. Comunidad Nativa de Infierno. Centro Ñape","-69.28","-12.83","260","260","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=462360' target='other'> <mi>dwc_moreinfo</mi></a>","NY00196421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","196232","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Zanthoxylum","acreanum","Zanthoxylum acreanum","(K.Krause) J.F.Macbr.","M. N. Alexiades","V. Pesha Baca","46","1990","11","23","South America","Peru","Madre de Dios","Tambopata","Rio Tambopata. C.N. Infierno. Hermosa Chica. Centro 'Ñape'","-69.28","-12.83","260","260","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=462361' target='other'> <mi>dwc_moreinfo</mi></a>","NY00196232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01198025","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Zanthoxylum","acuminatum","Zanthoxylum acuminatum juniperinum","(Poepp.) Sw. & Reynel","J. A. Kallunki","M. M. M. Lopes","356","2005","11","22","South America","Brazil","Bahia","Almadina","Serra do Corcovado, 13,8 km ao SW de Coaraci, na estrada para Almadina. Fazenda São José. Propietário Senhor Francisco.","-39.6033","-14.7058","650","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939986' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198025","juniperinum","NY01198025_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","472256","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Zanthoxylum","acuminatum","Zanthoxylum acuminatum","(Sw.) Sw.","J. R. Pirani","M. Silveira","743","1994","05","31","South America","Brazil","Acre","Marechal Thaumaturgo","Bacia do Alto Juruá, Rio Alto Jurua, seringal Oriente, curva da cachoeira, margem esquerda.","-72.77","-8.82",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=732582' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472256",NA,"NY00472256_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1144591","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Zanthoxylum","acuminatum","Zanthoxylum acuminatum","(Sw.) Sw.","L. P. de Queiroz","D. B. O. S. Cardoso","267","2005","02","08","South America","Brazil","Bahia","Ruy Barbosa","Rui Barbosa: Serra do Orobó. Riacho de Seu Chiquinho, próximo ao Pátio das Orquídeas.","-40.345","-12.3031","631","631","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1297028' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144591",NA,"NY01144591_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-09-10 21:44:17-03","UNEMAT","TANG","4467","S","Plantae",NA,NA,"Rutaceae","Zanthoxylum","acuminatum","Zanthoxylum acuminatum","(Sw.) Sw.",NA,"Antunes, EC; Antunes, LL","143","2012","03","23",NA,"Brasil","Mato Grosso","Comodoro",NA,"-42.35","-13.773611",NA,NA,NA,NA,"TANG000004467",NA,NA,"-42.35","-13.773611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:48:26-03","EAO","IAN","23465","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Fagara","acreana","Fagara acreana","Krause",NA,"Ule, EHG","9552",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN023465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:48:32-03","EAO","IAN","174099","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Zanthoxylum","acreanum","Zanthoxylum acreanum","(Krause) J.F.Macbr.","Ribeiro, BGS","Bastos, JAA","66","1987","04","10","Southern America","Brasil","Pará","Parauapebas","Serra dos Carajás, floresta do projeto Bahia.","-49.9021987915039","-6.06750011444092",NA,NA,NA,"Árvore de 8-10m de altura. Fuste reto, copa pequena e estreita, folhas aromáticas. Flores cremes.","IAN174099",NA,NA,NA,NA,"1994","03","147801","auto",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:48:32-03","EAO","IAN","174100","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Zanthoxylum","acreanum","Zanthoxylum acreanum","(Krause) J.F.Macbr.","Ribeiro, BGS","Bastos, JAA","148","1989","03","14","Southern America","Brasil","Pará","Parauapebas","Serra dos Carajás, floresta do projeto Bahia.","-49.9021987915039","-6.06750011444092",NA,NA,NA,"Árvore de 15m de altura. Fuste tortuoso todo&nf;noduloso, casca amarela, copa média aberta com&nf;folhas aromáticas, apresenta botões florais&nf;também aromática.","IAN174100",NA,NA,NA,NA,"1994","03","147801","auto",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:48:32-03","EAO","IAN","155954","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Zanthoxylum","acreanum","Zanthoxylum acreanum","(Krause) J.F.Macbr.","Silva, MG da","Silva, MG da; Bahia, RP","3571","1978","05","15","Southern America","Brasil","Pará","Tucuruí","Rio Tocantins, Vila Repartimento. Mata de terra firme.","-49.6725006103516","-3.76610994338989",NA,NA,NA,"Árvore de 15m de altura. Flores brancas com cheiro de limão.","IAN155954",NA,NA,NA,NA,NA,NA,"59618","auto",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:48:32-03","EAO","IAN","118843","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Zanthoxylum","acuminatum","Zanthoxylum acuminatum","(Sw.) Sw.","Pirani, JR","Belém, RP; Magalhães, M","560","1965","03","25","Southern America","Brasil","Bahia","Ilhéus","Centro de Pesquisas do Cacau, CEPLAC, CEPEC.","-39.0494003295898","-14.7889003753662",NA,NA,NA,"Arbusto de 3m; frutos verdes.","IAN118843",NA,NA,NA,NA,"2003",NA,"61245","auto",NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 10:31:41-03","NBC","NL-BOTANY","L.2128091","PreservedSpecimen","Plantae",NA,"Sapindales","Rutaceae","Zanthoxylum","acreanum","Zanthoxylum acreanum","(K.Krause) J.F.Macbr.",NA,"Ule EHG",NA,"1911","10","01","Southern America","Brazil",NA,NA,"Rio Acre.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2128091 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2128091",NA,"NL-L2128091",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"13","2020-02-08 10:31:41-03","NBC","NL-BOTANY","U.1578300","PreservedSpecimen","Plantae",NA,"Sapindales","Rutaceae","Zanthoxylum","acuminatum","Zanthoxylum acuminatum","(Sw.) Sw.",NA,"Steyermark JA; Carreño Espinoza V",NA,"1972","04","30","Southern America","Venezuela",NA,NA,"Estado Aragua: Entre La Quebrada Río Hondo al Sur de Tremaria y Choroni, en la vertiente hacia el mar, en las faldas adyacentes al Río Grande del medio.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1578300 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1578300",NA,"NL-U1578300",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
