"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","yearIdentified","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","fieldNumber","minimumElevationInMeters","monthIdentified","dayIdentified"
"1","2020-02-08 10:17:48-03","NBC","NL-BOTANY","U.1510929","PreservedSpecimen","Plantae","Magnoliopsidae","Poales","Gramineae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & J.Söderstr.","Woolston AL","1956","08","30","Southern America","Paraguay","Dpto. San Pedro, Alto Paraguay: Primavera.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1510929 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1510929","NL-U1510929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 12:18:43-03","ESALQ","ESA","80185","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Saderstr.","Bortoleto, S.; Araújo, A.O.; Freire, R.A.P.; Capretz, R.L.; Castellen, M.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Franco, G.C.; Forster, W.; Ivanauskas, N.M.","2002","04","20",NA,"Brasil","Parque Estadual Carlos Botelho, Núcleo S.M.Arcanjo. Floresta Estacional Semidecidual/Floresta Ombrófila Densa Montana. Borda de floresta.","Erva de 50 cm. Fruto marrom.","ESA080185","ESA080185","Magnoliophyta","Nakakura, H.C.","2002","37.0","São Paulo","São Miguel Arcanjo","-475.808","-240.403","-475,808","-240,403",NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:40:28-03","MBM","MBM","25001","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstrom","Hatschbach, G.",NA,NA,NA,"Southern America","Brazil","Porto Dom Pedro II",NA,"MBM025001","MBM025001",NA,"Parodi, L.R.",NA,"3712","Paraná","Paranaguá","-48.5092010498047","-25.5200004577637",NA,NA,"24916","auto",NA,NA,NA,NA,NA
"4","2020-12-21 16:40:27-03","MBM","MBM","162443","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstrom","Schinini, A.; et al.; et al.",NA,NA,NA,"Southern America","Paraguay",NA,NA,"MBM162443","MBM162443",NA,"Zuloaga, F.O.",NA,"27777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2008-05-27 22:02:00-03","MO","MOBOT","2940568","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Nélida Soria","1989","3","16","South America","Paraguay","Tavai. Prop. Trosiuk. En el bosque.",NA,NA,NA,NA,"Gerrit Davidse",NA,"Soria Rey 003320","Caazapá",NA,"-55.28333","-26.16666",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-01-17 20:21:00-02","MO","MOBOT","1121077","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Teodoro Rojas","1919","3","8","South America","Paraguay","Calistro.",NA,NA,NA,NA,"F. Zuloaga (SI)",NA,"Rojas 3410","Paraguarí",NA,"-57.1333333","-25.7666667",NA,NA,NA,NA,"1",NA,NA,NA,NA
"7","2018-05-17 05:28:00-03","MO","MOBOT","1355505","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Fernando O. Zuloaga|Osvaldo Morrone|María E. Múlgura","1996","4","4","South America","Argentina","Dpto. San Ignacio: Loreto, ruinas jesuíticas.",NA,NA,NA,NA,"F. Zuloaga",NA,"Zuloaga 5664","Misiones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2008-05-27 22:02:00-03","MO","MOBOT","222651","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Osvaldo Morrone|José F. Pensiero","1992","4","22","South America","Paraguay","Caacupéa Piribebuy.",NA,NA,NA,NA,NA,NA,"Morrone 102","Cordillera",NA,"-57.25","-25.36666",NA,NA,NA,NA,"1","1",NA,NA,NA
"9","2008-05-27 22:02:00-03","MO","MOBOT","222661","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Osvaldo Morrone|José F. Pensiero","1992","4","24","South America","Paraguay","20 km. al S de San Ignacio, camino a San Patricio.",NA,NA,NA,NA,NA,NA,"Morrone 212","Misiones",NA,"-56.95","-26.91666",NA,NA,NA,NA,"1","11",NA,NA,NA
"10","2009-10-24 09:08:00-02","MO","MOBOT","2227677","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Fernando O. Zuloaga|et al.","1984","5","2","South America","Argentina","Entre Campo Viera y Campo Grande",NA,NA,NA,NA,"Zuloaga, F. O.",NA,"Zuloaga 1996","Misiones","Cainguás","-54.98333","-27.23333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2009-11-09 18:57:00-02","MO","MOBOT","2227699","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Homolepis","villaricensis","Homolepis villaricensis","(Mez) Zuloaga & Soderstr.","Angel L. Cabrera|et al.",NA,NA,NA,"South America","Argentina","San Antonio",NA,NA,NA,NA,"Zuloaga, F. O.",NA,"Cabrera 108","Misiones","General Manuel Belgrano","-53.75","-26.13333",NA,NA,NA,NA,NA,NA,NA,NA,NA
