"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","02350105","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","fragilis","Heteropterys fragilis","Amorim","paratype","H. C. de Lima","4335[= herb. RB 296986]","1991","11","20","South America","Brazil","Rio de Janeiro","Guapimirim","Reserva Ecológica Estadual do Paraíso. Trilha para Mariquitas. Area FP08","-42.883","-22.483","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2554369' target='other'> <mi>dwc_moreinfo</mi></a>","NY02350105","NY02350105_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:31:11-03","UFRJ","RFA","16216","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","fragilis","Heteropterys fragilis","Amorim","Paratipo","P. Occhioni","6631","1974","12",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Serra dos Órgãos, loc. Caneca Fina","-43.2075004577637","-22.9027996063232",NA,"Volúvel, flor amarelo-ouro","RFA34422",NA,"A.M. Amorim","2001","57442","auto",NA,NA,NA,NA,NA
"3","2020-11-04 11:12:42-03","ESALQ","ESA","132461","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Heteropterys","fragilis","Heteropterys fragilis","Amorim","paratypus","Lima, H.C.","4335.0","1991","11","20",NA,"Brasil","Rio de Janeiro","Guapimirim","Reserva Ecológica Estadual do Paraíso. Trilha para Mariquitas. Área FP08","-42.9818992614746","-22.5372009277344",NA,"Indivíduo F0365. Trepadeira com ramos roliços. Flores perfumadas amarelas. Ocasional","ESA132461",NA,"Amorim, A.","2001","21463","auto",NA,NA,NA,NA,NA
"4","2021-03-01 16:33:27-03","UNICAMP","UEC","133911","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Heteropterys","fragilis","Heteropterys fragilis","Amorim",NA,"Amorim, AMA; Souza, GM; Souza, GM; Fraga, CN","3346","2000","02","21",NA,"Brazil","Espírito Santo","Guarapari","Parque Estadual de Setiba, Ramal de acesso a lagoa Vermelha.","-40.5110015869141","-20.6580009460449",NA,"Liana robusta, ca. 8-10m alt. Folhas verdes brilhantes, a face superior mais escura. Ramos basais acinzentados a marrons, pecíolo com glândulas verdes na base. Raque ferrugínea, nectários verdes. Pedicelo e cálice ferrugíneo, glândulas verdes. Todas",NA,NA,"Amorim, AMA","2003","28401","auto",NA,NA,NA,NA,NA
"5","2020-12-21 16:32:45-03","MBM","MBM","292293","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","fragilis","Heteropterys fragilis","Amorim","ISOTYPE","Amorim, A.M.; Neto, S.J.S.; Caruso, J.; Neto, S.J.S.; Caruso, J.","3146","1999","10","28","Southern America","Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso, Trilha a esquerda da estação de Tratamento d' água","-42.933333","-22.516667",NA,"Liana ca. 4-5m alt. Folhas verdes, concolores, membranáceas, quando jovens avermelhadas. Raque, pedicelo e cálice castanho claro, pétalas amarelo-vivo, estames com filetes verdes, anteras alvo-amareladas. Frutos verdes a acastanho-cl","MBM292293","MBM292293","Amorim, A.M.","2001",NA,NA,"-42.933333","-22.516667",NA,NA,NA
"6","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","22256",NA,"Plantae",NA,NA,"Malpighiaceae","Heteropterys","fragilis","Heteropterys fragilis","Amorim","PARATIPO","P. Occhioni",NA,"1974","12",NA,NA,"Brasil","Rio de Janeiro",NA,"Serra dos Orgãos, Caneca- Fria",NA,NA,NA,"Voluvel. Flor amarelo-marrom","MBML022256","MBML022256","André M. Amorim/2001",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-07-23 12:11:27-03","CEPLAC","CEPEC","147511","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","fragilis","Heteropterys fragilis",NA,"Paratipo","H. C. de Lima","4335","1991","11","20",NA,"Brasil","Rio de Janeiro","GUAPIMIRIM","Reserva Ecológica Estadual do Paraíso. Trilha para Mariquitas. Área FP08. Indivíduo FO365.","-42.933333","-22.533333",NA,NA,NA,NA,"A. M. Amorim",NA,NA,NA,"42W56'0","22S32'0","30/12/2001",NA,NA
"8","2020-07-23 12:11:27-03","CEPLAC","CEPEC","109734","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","fragilis","Heteropterys fragilis",NA,"Paratipo","H. C. de Lima","4335","1991","11","20",NA,"Brasil","Rio de Janeiro","MAGÉ","Magé/Cachoeiras de Macacu.Reserva Ecológica Estadula do Paraíso. Picada para Mariquitas.","-42.083333","-22.45",NA,NA,NA,NA,"A. M. Amorim",NA,NA,NA,"42W5'","22S27'","30/12/2001",NA,NA
"9","2020-07-23 12:11:27-03","CEPLAC","CEPEC","109722","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","fragilis","Heteropterys fragilis",NA,"Holótipo","A. M. Amorim","3146","1999","10","28",NA,"Brasil","Rio de Janeiro","GUAPIMIRIM","Estação Ecológica Estadual de Paraíso. Trilha a esq. da Estação de Tratamento de Água.","-42.933333","-22.516667",NA,NA,NA,NA,"A. M. Amorim",NA,NA,NA,"42W56'","22S31'","30/12/2001",NA,NA
"10","2020-07-23 12:11:27-03","CEPLAC","CEPEC","109735","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","fragilis","Heteropterys fragilis",NA,"Isótipo","A. M. Amorim","3146","1999","10","28",NA,"Brasil","Rio de Janeiro","GUAPIMIRIM","Estação Ecológica Estadual de Paraíso. Trilha a esq. da Estação de Tratamento de Água.","-42.933333","-22.516667",NA,NA,NA,NA,"A. M. Amorim",NA,NA,NA,"42W56'","22S31'","30/12/2001",NA,NA
