"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount"
"1","2020-09-23 10:36:28-03","E","E","175662","PreservedSpecimen","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Davis, P.H., Shepherd, G.J., Sakane, M. et Al,","60903","1976","09","10","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:182594","<a href=http://data.rbge.org.uk/herb/E00175662 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00175662",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:28-03","E","E","13830","PreservedSpecimen","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Davis, Peter H.","60903",NA,NA,NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:17955","<a href=http://data.rbge.org.uk/herb/E00013830 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00013830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","454097","PreservedSpecimen","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","G. G. Hatschbach","37827","1975","11","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=382127' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454097","Magnoliophyta","Cucurbitales","Vell.","G. G. Hatschbach","Paraná","Antonina","Rio Pequeno","-48.7117","-25.4286","NY00454097_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:59:05-03","NBC","NL-BOTANY","L.2471388","PreservedSpecimen","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Hatschbach GG",NA,"1967","08","09","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2471388 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2471388",NA,"Cucurbitales","Vell.",NA,"Paraná",NA,NA,NA,NA,"NL-L2471388","Magnoliopsidae","L 0353018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:59:05-03","NBC","NL-BOTANY","L.2471389","PreservedSpecimen","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Hatschbach GG",NA,"1965","11","30","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2471389 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2471389",NA,"Cucurbitales","Vell.",NA,"Paraná",NA,NA,NA,NA,"NL-L2471389","Magnoliopsidae","L 0353017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:03:01-03","ESALQ","ESA","112757","PreservedSpecimen","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Romão, G.O.","2434.0","2009","11","24",NA,"Brasil",NA,NA,NA,"ESA112757","Magnoliophyta",NA,"Vell.","Kollmann, L.","São Paulo","Sete Barras",NA,"-47.9199981689453","-24.3799991607666","ESA112757",NA,NA,"2019","03","15","34059","auto",NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:03:01-03","ESALQ","ESA","125663","PreservedSpecimen","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Bovini, M.G.","543.0","1905","06","16",NA,"Brasil",NA,NA,NA,"ESA125663","Magnoliophyta",NA,"Vell.","Kollmann, L.","Rio de Janeiro","Paraty",NA,"-44.7131004333496","-23.2178001403809",NA,NA,NA,"2019","03","15","34470","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:03:01-03","ESALQ","ESA","34185","PreservedSpecimen","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Bertoncini, A.P. et al.","776.0","1996","12","14",NA,"Brasil",NA,NA,NA,"ESA034185","Magnoliophyta",NA,"Vell.","Jaques, E.L.","São Paulo","Cunha",NA,"-44.9599990844727","-23.0699996948242","ESA034185",NA,NA,NA,NA,NA,"38855","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:03:01-03","ESALQ","ESA","34593","PreservedSpecimen","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Souza, J.P. et al.","777.0","1996","12","12",NA,"Brasil",NA,NA,NA,"ESA034593","Magnoliophyta",NA,"Vell.","Jaques, E.L.","São Paulo","Cunha",NA,"-44.9599990844727","-23.0699996948242","ESA034593",NA,NA,NA,NA,NA,"38855","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:03:01-03","ESALQ","ESA","62444","PreservedSpecimen","Plantae","Begoniaceae","Begonia","herbacea","Begonia herbacea","Gorenstein, M.R. et al.","31.0","1999","01","06",NA,"Brasil",NA,NA,NA,"ESA062444","Magnoliophyta",NA,"Vell.","Kollmann, L.","São Paulo","Iguape",NA,"-47.5499992370605","-24.7000007629395","ESA062444",NA,NA,"2019","03","15","55628","auto",NA,NA,NA,NA,NA,NA,NA
