"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","county","verbatimLongitude","verbatimLatitude","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","02608393","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","beckeri","Elaphoglossum beckeri","Brade","F. B. Matos; J. T. Mickel","isotype","J. Becker","810","1965","12","13","South America","Brazil","Espírito Santo","Ilha da Trindade. Pico Desejado, prope cacuminem Montis Desideratus in praeruptis rupibus facies orientalis suae.","-29.33","-20.5","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2960986' target='other'> <mi>dwc_moreinfo</mi></a>","NY02608393","NY02608393_01",NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:27:51-03","MN","R","51876","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Elaphoglossum","beckeri","Elaphoglossum beckeri","Brade","Brade, A.C.",NA,"Mello Filho, L.E.; Segadas-Vianna, F.","956","1950","05","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"R010053484,R010053485,R010053486",NA,NA,NA,NA,NA,NA,NA
"3","2021-02-23 13:22:06-03","MN","R-TIPOS","180519","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Elaphoglossum","beckeri","Elaphoglossum beckeri","Brade","Brade, A.C.","Isotypus","Becker, J.","s.n.","1965","12","13",NA,"Brasil","Espírito Santo","Ilha da Trindade","-29.333333","-20.5","600",NA,NA,"R000180519","R000180519_001","1966","08","Vitória","29°20'W","20°30'S","600"
"4","2021-02-23 13:22:06-03","MN","R-TIPOS","180519d","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Elaphoglossum","beckeri","Elaphoglossum beckeri","Brade","Brade, A.C.","Isotypus","Becker, J.","s.n.","1965","12","13",NA,"Brasil","Espírito Santo","Ilha da Trindade","-29.333333","-20.5","600",NA,NA,"R000180519d","R000180519d_001","1966","08","Vitória","29°20'W","20°30'S","600"
"5","2021-02-23 13:22:06-03","MN","R-TIPOS","180519c","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Elaphoglossum","beckeri","Elaphoglossum beckeri","Brade","Brade, A.C.","Isotypus","Becker, J.","s.n.","1965","12","13",NA,"Brasil","Espírito Santo","Ilha da Trindade","-29.333333","-20.5","600",NA,NA,"R000180519c","R000180519c_001","1966","08","Vitória","29°20'W","20°30'S","600"
"6","2021-02-23 13:22:06-03","MN","R-TIPOS","180519b","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Elaphoglossum","beckeri","Elaphoglossum beckeri","Brade","Brade, A.C.","Isotypus","Becker, J.","s.n.","1965","12","13",NA,"Brasil","Espírito Santo","Ilha da Trindade","-29.333333","-20.5","600",NA,NA,"R000180519b","R000180519b_001","1966","08","Vitória","29°20'W","20°30'S","600"
"7","2021-02-23 13:22:06-03","MN","R-TIPOS","180519a","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Elaphoglossum","beckeri","Elaphoglossum beckeri","Brade","Brade, A.C.","Isotypus","Becker, J.","s.n.","1965","12","13",NA,"Brasil","Espírito Santo","Ilha da Trindade","-29.333333","-20.5","600",NA,NA,"R000180519a","R000180519a_001","1966","08","Vitória","29°20'W","20°30'S","600"
