"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","imagecode","fieldNumber","preparationType","identifiedBy","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","class","order","continentOcean"
"1","2020-12-20 21:18:01-03","UFV","VIC","33481","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","tricephala","Hyptis tricephala","A. St .- Hil. ex Benth","Valente, G.E.; Azevedo, A.A.","2589","2009","05","02","Brasil","Minas Gerais","Ouro Branco","Serra de Ouro Branco","-43.6918983459473","-20.5207996368408","13809","Planta ca 80 cm, em afloramento rochoso próximo ao lajeado,inflorescência glomeruliforme, flores de cálice verde e corola rosada.","VIC033481","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:18:01-03","UFV","VIC","041322","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","tricephala","Hyptis tricephala","A. St .- Hil. ex Benth","de Paula, C.C.; et al.","32","2002","06","08","Brasil","Minas Gerais","Ouro Branco","Serra de Ouro Branco, Área 1.","-43.6918983459473","-20.5207996368408","13809","Terrestre de campo graminoide, herbácea de 0.40 m, freguência de 5 individuos","VIC041322","auto","VIC041322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-04 08:24:24-03","MNHN","RECOLNAT_MNHN_P","P03001254","PreservedSpecimen",NA,"Lamiaceae","Hyptis","tricephala","Hyptis tricephala","A.St.-Hil. ex Benth.","Saint-Hilaire, A. de",NA,"1816",NA,NA,"Brésil",NA,NA,"Province de Minas Geraes",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03001254' target='other'> <mi>dwc_moreinfo</mi></a>","P03001254",NA,"P03001254_01","B1 826 bis","hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-09-27 19:21:26-03","MNHN","RECOLNAT_MNHN_P","P00737352","PreservedSpecimen",NA,"Lamiaceae","Hyptis","tricephala","Hyptis tricephala","A.St.-Hil. ex Benth.","Saint-Hilaire, A. de",NA,NA,NA,NA,"Brésil",NA,NA,"Province de Minas Geraes : Serra da Caraca",NA,NA,NA,"Hyptis n. specif. tricephala A.St.-Hil. mss <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00737352' target='other'> <mi>dwc_moreinfo</mi></a>","P00737352",NA,"P00737352_01","B1 467","hb","Saint-Hilaire","holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-09-27 22:09:22-03","MNHN","RECOLNAT_MNHN_P","P00737353","PreservedSpecimen",NA,"Lamiaceae","Hyptis","tricephala","Hyptis tricephala","A.St.-Hil. ex Benth.","Saint-Hilaire, A. de",NA,NA,NA,NA,"Brésil",NA,NA,"Province de Minas Geraes : Serra da Caraca",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00737353' target='other'> <mi>dwc_moreinfo</mi></a>","P00737353",NA,"P00737353_01","B1 467","hb","Spach","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-09-04 08:24:24-03","MNHN","RECOLNAT_MNHN_P","P03001253","PreservedSpecimen",NA,"Lamiaceae","Hyptis","tricephala","Hyptis tricephala","A.St.-Hil. ex Benth.","Saint-Hilaire, A. de",NA,"1816",NA,NA,"Brésil",NA,NA,"Province de Minas Geraes",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03001253' target='other'> <mi>dwc_moreinfo</mi></a>","P03001253",NA,"P03001253_01","B1 826 bis","hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-13 11:20:48-03","USP","SPF","108979","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","tricephala","Hyptis tricephala","A.St.-Hil. ex Benth.","Souza, VC","7875","1995","03","08","Brasil","Minas Gerais","Ouro Branco","Serra do Ouro Branco","-43.6295","-20.502556",NA,NA,"SPF00108979",NA,"SPF00108979",NA,NA,"Harley, RM",NA,"2004","04","-43.6295","-20.502556","1200","1200",NA,NA,NA,NA
"8","2019-10-07 09:16:21-03","UEFS","HUEFS","49667","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","tricephala","Hyptis tricephala","A.St.-Hil. ex Benth.","Lombardi, J.A.","1883","1997","07","14","Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra.","-46.65","-20.166667",NA,"Arbustivo-arbórea junto ao córrego Santo Antônio.","HUEFS0049667",NA,"HUEFS0049667",NA,NA,"R.M.Harley",NA,"2007","02","46W39'","20S10'","1396","1396","Angiospermae","Asteranae","Lamiales",NA
"9","2019-09-04 19:23:38-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Lamiaceae","Hyptis","tricephala","Hyptis tricephala",NA,"A. Saint-Hilaire",NA,NA,NA,NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,NA,NA,NA,NA,NA,"Spermatophyta","Dicotyledoneae",NA,"South America"
"10","2017-09-11 17:10:16-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Lamiaceae","Hyptis","tricephala","Hyptis tricephala","A.St.-Hil. ex Benth.","St.-Hil, A","s.n.",NA,NA,NA,"Brazil","Minas Gerais",NA,"habitat ad Serra do Caraça prov. Minarum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America"
