"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","county","decimalLongitude","decimalLatitude","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","class","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","02326817","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Attalea","compta","Attalea compta","Mart.","M. J. Balick","1693","1984","11","30","South America","Brazil","Minas Gerais","11 km east of Mun. Santa Fe. Center, near stream called Logradoreo, Fazenda Santa Maria","boxed","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2578478' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326817","NY02326817_01 NY02326817_02 NY02326817_03 NY02326817_04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-12-20 09:58:00-02","NY","NYBG","02326819","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Attalea","compta","Attalea compta",NA,"E. L. Little Jr.","21208","1965","10","02","South America","Ecuador",NA,"Businga (Vilda) en Río Verde, 25 Km. S. de boca a Rioverde en Océano Pacífico","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2578481' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326819","NY02326819_01","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00568088","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Attalea","compta","Attalea compta","Mart.","L. R. Noblick","4855","1992","03","29","South America","Brazil","Minas Gerais","2 km SE of the city, Fazenda Jaburu (Property of Antonio Corrêa).","boxed","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=449209' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568088","NY00568088_01 NY00568088_02 NY00568088_03 NY00568088_04 NY00568088_05 NY00568088_06 NY00568088_07 NY00568088_08 NY00568088_09 NY00568088_10 NY00568088_11 NY00568088_12 NY00568088_13","650","Vazante","-46.9","-18.02","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","568092","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Attalea","compta","Attalea compta","Mart.","H. Q. B. Fernandes","3211","1997","05","23","South America","Brazil","São Paulo","Distrito de Silvânia, Fazenda Sao Francisco, ára conhecida como Coqueiral.","boxed","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=449210' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568092","NY00568092_01 NY00568092_02 NY00568092_03 NY00568092_04 NY00568092_05 NY00568092_06 NY00568092_07",NA,"Matao","-48.36","-21.6003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02326818","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Attalea","compta","Attalea compta","Mart.","M. J. Balick","1691","1984","11","30","South America","Brazil","Minas Gerais","11 km east of Mun. Santa Fe. Center, near stream called Logradoreo, Fazenda Santa Maria","boxed","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2578480' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326818","NY02326818_01 NY02326818_02 NY02326818_03 NY02326818_04 NY02326818_05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:00:30-03","ESALQ","ESA","33494","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Arecaceae","Attalea","compta","Attalea compta","Mart.","Noblick, L.R.","4855.0","1992","03","29",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA033494","ESA033494_1 ESA033494_2 ESA033494_3",NA,"Varzante",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-07-02 14:03:33-03","JBP","HPL","11939","S","Plantae",NA,NA,"Palmae","Attalea","cf. compta","Attalea cf. compta",NA,"H. Lorenzi, C.R. Campos, F. Campos","6803","2010","01","20",NA,"Brasil","MG",NA,NA,NA,NA,NA,NA,"Bocaiúva","-43.815","-17.1078",NA,"H. Lorenzi","2010","01","20","90741","auto",NA,NA,NA,NA,NA,NA
"8","2019-02-15 11:33:21-02","IPA","IPA","59151","S","Plantae","Plantae",NA,"Arecaceae","Attalea","brasiliensis","Attalea brasiliensis","Glassman","Noblick, L.R.; Nikolaus von Behr; Nikolaus von Behr","5162","1997","07","31","Southern America","Brasil","Distrito Federal","Fercal, 5 km before cement factory Tocantins, near the turnoff to Alto Bela Vista, 13 km from the Colorado Gás Station, on BR-020 (intersection of BR-020) with DF150/DF2). Garden accession number 97295, 97296, 97297, 97298, and 97299.",NA,"Palm solitary with 2-5m x 22cm trunk. LeavesLeaves 23 in crown, spirally arranged and strongly ascending and arching at tip. Leaf sheath plus petiole is 95cm long, 18cm wide and 5cm thick and a fibrous leaf sheath, adaxially channeled","IPA0059151",NA,"870","Sobradinho","-47.874444","-15.598611","870",NA,NA,NA,NA,NA,NA,"-47.874444","-15.598611",NA,NA,NA,NA
"9","2019-02-15 11:33:21-02","IPA","IPA","50939","S","Plantae","Plantae",NA,"Arecaceae","Attalea","compta","Attalea compta","Mart.","Fernandes, H.Q.B.","1751","1985","12","19","Southern America","Brasil","Espirito Santo","Vale do Canaã, alto da encosta, trilha do Recanto da Saudade.",NA,"Árvore 9m, estipe 2m, encoberto por bainhas secas; folha 7,8m; raque 5,8m; espádice a 3,5m do solo, pêndulo; frutos marrons avermelhados, 14 folhas contemporâneas, heliófita.; Capoeirão.","IPA0050939",NA,NA,"Santa Tereza","-40.6002998352051","-19.9356002807617",NA,"Fernandes, H.Q.B.","1986","09","24","23813","auto",NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:13:31-03","MBM","MBM","170148","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Attalea","compta","Attalea compta","Mart.","Noblick, L.R.","s.n.","1992","03","29","Southern America","Brazil","Minas Gerais","Fazenda Jaburu, 2km SE da cidade",NA,NA,"MBM170148","MBM170148 MBM170148_1",NA,"Vazante","-46.9077987670898","-17.9869003295898",NA,NA,NA,NA,NA,"62440","auto",NA,NA,NA,NA,NA,NA
