"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","individualCount","typeStatus","monthIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","777090","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","obcordata","Myrcia obcordata","Mattos","M. L. Kawasaki","G. L. Esteves","2767","2000","10","20","South America","Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba. Base do Gravi","-45.4097","-23.6203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118419' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777090","NY00777090_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","687439","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","obcordata","Myrcia obcordata","Mattos","M. L. Kawasaki","V. C. Souza","9069","1995","09","04","South America","Brazil","São Paulo","Eldorado","Parque Estadual de jacupiranga, Núcleo da Caverna do Diabo.","-48.0997","-24.5203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=875186' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687439","NY00687439_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:37:20-03","MBM","MBM","132190","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","obcordata","Myrcia obcordata","Mattos","Silveira, N.","Silva, J.M.; Gilberti, G.C.; Gilberti, G.C.","686","1989","11","14","Southern America","Brazil","Paraná","Quatro Barras","Morro Sete","-49.0769004821777","-25.3656005859375",NA,NA,"MBM132190","MBM132190","17116","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:37:20-03","MBM","MBM","41355","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","obcordata","Myrcia obcordata","Mattos","Oswaldo","Oswaldo","1139","1966","04",NA,"Southern America","Brazil","São Paulo","Santo André","Paranapiacaba, via férrea São Paulo - Santos","-46.5299987792969","-23.6599998474121",NA,NA,"MBM041355","MBM041355","27258","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:37:20-03","MBM","MBM","52662","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","obcordata","Myrcia obcordata","Mattos","Silveira, N.","Hatschbach, G.","15691","1967","01","12","Southern America","Brazil","Paraná","Quatro Barras","Morro Mãe Catira","-49.0769004821777","-25.3656005859375",NA,NA,"MBM052662","MBM052662","17116","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:37:20-03","MBM","MBM","130563","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","obcordata","Myrcia obcordata","Mattos","Silveira, N.","Ribas, O.S.; Cordeiro, J.; Cordeiro, J.","121","1989","06","06","Southern America","Brazil","Paraná","Quatro Barras","Morro Sete","-49.0769004821777","-25.3656005859375",NA,NA,"MBM130563","MBM130563","17116","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-11 17:20:46-03","UFPR","UPCB","94396","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","retusa","Myrcia retusa","(O.Berg) Nied.","Lima, D.F.","Kuhlmann, M.","3334","1946","07","04",NA,"Brasil","São Paulo","Santo André","E. B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,"Arbusto, frutos pretos quando maduros","UPCB0043196","UPCB0043196","27258","auto","2018",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-09 10:13:39-03","UENF","HUENF","6280","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","obcordata","Myrcia obcordata","Mattos",NA,"Evaristo, V.T.","1811","2005","12","01",NA,"Brasil","Rio de Janeiro","Rio das Ostras","Reserva Biológica União","-42.035556","-22.428333",NA,"775-PVP","HUENF00006283",NA,NA,NA,NA,"42º2'8''W","22º25'42''S","56","56",NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","2580005","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrcia","obcordata","Myrcia obcordata","Mattos",NA,"O. Handro","1139","1966","4","15","South America - Neotropics","Brazil","São Paulo","Santo André","(via férrea São Paulo-Santos). Estação Biológica.","-46.5299987792969","-23.6599998474121",NA,NA,"US01892543","US01892543_01 US01892543_02","27258","auto",NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"10","2019-11-13 11:27:08-03","USP","SPF","165036","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","obcordata","Myrcia obcordata","Mattos","Kawasaki, ML","Souza, VC","9069","1995","09","04",NA,"Brasil","São Paulo","Eldorado","Parque Estadual de Jacupiranga","-48.0999984741211","-24.5200004577637",NA,NA,"SPF00165036",NA,"38804","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
