"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","year","month","day","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","475418","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","myricifolia","glandulifera","Byrsonima myricifolia glandulifera","Nied.","F. J. Niedenzu","A. F. M. Glaziou","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Mont. Orgaos","-43.073169","-22.496706","sheet","Collection number illegible: 3891? 38913? <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=722550' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475418","NY00475418_01 NY00475418_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","719880","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","myricifolia",NA,"Byrsonima myricifolia","Griseb.",NA,"C. Moura","South America","Brazil","São Paulo",NA,"Paranapiacaba, Reserva Florestal do alto da Serra.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2523726' target='other'> <mi>dwc_moreinfo</mi></a>","NY00719880","NY00719880_01","s.n.","1968","02","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1015551","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","myricifolia",NA,"Byrsonima myricifolia","Griseb.",NA,"J. Wesenberg","South America","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Próximo à parte superior da trilha do Rancho Frio.","-43.0133","-22.4639","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107677' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015551","NY01015551_01","JW605","2005","03","11","1615","1615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","643920","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","myricifolia",NA,"Byrsonima myricifolia","Griseb.","W. R. Anderson","G. G. Hatschbach","South America","Brazil","Paraná","Sao José dos Pinhais","Rio Pequeno","-49.2064","-25.5347","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=749834' target='other'> <mi>dwc_moreinfo</mi></a>","NY00643920","NY00643920_01","26538","1971","03","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","475412","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","myricifolia",NA,"Byrsonima myricifolia","Griseb.","G. G. Hatschbach","G. Gatti","South America","Brazil","Paraná","Quatro Barras",NA,"-49.07","-25.35","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=749835' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475412","NY00475412_01","42","1996","03","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","475634","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","myricifolia",NA,"Byrsonima myricifolia","Griseb.","M. C. H. Mamede","W. Hoehne","South America","Brazil","São Paulo","Sao Miguel Arcanjo","Sao Miguel Arcanjo, Floresta Estadual Carlos Botelho. Limite sul da reserva Serra de Paranapiacaba","-47.99","-23.8703","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426481' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475634","NY00475634_01","6179","1967","04","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","719883","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","myricifolia",NA,"Byrsonima myricifolia","Griseb.",NA,"M. Sugiyama","South America","Brazil","São Paulo",NA,"Paranapiacaba, Estação Bioloógica","-46.32","-23.78","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2523731' target='other'> <mi>dwc_moreinfo</mi></a>","NY00719883","NY00719883_01","224","1983","01","28","750","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","475608","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","myricifolia",NA,"Byrsonima myricifolia","Griseb.","M. C. H. Mamede","M. Kuhlmann","South America","Brazil","São Paulo","Salesópolis","Salesópolis, Boracéia, Estaçao Biológica","-45.886229","-23.65179","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426456' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475608","NY00475608_01","4349","1958","03","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","475417","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","myricifolia","glandulifera","Byrsonima myricifolia glandulifera","Nied.","F. J. Niedenzu","A. Gehrt","South America","Brazil","São Paulo","Ribeirao Pires","Alto da Serra","-46.4097","-23.71","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=722549' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475417","NY00475417_01","8119","1922","04","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","475416","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","myricifolia","glandulosa","Byrsonima myricifolia glandulosa","Nied.",NA,"A. F. M. Glaziou","South America","Brazil","Rio de Janeiro","Nova Friburgo","Alto Macahé","-42.5308","-22.2819","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=116540' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475416","NY00475416_01","16728","1880","07","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
