"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","phylum","order","identifiedBy","yearIdentified","monthIdentified","dayIdentified","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","typeStatus","class","individualCount"
"1","2008-05-27 22:02:00-03","MO","MOBOT","108560","PreservedSpecimen","Plantae","Fabaceae","Dimorphandra","mediocris","Dimorphandra mediocris","Ducke","A. Ducke","Ducke RB35071","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-08-31 08:51:39-03","INPA","INPA","231777","S","Plantae","Leguminosae-Caes","Dimorphandra","mediocris","Dimorphandra mediocris","Ducke","Silva, MCR da","103","Southern America","Brasil","Dicotyledon","Fabales","Silva, GS da","2018","01","22","2009","02","13","Rondônia","Porto Velho","Estação Ecológica do Cuniã, Estação Ecológica de Cuniã (ESEC Cuniã), divisa com o município de Humaitá#?#AM. Reserva L-O 1 - 2000, 314º, distante 5m.","-62.291","-8.022","-62.291","-8.022","INPA0231777","INPA0231777 INPA0231777_e",NA,NA,NA
"3","2021-01-10 20:42:07-03","INPA","INPA","181578","S","Plantae","Leguminosae-Caes","Dimorphandra","mediocris","Dimorphandra mediocris","Ducke","Lima, HC de","3205","Southern America","Brasil","Dicotyledon","Fabales","Silva, GS da","2018","06","14","1987","11","17","Amazonas","São Gabriel da Cachoeira","Rio Uaupés, Ipanuré, Alto Rio Negro, Rio Uaupés, Ipanuré, estrada para Urubuquara","-67.0892","-0.130278","-67.0892","-0.130278","INPA0181578","INPA0181578 INPA0181578_e INPA0181578_nd",NA,NA,NA
"4","2021-01-10 20:42:07-03","INPA","INPA","85582","S","Plantae","Leguminosae-Caes","Dimorphandra","mediocris","Dimorphandra mediocris","Ducke","Roa Torres, A","214","Southern America","Colômbia","Dicotyledon","Fabales","Silva, MF da","1980","10",NA,"1975",NA,NA,"Amazonas",NA,"Río Vaupes, Río Vaupes.",NA,NA,NA,NA,"INPA0085582","INPA0085582 INPA0085582_e INPA0085582_e1",NA,NA,NA
"5","2021-01-10 20:42:07-03","INPA","INPA","95498","S","Plantae","Leguminosae-Caes","Dimorphandra","mediocris","Dimorphandra mediocris","Ducke","Ducke, A","RB35071","Southern America","Brasil","Dicotyledon","Fabales",NA,NA,NA,NA,"1935","10","08","Amazonas","Santa Isabel do Rio Negro","Rio Negro. Mata da margem acima da cachoeira","-65.041944","-0.693889","-65.041944","-0.693889","INPA0095498","INPA0095498 INPA0095498_e INPA0095498_e1 INPA0095498_s","isotype",NA,NA
"6","2020-09-12 05:00:02-03","US","US","1694198","PreservedSpecimen","Plantae","Fabaceae","Dimorphandra","mediocris","Dimorphandra mediocris","Ducke","A. Ducke","35071","South America - Neotropics","Brazil",NA,"Rosales",NA,NA,NA,NA,"1935","10","8","Amazonas",NA,"Santa Izabel, Rio Negro.",NA,NA,NA,NA,"US00001050","US00001050_01","Isotype","Dicotyledonae","1"
