"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","individualCount","fieldNumber","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","3952","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Cassia","stillifera","Cassia stillifera","H.S.Irwin & Barneby","isotype","B. Maguire","49278","1960","08","18","South America","Brazil","Minas Gerais","On slopes below (N) Grao Mogul","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608885' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003952","NY00003952_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00978922","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","stillifera","Chamaecrista stillifera","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA,"G. G. Hatschbach","41318","1978","04","22","South America","Brazil","Minas Gerais","Rio Itacambiruçu","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1063704' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978922","NY00978922_01","R. C. Barneby","Grão Mogol","-42.8894","-16.5594",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00978947","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","stillifera","Chamaecrista stillifera","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA,"G. G. Hatschbach","67988","1998","07","18","South America","Brazil","Minas Gerais","Estrada Grão Mogol- Cristália, ponte sobre o rio Itacambiruçu","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1063715' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978947","NY00978947_01","R. C. Barneby","Cristália","-42.8619","-16.8006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00978948","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","stillifera","Chamaecrista stillifera","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA,"T. M. Cerati","221","1985","07","06","South America","Brazil","Minas Gerais","Serra do Cabral, Morro do Onça","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1063716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978948","NY00978948_01","R. C. Barneby","Joaquim Felício","-44.1719","-17.7575","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00978971","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","stillifera","Chamaecrista stillifera","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA,"R. de Mello-Silva","CFCR10796","1987","05","22","South America","Brazil","Minas Gerais","Vale do Ribeirao dos Bois","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1063721' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978971","NY00978971_01","R. C. Barneby","Grão Mogol","-42.8894","-16.5594","820","820",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00978995","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","stillifera","Chamaecrista stillifera","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA,"G. M. Barroso","s.n.","1978","07",NA,"South America","Brazil","Minas Gerais","Grão Mogol","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1063727' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978995","NY00978995_01","R. C. Barneby","Grão Mogol","-42.8894","-16.5594",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00978924","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","stillifera","Chamaecrista stillifera","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA,"G. G. Hatschbach","41259","1978","04","21","South America","Brazil","Minas Gerais","Rio Itacambiruçu","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1063708' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978924","NY00978924_01","R. C. Barneby","Grão Mogol","-42.8894","-16.5594",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00978950","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","stillifera","Chamaecrista stillifera","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA,"A. M. Giulietti","CFCR9876","1986","07","23","South America","Brazil","Minas Gerais","Córrego Escurinha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1063718' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978950","NY00978950_01","R. C. Barneby","Grão Mogol","-42.8894","-16.5594","740","740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00978972","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","stillifera","Chamaecrista stillifera","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA,"J. R. Pirani","CFCR8389","1985","09","04","South America","Brazil","Minas Gerais","Vale do Rio Itacambiruçu","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1063723' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978972","NY00978972_01","R. de Mello-Silva; B. Appezzato","Grão Mogol","-42.8894","-16.5594",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02423420","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","stillifera","Chamaecrista stillifera","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA,"L. M. Borges","645A","2012","04","26","South America","Brazil","Minas Gerais","Serra do Cabral. Estrada Joaquim Felício--Várzea da Palma, 7-8.7 km de Joaquim Felício, margem direita","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2680032' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423420","NY02423420_01","J. G. Rando","Joaquim Felício","-44.19219","-17.70836","1023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
