"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","fieldNumber","preparationType","minimumElevationInMeters","individualCount","verbatimLongitude","verbatimLatitude"
"1","2020-12-21 16:37:52-03","MBM","MBM","354153","PreservedSpecimen","Plantae","Ochnaceae","Elvasia","kollmanii","Elvasia kollmanii","Fraga & Saavedra","Fraga, C.N.","2004","03","ISOTYPE","Kollmann, L.; Fraga, C.N.; Fraga, C.N.","6253","2003","08","17","Southern America","Brazil","Espírito Santo","Santa Teresa","Radar, Cabeceira do rio Bonito","-40.6002998352051","-19.9356002807617","23813","Árvore 10m, Sépalas amarelas esverdeadas. Pétalas brancas. Ovário verde claro. Estames amarelos. Fruto imaturo da cor verde; Árvore 10m. Sépalas amarelas esverdeadas. Pétalas brancas. Ovário verde claro. Estames amarelos. Fruto imatu","MBM354153","MBM354153","auto",NA,NA,NA,NA,NA,NA
"2","2018-07-09 14:29:01-03","MNHN","RECOLNAT_MNHN_P","P00690076","PreservedSpecimen",NA,"Ochnaceae","Elvasia","kollmannii","Elvasia kollmannii","Fraga & M.M.Saavedra","Fraga",NA,NA,"isotype","Kollmann, L.|Fraga, C.N.",NA,"2003","8","17",NA,"Brésil",NA,NA,"ES, Mun. de Santa Teresa, radar, cabeceira do rio bonito",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00690076' target='other'> <mi>dwc_moreinfo</mi></a>","P00690076","P00690076_01",NA,"6253","hb",NA,NA,NA,NA
"3","2016-02-18 05:27:00-02","MO","MOBOT","100265718","PreservedSpecimen","Plantae","Ochnaceae","Elvasia","kollmannii","Elvasia kollmannii","Fraga & M.M. Saavedra","C. N. Fraga",NA,NA,"Paratype","Ludovic Kollmann|Elias Bausen|W. Pizziolo","Kollmann 3872","2001","6","12","South America","Brazil","Espírito Santo","Santa Teresa","Cabeceira do Rio Bonito, Terreno da Aeronáutica, Radar.","-40.6002998352051","-19.9356002807617","23813",NA,NA,NA,"auto",NA,NA,"1030.00000000","1",NA,NA
"4","2013-08-23 04:12:00-03","MO","MOBOT","100269008","PreservedSpecimen","Plantae","Ochnaceae","Elvasia","kollmannii","Elvasia kollmannii","Fraga & M.M. Saavedra","C. N. Fraga/Março",NA,NA,"Isotype","Ludovic Kollmann|C.N. Fraga","Kollmann 6253","2003","8","17","South America","Brazil","Espírito Santo","Santa Teresa","Radar, cebeceira do rio bonito.","-40.6002998352051","-19.9356002807617","23813",NA,NA,NA,"auto",NA,NA,NA,"1",NA,NA
"5","2020-07-10 09:48:04-03","MBML","MBML-HERBARIO","14547",NA,"Plantae","Ochnaceae","Elvasia","kollmannii","Elvasia kollmannii","Fraga & Saavedra","Fraga/28-10-2003",NA,NA,"PARATIPO","L. Kollmann; et al","3872","2001","06","12",NA,"Brasil","Espírito Santo","Santa Teresa","Cabeceira do Rio Bonito","-40.583333","-19.984167",NA,"Arvoreto 9m. DAP 22cm. Fuste 7m. Botões amarelos.","MBML014547","MBML014547",NA,NA,NA,NA,"1","40W34'60","19S59'3"
"6","2020-07-10 09:48:04-03","MBML","MBML-HERBARIO","21857",NA,"Plantae","Ochnaceae","Elvasia","kollmannii","Elvasia kollmannii","Fraga & Saavedra","Fraga/15-03-2004",NA,NA,"HOLOTIPO","L. Kollmann; et al","6253","2003","08","17",NA,"Brasil","Espírito Santo","Santa Teresa","Radar","-40.583611","-19.984167",NA,"Árvore 10m. Sépalas amarelas esverdeadas. Pétalas brancas. Ovário verde claro. Estames amarelos. Fruto imaturo de cor verde.","MBML021857","MBML021857_1 MBML021857_2",NA,NA,NA,NA,"6","40W35'1","19S59'3"
