"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:18-03","E","E","259433","PreservedSpecimen","Plantae","Lauraceae","Nectandra","nitidula","Nectandra nitidula","syntype","Tweedie, John","E. Tropical South America","BR","St. Catherines","herbarium specimen of unspecif","BGBASE:270829","<a href=http://data.rbge.org.uk/herb/E00259433 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:18-03","E","E","259309","PreservedSpecimen","Plantae","Lauraceae","Nectandra","nitidula","Nectandra nitidula","syntype","Sellow, Friedrich","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:269813","<a href=http://data.rbge.org.uk/herb/E00259309 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:18-03","E","E","259363","PreservedSpecimen","Plantae","Lauraceae","Nectandra","nitidula","Nectandra nitidula","syntype","Sellow, Friedrich","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:269814","<a href=http://data.rbge.org.uk/herb/E00259363 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","469168","PreservedSpecimen","Plantae","Lauraceae","Nectandra","nitidula","Nectandra nitidula",NA,"J. R. Pirani","South America","Brazil","Linhares, restinga de Povoaçao, Ponto do Monsaraz","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=498047' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469168","Magnoliophyta","Laurales","Nees & Mart.","H. H. van der Werff","2387","1988","02","19","Espírito Santo","Linhares","-39.8","-19.58","NY00469168_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","469176","PreservedSpecimen","Plantae","Lauraceae","Nectandra","nitidula","Nectandra nitidula",NA,"G. Eiten","South America","Brazil","14.6km west along road from RR. viaduct at Bragançs Paulista.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=498051' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469176","Magnoliophyta","Laurales","Nees & Mart.",NA,"2431","1960","10","24","São Paulo","Bragança Paulista","-46.54","-22.9503","NY00469176_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00918252","PreservedSpecimen","Plantae","Lauraceae","Nectandra","nitidula","Nectandra nitidula",NA,"G. Gardner","South America","Brazil","Minas Geraes","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986055' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918252","Magnoliophyta","Laurales","Nees & Mart.",NA,"5152","1842",NA,NA,"Minas Gerais",NA,NA,NA,"NY00918252_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00918099","PreservedSpecimen","Plantae","Lauraceae","Nectandra","nitidula","Nectandra nitidula",NA,"L. Riedel","South America","Brazil","Agua Quente. Serra da Carapa.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986033' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918099","Magnoliophyta","Laurales","Nees & Mart.","C. C. Mez","499","1824","09",NA,"Minas Gerais",NA,NA,NA,"NY00918099_01 NY00918099_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","355481","PreservedSpecimen","Plantae","Lauraceae","Nectandra","nitidula","Nectandra nitidula major","possible syntype","Martii Herbar. Florae Brasil.","South America","Brazil","Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=450075' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355481","Magnoliophyta","Laurales","Nees",NA,"1239",NA,NA,NA,"Minas Gerais",NA,NA,NA,"NY00355481_01","major",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","469172","PreservedSpecimen","Plantae","Lauraceae","Nectandra","nitidula","Nectandra nitidula",NA,"F. C. Hoehne","South America","Brazil","Campinas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=498053' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469172","Magnoliophyta","Laurales","Nees & Mart.","J. G. Rohwer","s.n.","1931","10","06","São Paulo","Campinas","-47.039738","-22.887661","NY00469172_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00469177","PreservedSpecimen","Plantae","Lauraceae","Nectandra","nitidula","Nectandra nitidula",NA,"L. O. Williams","South America","Brazil","Near Belo Horizonte.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=498049' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469177","Magnoliophyta","Laurales","Nees & Mart.","J. G. Rohwer","8058","1945","09","21","Minas Gerais","Belo Horizonte","-43.9378","-19.9208","NY00469177_01",NA,"900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
