"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","relationshipType","relatedCatalogItem","class","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","02591417","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","cavalcantei","Ipomoea cavalcantei","D.F.Austin","A. J. Arruda","955","2012","04","19","South America","Brazil","Pará","Parauapebas","N2, Vegetação rupestre sobre canga.","-50.2467","-6.0569","724","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2887617' target='other'> <mi>dwc_moreinfo</mi></a>","NY02591417","NY02591417_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1922733","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","cavalcantei","Ipomoea cavalcantei","D.F.Austin","C. R. Sperling","5584","1982","05","12","South America","Brazil","Pará",NA,"Serra dos Carajás, Serra Norte, AMZA camp N-5","-50.13","-6.07","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2150116' target='other'> <mi>dwc_moreinfo</mi></a>","NY01922733","NY01922733_01","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02609547","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","cavalcantei","Ipomoea cavalcantei","D.F.Austin","A. J. Arruda","1380","2013","01","27","South America","Brazil","Pará","Parauapebas","Serra Norte - N3, Floresta ombrófila densa.","-50.2097","-6.0433","699","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2887613' target='other'> <mi>dwc_moreinfo</mi></a>","NY02609547","NY02609547_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1922732","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","cavalcantei","Ipomoea cavalcantei","D.F.Austin","R. de S. Secco","120","1982","05","12","South America","Brazil","Pará",NA,"Marabá, Alto da Serra, arredores do N5",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2150115' target='other'> <mi>dwc_moreinfo</mi></a>","NY01922732","NY01922732_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1922734","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","cavalcantei","Ipomoea cavalcantei","D.F.Austin","N. A. Rosa","4480","1983","01","23","South America","Brazil","Pará","Marabá","Serra Norte (Serra dos Carajás) arredores do alojamento N1. Vegetação sobre canga de ferro.","-50.2921486","-6.0253411","700.00","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2150117' target='other'> <mi>dwc_moreinfo</mi></a>","NY01922734","NY01922734_01","700.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02591425","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","cavalcantei","Ipomoea cavalcantei","D.F.Austin","A. J. Arruda","903","2012","03","27","South America","Brazil","Pará","Parauapebas","N3, Campo graminoso sobre canga.","-50.2078","-6.0417","694","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2887625' target='other'> <mi>dwc_moreinfo</mi></a>","NY02591425","NY02591425_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01922731","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","cavalcantei","Ipomoea cavalcantei","D.F.Austin","A. S. L. da Silva","1764","1984","03","14","South America","Brazil","Pará","Marabá","Serra dos Carajás. N-4, mina pilôto para exploração de ferro. Local onde foi realizado Inventário em 05/83. Campo rupestre, solo de canga.","-50.1736164","-6.0551244","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2150113' target='other'> <mi>dwc_moreinfo</mi></a>","NY01922731","NY01922731_01","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1922735","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","cavalcantei","Ipomoea cavalcantei","D.F.Austin","M. G. da Silva","2911","1977","03","25","South America","Brazil","Pará","Marabá","Serra dos Carajás, setor nº 4","-50.1736164","-6.0551244",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2150118' target='other'> <mi>dwc_moreinfo</mi></a>","NY01922735","NY01922735_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:37:33-03","EAO","IAN","152915","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Convolvulaceae","Ipomoea","cavalcantei","Ipomoea cavalcantei","D.F.Austin","Ribeiro, BGS","1360","1976","06","26","Southern America","Brasil","Pará",NA,"Serra dos Carajás, Base 1.",NA,NA,NA,NA,NA,"IAN152915",NA,NA,"Austin, DF","1980","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:37:33-03","EAO","IAN","161891","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Convolvulaceae","Ipomoea","cavalcantei","Ipomoea cavalcantei","D.F.Austin","Daly, DC; Callejas, R","1742","1981","12","05","Southern America","Brasil","Pará",NA,"Serra dos Carajás, 25-30km NW of Serra Norte mining camp. Hilly scrub on ferrous rock outcrop.","-50.433333","-5.916667",NA,NA,NA,"IAN161891",NA,NA,"Vasconcelos, L","2016","11","22","-50.433333","-5.916667",NA,NA,NA,NA,NA,NA,NA
