"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","797348","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","latisquama","Mikania latisquama","Cabrera","W. C. Holmes","G. G. Hatschbach","21305","1969","04","01","South America","Brazil","Paraná","Quatro Barras","Rio do Corvo","-49.0767","-25.3658","800","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=48000' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797348","NY00797348_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","811702","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","smaragdina","Mikania smaragdina","Dusén ex Malme",NA,"W. C. Holmes","5054","1990","05","30","South America","Brazil","Paraná","Sao Jose dos Pinhais","Colonia Santos Andrade.","-49.2064","-25.5347","1080","1080","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803703' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811702","NY00811702_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","811705","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","smaragdina","Mikania smaragdina","Dusén ex Malme",NA,"W. C. Holmes","5078","1990","06","28","South America","Brazil","Paraná",NA,"Tijucos do Sul, Lagoinha.",NA,NA,"920","920","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803707' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811705","NY00811705_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","230584","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","smaragdina","Mikania smaragdina","Dusén ex Malme",NA,"P. K. H. Dusén","10109a","1909","03","15","South America","Brazil","Paraná",NA,"Roca Nova",NA,NA,"885","885","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=124803' target='other'> <mi>dwc_moreinfo</mi></a>","NY00230584","NY00230584_01","isolectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","800988","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","smaragdina","Mikania smaragdina","Dusén ex Malme","W. C. Holmes","G. G. Hatschbach","16220","1967","03","30","South America","Brazil","Paraná","Quatro Barras","Morro Más Catira","-49.0767","-25.3658","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709376' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800988","NY00800988_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","811701","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","smaragdina","Mikania smaragdina","Dusén ex Malme","G. G. Hatschbach","J. Cordeiro","816","1992","03","11","South America","Brazil","Paraná","Quatro Barras","Morro Sete.","-49.0767","-25.3658","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803702' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811701","NY00811701_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","811704","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","smaragdina","Mikania smaragdina","Dusén ex Malme","H. E. Robinson","R. Kummrow","2287","1983","04","13","South America","Brazil","Paraná","Guaratuba","Serra do Araçatuba.","-48.5744","-25.8831",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803705' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811704","NY00811704_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","811703","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","smaragdina","Mikania smaragdina","Dusén ex Malme",NA,"W. C. Holmes","5055","1990","05","30","South America","Brazil","Paraná","Quatro Barras","Rio do Corvo.","-49.0767","-25.3658","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803704' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811703","NY00811703_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","811748","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","smaragdina","Mikania smaragdina","Dusén ex Malme","M. R. Ritter","L. C. Cândido","10","1999","03","12","South America","Brazil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos.","-48.97","-25.87","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=804202' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811748","NY00811748_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","811700","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","smaragdina","Mikania smaragdina","Dusén ex Malme","H. E. Robinson","J. Cordeiro","1018","1993","03","09","South America","Brazil","Paraná","Bocaiúva do Sul","Serra de Santana.","-49.115","-25.2061","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803701' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811700","NY00811700_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
