"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","individualCount","class","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","158631","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Aspilia","jugata","Aspilia jugata","H.Rob.","isotype","W. R. Anderson","8930","1973","04","14","South America","Brazil","Minas Gerais","Serra do Espinhaço: 3.5 km. by road southwest of Rio Jequití and Mendanha","880","880","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=752372' target='other'> <mi>dwc_moreinfo</mi></a>","NY00158631","NY00158631_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:09:49-03","UFBA","ALCB","134752","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","jugata","Aspilia jugata","H.Rob.",NA,"Alves, M; Roque, N; Campos, L; Barres, L","394","2015","10","02","Southern America","Brasil","Minas Gerais","Distrito de Mendanha. Estrada de terra e direção a Diamantina.","735","735",NA,"Arbusto de 0,5 m a 1,5 m alt. Folhas discolores. Capítulos passados castanhos.","ALCB060271","ALCB060271","Alves, M","2015","09","Diamantina","-43.541667","-19.222222","-43.541667","-19.222222",NA,NA,NA,NA
"3","2014-11-20 13:26:00-02","MO","MOBOT","100761727","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","jugata","Aspilia jugata","H. Rob.","Isotype","William R. Anderson","Anderson 8930","1973","4","14","South America","Brazil","Minas Gerais","3.5 km by road SW of Rio Jequití and Mendanha.","880.00000000",NA,NA,NA,NA,NA,"H. Robinson (US)",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","3022445","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Aspilia","jugata","Aspilia jugata","H. Rob.",NA,"W. R. Anderson, P. A. Fryxell, S. R. Hill, R. Reis dos Santos & R. Souza","8930","1973","4","14","South America - Neotropics","Brazil","Minas Gerais","Planalto do Brasil, Serra do Espinhaco, 3.5 km by road SW of Rio Jequiti and Mendanha","880",NA,NA,NA,"US01765677","US01765677_01",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"5","2020-09-12 05:00:02-03","US","US","2818594","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Aspilia","jugata","Aspilia jugata","H. Rob.","Isotype","W. R. Anderson","8930","1973","4","14","South America - Neotropics","Brazil","Minas Gerais","3.5 km by road SW of Rio Jequiti and Mendanha.","880","880",NA,NA,"US00385790","US00385790_01",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"6","2020-09-12 05:00:02-03","US","US","2818512","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Aspilia","jugata","Aspilia jugata","H. Rob.",NA,"H. S. Irwin, S. F. Fonsêca, R. Souza, R. Reis dos Santos & J. Ramos","28108","1970","3","23","South America - Neotropics","Brazil","Minas Gerais","Planalto do Brasil, Serra do Espinhaco, ca 15 km N of Sao Joao da Chapada","975",NA,NA,NA,"US01765678","US01765678_01",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"7","2020-09-12 05:00:02-03","US","US","2922519","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Aspilia","jugata","Aspilia jugata","H. Rob.",NA,"R. M. King & L. E. Bishop","8564A","1981","1","19","South America - Neotropics","Brazil","Minas Gerais","22 km from Diamantina, along road NE to Mendanha","853",NA,NA,NA,"US01765679","US01765679_01",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"8","2019-10-07 09:11:06-03","UEFS","HUEFS","222959","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Aspilia","jugata","Aspilia jugata","H.Rob.",NA,"Alves, M.","394","2015","10","02",NA,"Brasil","Minas Gerais","Distrito de Mendanha. Estrada de terra e direção à Diamantina.","735","735",NA,NA,"HUEFS0222959","HUEFS0222959",NA,NA,NA,"Diamantina","-43.519167","-18.124444","43W31'9''","18S7'28''",NA,"Asteranae",NA,NA
"9","2019-09-04 20:03:51-03","F","FMNH-SEEDPLANTS","V0049626F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Aspilia","jugata","Aspilia jugata",NA,"Isotype","W. R. Anderson","8930","1973","4","14","South America","Brazil",NA,NA,NA,NA,NA,NA,"V0049626F","V0049626F_01",NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"Dicotyledoneae",NA,NA
"10","2019-05-06 11:52:31-03","UFU","HUFU","25012","S","Plantae",NA,NA,"Asteraceae","Aspilia","jugata","Aspilia jugata","H.Rob.",NA,"Nakajima, J.N.; Romero, R.","3036","2001","03","22",NA,"Brasil","Minas Gerais","Serra da Moeda","1443","1443",NA,"Arbusto, ca. 0,8 m. Brácteas involucrais esverdeadas, corola amarela, anteras enegrecidas.; Campo de altitude, solo lateritico.","HUFU00042631","HUFU00042631",NA,NA,NA,"Nova Lima","-43.958611","-20.268889","-43.958611","-20.268889",NA,NA,NA,NA
