"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","typeStatus","day","locality","barcode","imagecode"
"1","2020-12-11 11:45:37-03","UFMG","BHCB","19421","PreservedSpecimen","Plantae","Monocotyledon","Xyridaceae","Xyris","tortilis","Xyris tortilis","Wand.","Sajo, MG; L.M.C.","s.n.","1991","11","Southern America","Brasil","Minas Gerais","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 10:20:01-03","IBt","SP","179001","S","Plantae",NA,"Xyridaceae","Xyris","tortilis","Xyris tortilis","Wand.","Wanderley, MGL","CFSC5761","1978","11",NA,"Brasil","Minas Gerais","Jaboticatubas","-43.7449989318848","-19.513599395752","31264","auto","Wanderley, MGL","1983","Holotype","02","Serra do Cipó, Antigo Km 136 da rod. Lagoa Santa - Conceição do Mato Dentro. Local arenoso.","SP002651","SP002651"
"3","2019-11-21 10:20:01-03","IBt","SP","179001a","Extra","Plantae",NA,"Xyridaceae","Xyris","tortilis","Xyris tortilis","Wand.","Wanderley, MGL","CFSC5761","1978","11",NA,"Brasil","Minas Gerais","Jaboticatubas","-43.7449989318848","-19.513599395752","31264","auto","Wanderley, MGL","1983","Holotype","02","Serra do Cipó, Antigo Km 136 da rod. Lagoa Santa - Conceição do Mato Dentro. Local arenoso.","SP002652","SP002652"
"4","2020-05-07 17:16:21-03","IBt","SP","258335","S","Plantae",NA,"Xyridaceae","Xyris","tortilis","Xyris tortilis","Wand.","Wanderley, MGL","1969","1991","11",NA,"Brasil","Minas Gerais","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,"23","Serra do Cipó",NA,NA
