"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","sex"
"1","2021-04-05 14:25:18-03","UNESC","CRI","2683","PreservedSpecimen","Plantae","Fabaceae","Peltophorum","dubium","Peltophorum dubium","(Spreng.) Taub.","A. Burkart","Reitz; Klein","16824","1964","01","02","Brasil","Santa Catarina","Itapiranga","Conceição.","-53.7125","-27.17","53º42'45''W","27º10'12''S","300","300","CRI003065","CRI003065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:18-03","UNESC","CRI","6766","PreservedSpecimen","Plantae","Fabaceae","Peltophorum","dubium","Peltophorum dubium","(Spreng.) Taub.","A. Burkart","R. M. Klein","5381","1964","03","04","Brasil","Santa Catarina","Águas de Chapecó",NA,"-52.986944","-27.070833","52º59'13''W","27º4'15''S","400","400","CRI003061","CRI003061","Habitat: mata Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:18-03","UNESC","CRI","6826","PreservedSpecimen","Plantae","Fabaceae","Peltophorum","dubium","Peltophorum dubium","(Spreng.) Taub.","A. Burkart","P. R. Reitiz; Klein","16824","1964","01","02","Brasil","Santa Catarina","Itapiranga","Conceição.","-53.7125","-27.17","53º42'45''W","27º10'12''S","300","300","CRI003063","CRI003063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:18-03","UNESC","CRI","2668","PreservedSpecimen","Plantae","Fabaceae","Peltophorum","dubium","Peltophorum dubium","(Spreng.) Taub.","Burkat, A","R. M. Klein",NA,"1964","03","04","Brasil","Santa Catarina","Chapecó",NA,"-52.601944","-27.100833","52º36'7''W","27º6'3''S",NA,NA,"CRI003066","CRI003066","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:18-03","UNESC","CRI","15005","PreservedSpecimen","Plantae","Fabaceae","Peltophorum","dubium","Peltophorum dubium","(Spreng.) Taub.","Schwirkowski, P.","Schwirkowski, P.","2657","2018","02","06","Brasil","Santa Catarina","São Bento do Sul","Centro. Centro. Na estação de Tratamento de Água - ETA - do SAMAE.","-49.3825","-26.245","49º22'57''W","26º14'42''S","900","900","CRI014385","CRI014385","Flores amarelas Habitat: Heliófita, aparentemente em cultivo abandonado Habito: Árvore","2018","02","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:32-03","UNESC","CRI","10020","PreservedSpecimen","Plantae","Fabaceae","Peltophorum","dubium","Peltophorum dubium","(Spreng.) Taub.","A. Volkmann","A. Volkmann; C. Coradini",NA,"2013","04","17","Brasil","Santa Catarina","Gaspar","Igreja Santo Antônio, Bairro Gasparinho.","-48.960278","-26.998056","48º57'37''W","26º59'53''S",NA,NA,"CRI003060","CRI003060","Habitat: árvore isolada em matriz urbana Habito: arbórea","2013","04","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:18-03","UNESC","CRI","6733","PreservedSpecimen","Plantae","Fabaceae","Peltophorum","dubium","Peltophorum dubium","(Spreng.) Taub.","A. Burkart","Reitz; Klein",NA,"1964","01","02","Brasil","Santa Catarina","Itapiranga","Conceição.","-53.7125","-27.17","53º42'45''W","27º10'12''S","300","300","CRI003062","CRI003062",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:18-03","UNESC","CRI","6814","PreservedSpecimen","Plantae","Fabaceae","Peltophorum","dubium","Peltophorum dubium","(Spreng.) Taub.","A. Burkart","R. M. Klein",NA,"1964","03","04","Brasil","Santa Catarina","Águas de Chapecó",NA,"-52.986944","-27.070833","52º59'13''W","27º4'15''S","400","400","CRI003064","CRI003064","Habitat: mata Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:40:48-03","E","E","200752","PreservedSpecimen","Plantae","Leguminosae","Peltophorum","dubium","Peltophorum dubium",NA,NA,"Sakuragui,C.M., Harley,R.M., Sano,P.T., Roque,N. & Souza,V.C.","5325","1994","03","06","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00200752",NA,"<a href=http://data.rbge.org.uk/herb/E00200752 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:211940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","582363","PreservedSpecimen","Plantae","Fabaceae","Peltophorum","dubium","Peltophorum dubium","(Spreng.) Taub.","A. E. Burkart","G. G. Hatschbach","21061","1969","02","08","Brazil","Paraná","Cascavel","Santa Tereza","-53.4553","-24.9558",NA,NA,NA,NA,"NY00582363","NY00582363_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409725' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
