"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","individualCount","fieldNumber","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","603472","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Luetzelburgia","guaissara","Luetzelburgia guaissara","Toledo","D. B. O. S. Cardoso","G. G. Hatschbach","69942","2000","01","14","South America","Brazil","Paraná","Jundiaí do Sul","Fazenda Monte Verde, Mata do Cruzeiro","-50.2475","-23.4369","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=571361' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603472","NY00603472_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","777384","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Luetzelburgia","guaissara","Luetzelburgia guaissara","Toledo","M. C. Dias","E. M. Francisco","s.n.","2000","02","09","South America","Brazil","Paraná",NA,"Fazenda Carranca-Distrito de Maravilha. Londrina",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210345' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777384","NY00777384_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","603477","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Luetzelburgia","guaissara","Luetzelburgia guaissara","Toledo","J. F. de Toledo","M. Kuhlmann","179",NA,NA,NA,"South America","Brazil","São Paulo",NA,"Monte Alegre, Amparo",NA,NA,"sheet","fr. s/data; fl. 18-XII-1942 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210346' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603477","NY00603477_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 17:41:48-03","EAO","IAN","90472","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Luetzelburgia","guaissara","Luetzelburgia guaissara","Toledo","Lima, HC de","Araujo, P de","s.n.","1939","12","26","Southern America","Brasil","São Paulo",NA,"Amparo, Margem de estrada de ferro.",NA,NA,NA,"Árvore grande, flores cor de vinho.","IAN090472",NA,"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-08 17:41:48-03","EAO","IAN","90478","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Luetzelburgia","guaissara","Luetzelburgia guaissara","Toledo","Lima, HC de","Kuhlmann, M","179","1942","12","18","Southern America","Brasil","São Paulo",NA,"Amparo, Monte Alegre, capoeira, pastos e beira de caminhos.",NA,NA,NA,"Árvore muito comum nas matas.","IAN090478",NA,"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-08 17:41:48-03","EAO","IAN","186958","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Luetzelburgia","guaissara","Luetzelburgia guaissara","Toledo","Tamashiro, JY","Francisco, EM","26137","1999","10","11","Southern America","Brasil","Paraná","Londrina","Ouro fino- São Luis.","-51.1627998352051","-23.3103008270264",NA,"Árvore 12m; flores roxas.","IAN186958",NA,"1999","63728","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 17:41:48-03","EAO","IAN","154989a","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Luetzelburgia","guaissara","Luetzelburgia guaissara","Toledo","Mansano, VF","Leitão Filho, HFP; Stubblebine, WH; Gabrielli, AC; Taroda, N; Ratter, J; Tamashiro, JY","8637","1978","11","14","Southern America","Brasil","São Paulo","Campinas","Sousas.","-47.060001373291","-22.8999996185303",NA,NA,"IAN154989a",NA,"2011","23900","auto","10","06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-08 17:41:48-03","EAO","IAN","154989","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Luetzelburgia","guaissara","Luetzelburgia guaissara","Toledo","Mansano, VF","Leitão Filho, HFP; Stubblebine, WH; Gabrielli, AC; Taroda, N; Ratter, J; Tamashiro, JY","8637","1978","11","14","Southern America","Brasil","São Paulo","Campinas","Sousas.","-47.060001373291","-22.8999996185303",NA,NA,"IAN154989",NA,"2011","23900","auto","10","06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-10-27 11:21:59-03","PUCPR","HUCP","23078","S","Plantae","Eudicotiledonea",NA,"Fabaceae","Luetzelburgia","guaissara","Luetzelburgia guaissara","Toledo","Bochorny, T","Bochorny, T; Perret, L","055","2012","03","29",NA,"Brasil","Paraná","Ortigueira",NA,"-50.9494018554688","-24.2082996368408",NA,NA,"HUCP00011624","HUCP00011624",NA,"46016","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:16:26-03","UFBA","ALCB","60074","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Luetzelburgia","guaissara","Luetzelburgia guaissara","Toledo","Cardoso, D","Hatschbach, G; Carneiro, J; Silva, JM","69942","2000","01","14","Southern America","Brasil","Paraná","Jundiaí do Sul","Fazenda Monte Verde","-50.247501373291","-23.4367008209229",NA,"10,0m. Flor vermelha.; Floresta.","ALCB031374","ALCB031374","2007","17300","auto","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-04 10:55:48-03","ESALQ","ESA","133528","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Luetzelburgia","guaissara","Luetzelburgia guaissara","Toledo","Bochorny, T.","Toledo, C.A.P.; Rodrigues, M. C.; Vidal, C. Y.; Bochorny, T.; Pereira, L. C. S. M.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.; Ivanauskas, N.M.","75.0","2015","07","07",NA,"Brasil","São Paulo","Nova Odessa","Instituto de Zootecnia. Fragmento de Floresta Estacional Semidecidual degradado","-47.28142","-22.76742",NA,"Árvore, 10 m, coletada na borda da mata.","ESA133528",NA,"2015",NA,NA,"07","07","-47.28142","-22.76742","584","584",NA,NA,NA,NA,NA
"12","2020-11-04 10:55:48-03","ESALQ","ESA","133527","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Luetzelburgia","guaissara","Luetzelburgia guaissara","Toledo","Rodrigues, R. R.","Toledo, C.A.P.; Rodrigues, M. C.; Vidal, C. Y.; Bochorny, T.; Pereira, L. C. S. M.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.; Ivanauskas, N.M.","74.0","2015","07","07",NA,"Brasil","São Paulo","Nova Odessa","Instituto de Zootecnia. Fragmento de Floresta Estacional Semidecidual degradado","-47.28142","-22.76742",NA,"Árvore, 3 m, coletada na borda da mata.","ESA133527",NA,"2015",NA,NA,"07","07","-47.28142","-22.76742","584","584",NA,NA,NA,NA,NA
"13","2020-11-04 11:09:44-03","ESALQ","ESA","88975","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Luetzelburgia","guaissara","Luetzelburgia guaissara","Toledo",NA,"Viani, R.A.G. et al.","338.0","2003","05","17",NA,"Brasil","Paraná","Londrina",NA,"-51.1627998352051","-23.3103008270264",NA,NA,"ESA088975","ESA088975",NA,"63728","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
