"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","yearIdentified","monthIdentified","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","recordNumber","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-02-08 09:13:13-03","NBC","NL-BOTANY","U.1249562","PreservedSpecimen","Plantae","Magnoliopsidae","Fabales","Leguminosae-Pap.","Lathyrus","sessilifolius","Lathyrus sessilifolius","Hook. & Arn.","Herter WGF","1936","02","16","Southern America","Uruguay","Montevideo. Dep de. San José. Paso del Boie.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1249562 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1249562","NL-U1249562",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:29:30-03","IAP","PACA-AGP","785","PreservedSpecimen","Plantae","Magnoliatae","Fagales","Fabaceae","Lathyrus","hookeri","Lathyrus hookeri","G. Don","Rambo, B.","1931","11","02",NA,"Brasil","Morro da Polícia","PROVAVELMENTE EXTINTO Habitat: in campestribus dumetosis Fenofase: flor","PACA000785",NA,"Magnoliophyta","E.E. Neubert","1999","09","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA,NA,NA
"3","2019-01-17 11:25:23-02","PUCRS","MPUC","15371","S","Plantae","Magnoliopsida","Fabales","Fabaceae","Lathyrus","sessilifolius","Lathyrus sessilifolius","Ten.",NA,"1972","10","12","South America","Brasil","Morro Santana",NA,NA,NA,NA,"C. Ignes","1972","01","RS","Porto Alegre","-51.2372222222","-30.0191388889",NA,NA,"01","-51.2372222222","-30.0191388889","1",NA,NA,NA
"4","2009-11-16 07:02:00-02","MO","MOBOT","3198291","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Lathyrus","hookeri","Lathyrus hookeri","G. Don","C.R. Worth|John L. Morrison","1938","11","13","South America","Chile","Depto. Illapel. Cuesta de Cavilolen, ca. 30km. from Illapel, road Illapel to Los vilos; steep shady babks, entangled in other plants.",NA,NA,NA,NA,"Johnston",NA,NA,"Coquimbo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Worth 16458","500.00000000",NA
"5","2009-11-16 07:02:00-02","MO","MOBOT","3201555","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Lathyrus","hookeri","Lathyrus hookeri","G. Don","C.R. Worth|John L. Morrison","1938","11","13","South America","Chile","Dpto. Illapel. Cuesta de Cavilolen, ca. 30km. from Illapel, road Illapel to Los Vilos; steep shady banks, entangled in other plants.",NA,NA,NA,NA,"Johston",NA,NA,"Coquimbo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Worth 16458","500.00000000",NA
"6","2008-05-27 22:02:00-03","MO","MOBOT","3201832","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Lathyrus","hookeri","Lathyrus hookeri","G. Don","R. Wagenknecht","1939","11","29","South America","Chile","Depto. Ovalle. Quebrada La Embarrado, 9km. east of Hurtado, Hacienda El Bosque; near the stream in quebrada.",NA,NA,NA,NA,"Johnston",NA,NA,"Coquimbo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wagenknecht 18487","1600.00000000",NA
"7","2009-10-19 23:41:00-02","MO","MOBOT","3201911","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Lathyrus","hookeri","Lathyrus hookeri","G. Don","Otto Zöllner","1977","10","23","South America","Chile","In porvince Valparaiso in Colliguay",NA,NA,NA,NA,NA,NA,NA,"Valparaiso",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zöllner 9816","1000.00000000",NA
"8","2009-10-19 23:41:00-02","MO","MOBOT","3201995","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Lathyrus","hookeri","Lathyrus hookeri","G. Don","Otto Zöllner","1975","10","3","South America","Chile","In Puertas Negras near of Valparaiso.",NA,NA,NA,NA,NA,NA,NA,"Valparaiso",NA,NA,NA,NA,NA,NA,NA,NA,"1","Zöllner 8332",NA,NA
"9","2009-10-19 23:41:00-02","MO","MOBOT","3202067","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Lathyrus","hookeri","Lathyrus hookeri","G. Don","Otto Zöllner","1975","12","7","South America","Chile","In province Curicó in Upeo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zöllner 8473","100.00000000",NA
"10","2010-01-29 20:50:00-02","MO","MOBOT","3198401","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Lathyrus","sessilifolius","Lathyrus sessilifolius","Ten.","W.G. Herter",NA,NA,NA,"South America","Uruguay","(1 m sand. C.5 ad palud. coerul ros. aren/arg. humi.ill. Paso del Bote)",NA,NA,NA,NA,NA,NA,NA,"San José",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herter 1936",NA,NA
"11","2020-09-12 05:00:02-03","US","US","1730751","PreservedSpecimen","Plantae","Dicotyledonae","Rosales","Fabaceae","Lathyrus","hookeri","Lathyrus hookeri","G. Don","F. Jaffuel","1936","10",NA,"South America","Chile","Marga-Marga",NA,"US02442023",NA,NA,NA,NA,NA,"Valparaíso (V)",NA,NA,NA,NA,NA,NA,NA,NA,"1","3653",NA,NA
"12","2021-02-08 12:41:54-03","UFRGS","ICN","014732","S","Plantae",NA,NA,"Fabaceae","Lathyrus","hookeri","Lathyrus hookeri","G. Don","Rambo, B",NA,NA,NA,"América do Sul","Brasil",NA,NA,"ICN00023010","ICN00023010 ICN00023010_1","Dicotyledon","Neubert, EE","1999","09","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,"732",NA,NA
"13","2021-02-18 17:08:31-03","FEPAGRO","BLA","2117","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Lathyrus","hookeri","Lathyrus hookeri","G.Don","P. N. Capparelli","1957","11","20",NA,"Brasil","Pedras Altas","Habitat: Cultivado","BLA002117",NA,"Spermatophyta","T. B. Guimarães","2020","08","Rio Grande do Sul","Pinheiro Machado","-53.3810997009277","-31.5783004760742","70026","auto","05",NA,NA,NA,"969","480","480"
"14","2021-02-18 17:08:31-03","FEPAGRO","BLA","2118","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Lathyrus","hookeri","Lathyrus hookeri","G.Don","P. N. Capparelli","1957","11","20",NA,"Brasil","Pedras Altas","Habitat: Cultivado","BLA002118",NA,"Spermatophyta","T. B. Guimarães","2020","08","Rio Grande do Sul","Pinheiro Machado","-53.3810997009277","-31.5783004760742","70026","auto","05",NA,NA,NA,NA,"480","480"
"15","2019-11-21 10:05:53-03","IBt","SP","54356","S","Plantae",NA,NA,"Fabaceae","Lathyrus","hookeri","Lathyrus hookeri","G.Don","Hunziker, AT","1943","10","12","Southern America","Argentina","Sierra Volcan Balcarce. En la falda",NA,"SP027221","SP027221",NA,"Burkart, A","1946","01","Buenos Aires",NA,NA,NA,NA,NA,"16",NA,NA,NA,"3867",NA,NA
