"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","day","stateProvince","county","decimalLongitude","decimalLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","relationshipType","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","319015","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","fuscus","acutifolius","Evolvulus fuscus acutifolius","Meisn.","holotype","L. Riedel","1834","09","South America","Brazil","Prov Alegres","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=218572' target='other'> <mi>dwc_moreinfo</mi></a>","NY00319015","NY00319015_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1013665","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"A. P. Duarte","1963","11","South America","Brazil","Faz. Mãe d'Agua. N de Minas.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1101370' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013665","NY01013665_01","7438","19","Minas Gerais","Várzea da Palma","-44.749531","-17.411382",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 05:56:00-03","NY","NYBG","1014451","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","fuscus","virescens","Evolvulus fuscus virescens","Meisn.",NA,"A. F. M. Glaziou","1898","01","South America","Brazil","Brésil. Goyaz. Fazenda dos Procos, au banc du Rio Pizarão.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120632' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014451","NY01014451_01 NY01014451_02","21800","05","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-18 09:29:07-03","UNESP-IBB","BOTU","19988","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Bertoncini, A.P.","1994","08",NA,"Brasil","Cia e Cervejaria Brahma",NA,"Erva, 0,25 m de altura, flores de corola azul, anteras e estígma brancos, folhas membranáceas","BOTU019988",NA,"376","04","São Paulo","Agudos",NA,NA,"Bertoncini, A.P.","1994","08","04","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:34:09-03","NBC","NL-BOTANY","U.1220956","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Pohl JE",NA,NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1220956 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1220956","NL-U1220956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:34:09-03","NBC","NL-BOTANY","U.1220957","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Evolvulus","fuscus","acutifolius","Evolvulus fuscus acutifolius",NA,NA,"Riedel L",NA,NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1220957 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1220957","NL-U1220957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:34:09-03","NBC","NL-BOTANY","U.1220958","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Evolvulus","fuscus","canescens","Evolvulus fuscus canescens",NA,NA,"Regnell AF",NA,NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1220958 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1220958","NL-U1220958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:34:09-03","NBC","NL-BOTANY","U.1220959","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Evolvulus","fuscus","villosus","Evolvulus fuscus villosus","Dammer",NA,"Glaziou AFM",NA,NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1220959 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1220959","NL-U1220959",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:34:09-03","NBC","NL-BOTANY","U.1220960","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Evolvulus","fuscus","virescens","Evolvulus fuscus virescens",NA,NA,"Glaziou AFM",NA,NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1220960 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1220960","NL-U1220960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:05:14-03","ESALQ","ESA","26032","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Souza, V.C. ; Souza, J.P.","1995","12",NA,"Brasil","Ca. 11 Km da cidade em direção a Lençóis, próximo à entrada da Reserva do Instituto Florestal. Campo cerrado.",NA,"Erva, até 40 cm alt.; corola violeta-azulada.","ESA026032","ESA026032","9596.0","19","São Paulo","Águas de Santa Bárbara","-49.238899230957","-22.8805999755859","Silva, C.V.","2007","08","14",NA,NA,NA,"18363","auto",NA,NA,NA,NA,NA,NA,NA
"11","2021-01-14 15:27:20-03","MN","R","12185","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Glaziou, A.F.M","1895","01",NA,"Brasil",NA,NA,"Plantas do Brasil Central","R000012185","R000012185_001","21800","05","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-01-14 15:27:20-03","MN","R","120600","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","fuscus","var.acutifolius","Evolvulus fuscus var.acutifolius","Meisn.",NA,"Lutz, A.","1919","12",NA,"Brasil",NA,NA,NA,NA,NA,"1574","09","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-01-14 15:27:20-03","MN","R","6792","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","fuscus","var.virescens","Evolvulus fuscus var.virescens","Meisn.",NA,"Brito, S.","1916","11",NA,"Brasil",NA,NA,NA,NA,NA,"85",NA,"Minas Gerais","Uberaba","-47.9319000244141","-19.7483005523682","Souza, B",NA,NA,NA,NA,NA,NA,"73879","auto",NA,NA,NA,NA,NA,NA,NA
"14","2019-11-27 13:47:07-03","UFS","ASE","16398","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Convolvulaceae","Evolvulus","fuscus",NA,"Evolvulus fuscus","Meisn.",NA,"Amorim, BS; Alves, M; Heald, S; Gomes, P; Mendes, K","2007","10","Southern America","Brasil","Serra de Itabaiana",NA,"Subarbusto 70 cm, flores roxas.; Subarbusto 70 cm, flores roxas.; Complexo florístico Vegetacional.","ASE0026545",NA,"149","12","Sergipe","Areia Branca","-37.317469","-10.760733","Vital, MT","2008","01",NA,"-37.317469","-10.760733",NA,NA,NA,"220","220",NA,NA,NA,NA,NA
