"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","identifiedBy","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","dayIdentified","typeStatus","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","2332099","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Colubrina","retusa","Colubrina retusa","(Pittier) R.S.Cowan","G. A. Black","49-7942","1949","06","21","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2511464' target='other'> <mi>dwc_moreinfo</mi></a>","NY02332099","NY02332099_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1065705","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Colubrina","retusa","Colubrina retusa latifolia","(Reissek) M.C.Johnst.","M. H. Nee","41574","1991","07","06","South America","Bolivia","Santa Cruz","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=577429' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065705",NA,"latifolia","L. I. Cusato","Ñuflo de Chávez","2 km E of San Ramón","-62.47","-16.6","225","225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 15:57:00-03","NY","NYBG","533435","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Colubrina","retusa","Colubrina retusa latifolia","(Reissek) M.C.Johnst.","S. G. Tressens","4428","1993","05","20","South America","Argentina","Corrientes","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470548' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533435",NA,"latifolia","S. G. Tressens","San Cosme","Costa Toledo. Bosque marginal río Paraná. Barranca río Paraná.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00996162","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Colubrina","retusa","Colubrina retusa latifolia","(Reissek) M.C.Johnst.","G. G. Hatschbach","40613","1977","12","14","South America","Brazil","Mato Grosso do Sul","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102824' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996162","NY00996162_01","latifolia","G. G. Hatschbach","Iguatemi","Porto Frangeli. Margens rio Paraná.","-54.5608","-23.6806",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","55399","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Colubrina","retusa","Colubrina retusa","(Pittier) R.S.Cowan","J. A. Kallunki","621","1995","02","17","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714028' target='other'> <mi>dwc_moreinfo</mi></a>","NY00055399","NY00055399_01",NA,"J. A. Kallunki","Sao Pedro da Aldeia","Serra Sepeatiba, at TELERJ tower reached (eventually) after 5.8 km on dirt road turning N from Araruama-S. Pedro de Aldeia road at 3.5 km W of turn to Macaé, in forest near tower.","-42.15","-22.82","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","533439","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Colubrina","retusa","Colubrina retusa latifolia","(Reissek) M.C.Johnst.","P. K. H. Dusén","1976","1903","03","22","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470552' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533439","NY00533439_01","latifolia","M. C. Johnston","Rio de Janeiro","Cascadura.","-43.2075","-22.9031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","533436","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Colubrina","retusa","Colubrina retusa latifolia","(Reissek) M.C.Johnst.","D. N. Smith","4049","1983","05","17","South America","Peru","Junín","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470551' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533436",NA,"latifolia","M. C. Johnston","Chanchamayo","La Merced-Puente Paucartambo road, 3 km from La Merced.","-75.37","-11.08","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02332096","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Colubrina","retusa","Colubrina retusa","(Pittier) R.S.Cowan","G. T. Prance","11263","1971","04","01","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2511365' target='other'> <mi>dwc_moreinfo</mi></a>","NY02332096","NY02332096_01",NA,NA,"Manaus","Igarapé Ipixuna, Lower Rio Negro opposite Manaus Igapó","-59.984695","-3.196117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2332097","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Colubrina","retusa","Colubrina retusa","(Pittier) R.S.Cowan","C. A. Cid Ferreira","8740","1987","03","31","South America","Brazil","Rondônia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2511462' target='other'> <mi>dwc_moreinfo</mi></a>","NY02332097","NY02332097_01",NA,NA,"Costa Marques","Área militar do Forte Príncipe da Beira, próximo a margem direita do Rio Guaporé","-64.45","-12.3667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00996163","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Colubrina","retusa","Colubrina retusa","(Pittier) R.S.Cowan","N. T. da Silva","4831","1978","08","15","South America","Brazil","Goiás","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102855' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996163","NY00996163_01",NA,"G. L. Webster",NA,"Rio Araguaia, Rio Côco, margem esquerda. Vegetação de várzea.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
