"","family","species","threat"
"1","ACANTHACEAE","Aphelandra espirito-santensis","EN"
"2","ACANTHACEAE","Aphelandra gigantea","LC"
"3","ACANTHACEAE","Aphelandra hirta","LC"
"4","ACANTHACEAE","Aphelandra longiflora","LC"
"5","ACANTHACEAE","Aphelandra margaritae","VU"
"6","ACANTHACEAE","Aphelandra maximiliana","EN"
"7","ACANTHACEAE","Aphelandra nitida","LC"
"8","ACANTHACEAE","Aphelandra prismatica","LC"
"9","ACANTHACEAE","Aphelandra schottiana","LC"
"10","ACANTHACEAE","Aphelandra squarrosa","LC"
"11","ACANTHACEAE","Chamaeranthemum beyrichii","LC"
"12","ACANTHACEAE","Dicliptera squarrosa","LC"
"13","ACANTHACEAE","Dyschoriste lavandulaceae","EN"
"14","ACANTHACEAE","Dyschoriste smithii","CR"
"15","ACANTHACEAE","Herpetacanthus longiflorus","NT"
"16","ACANTHACEAE","Justicia brasiliana","LC"
"17","ACANTHACEAE","Justicia bullata","DD"
"18","ACANTHACEAE","Justicia catharinensis","NT"
"19","ACANTHACEAE","Justicia clausseniana","EN"
"20","ACANTHACEAE","Justicia clivalis","NT"
"21","ACANTHACEAE","Justicia congrua","LC"
"22","ACANTHACEAE","Justicia cydoniifolia","LC"
"23","ACANTHACEAE","Justicia genuflexa","VU"
"24","ACANTHACEAE","Justicia kleinii","LC"
"25","ACANTHACEAE","Justicia laevilinguis","LC"
"26","ACANTHACEAE","Justicia lythroides","LC"
"27","ACANTHACEAE","Justicia paranaensis","EN"
"28","ACANTHACEAE","Justicia polita","EN"
"29","ACANTHACEAE","Justicia pseudoamazonica","LC"
"30","ACANTHACEAE","Justicia ramulosa","VU"
"31","ACANTHACEAE","Justicia scheidweileri","LC"
"32","ACANTHACEAE","Justicia symphyantha","LC"
"33","ACANTHACEAE","Justicia tijucensis","VU"
"34","ACANTHACEAE","Justicia wasshauseniana","NT"
"35","ACANTHACEAE","Mendoncia mollis","LC"
"36","ACANTHACEAE","Odontonema dissitiflorum","EN"
"37","ACANTHACEAE","Poikilacanthus bahiensis","NT"
"38","ACANTHACEAE","Pseuderanthemum modestum","LC"
"39","ACANTHACEAE","Pseuderanthemum riedelianum","LC"
"40","ACANTHACEAE","Ruellia affinis","LC"
"41","ACANTHACEAE","Ruellia bulbifera","LC"
