"","threat.status","search.str"
"1","DD","Abarema acreana"
"2","LC","Abarema brachystachya"
"3","LC","Abarema cochliacarpos"
"4","LC","Abarema filamentosa"
"5","LC","Abarema obovata"
"6","NT","Abarema turbinata"
"7","DD","Abarema villifera"
"8","VU","Abatia angeliana"
"9","CR","Abildgaardia papillosa"
"10","LC","Abuta selloana"
"11","CR","Abutilon anodoides"
"12","LC","Abutilon costicalyx"
"13","DD","Abutilon monteiroi"
"14","CR","Abutilon nigricans"
"15","DD","Abutilon venosum"
"16","LC","Acanthocladus brasiliensis"
"17","NT","Acanthocladus pulcherrimus"
"18","NT","Acanthocladus santosii"
"19","DD","Acanthostachys pitcairnioides"
"20","VU","Acanthosyris paulo-alvinii"
"21","EN","Accara elegans"
"22","LC","Achatocarpus praecox"
"23","CR","Achetaria caparaoense"
"24","CR","Achetaria latifolia"
"25","CR","Acianthera adiri"
"26","LC","Acianthera aphthosa"
"27","LC","Acianthera auriculata"
"28","LC","Acianthera bragae"
"29","LC","Acianthera crinita"
"30","LC","Acianthera glumacea"
"31","CR","Acianthera heringeri"
"32","LC","Acianthera karlii"
"33","EN","Acianthera langeana"
"34","DD","Acianthera ophiantha"
"35","VU","Acianthera papillosa"
"36","LC","Acianthera pectinata"
"37","DD","Acianthera pernambucensis"
"38","LC","Acianthera saurocephala"
"39","LC","Acianthera strupifolia"
"40","LC","Acianthera teres"
"41","LC","Acianthera translucida"
"42","LC","Acianthera tricarinata"
"43","LC","Acicarpha tribuloides"
"44","DD","Acmanthera fernandesii"
"45","EN","Acmella pusilla"
"46","LC","Acmella serratifolia"
"47","VU","Acritopappus catolesensis"
"48","EN","Acritopappus connatifolius"
"49","VU","Acritopappus irwinii"
"50","CR","Acritopappus pintoi"
"51","DD","Acroceras excavatum"
"52","LC","Acroceras fluminense"
"53","VU","Acrocomia emensis"
"54","LC","Acrocomia hassleri"
"55","DD","Actinocephalus aggregatus"
"56","VU","Actinocephalus barbiger"
"57","DD","Actinocephalus cabralensis"
"58","DD","Actinocephalus callophyllus"
"59","DD","Actinocephalus ciliatus"
"60","CR","Actinocephalus cipoensis"
"61","VU","Actinocephalus claussenianus"
"62","DD","Actinocephalus compactus"
"63","DD","Actinocephalus coutoensis"
"64","EN","Actinocephalus deflexus"
"65","DD","Actinocephalus diffusus"
"66","EN","Actinocephalus falcifolius"
"67","DD","Actinocephalus fimbriatus"
"68","DD","Actinocephalus glabrescens"
"69","DD","Actinocephalus graminifolius"
"70","EN","Actinocephalus herzogii"
"71","DD","Actinocephalus heterotrichus"
"72","DD","Actinocephalus nodifer"
"73","DD","Actinocephalus rhizomatosus"
"74","EN","Actinocephalus robustus"
"75","DD","Actinocephalus scytophyllus"
"76","EN","Actinocephalus stereophyllus"
"77","CR","Adamantinia miltonioides"
"78","LC","Adelothecium bogotense"
"79","LC","Adenocalymma campicola"
"80","EN","Adenocalymma dichilum"
"81","EN","Adenocalymma divaricatum"
"82","EN","Adenocalymma fruticosum"
"83","EN","Adenocalymma hypostictum"
"84","EN","Adenocalymma magnoalatum"
"85","NT","Adenocalymma nervosum"
"86","LC","Adenocalymma paulistarum"
"87","NT","Adenocalymma reticulatum"
"88","NT","Adenocalymma scabriusculum"
"89","EN","Adenocalymma subspicatum"
"90","CR","Adenocalymma ubatubense"
"91","CR","Adenophaedra cearensis"
"92","NT","Adesmia paranensis"
"93","CR","Adiantum diphyllum"
"94","EN","Adiantum discolor"
"95","EN","Adiantum mynsseniae"
"96","EN","Adiantum papillosum"
"97","EN","Adiantum tetragonum"
"98","EN","Aechmea alopecurus"
"99","EN","Aechmea amicorum"
"100","VU","Aechmea apocalyptica"
"101","VU","Aechmea azurea"
"102","VU","Aechmea bambusoides"
"103","NT","Aechmea blanchetiana"
"104","LC","Aechmea blumenavii"
