Família,Espécies,Espécie sem autor,Categoria,Critério,Territórios GEF,CR Lacuna,Fluxo,Ano,Tipo de avaliação,OBS
Achariaceae,Kuhlmanniodendron apterocarpum (Kuhlm.) Fiaschi & Groppo,Kuhlmanniodendron apterocarpum,LC,,TER30 - TER33,,P.A.,2019,Nova avaliação,
Achariaceae,"Kuhlmanniodendron macrocarpum Groppo, Favaretto & Fiaschi",Kuhlmanniodendron macrocarpum,EN,"B1ab(i,iii)+2ab(ii,iii)",,,P.A.,2018,Nova avaliação,
Achariaceae,Lindackeria paraensis Kuhlm.,Lindackeria paraensis,NT,,,,P.A.,2018,Nova avaliação,
Anacardiaceae,Anacardium microsepalum Loes.,Anacardium microsepalum,LC,,,,P.A.,2018,Nova avaliação,
Anacardiaceae,Apterokarpos gardneri (Engl.) Rizzini,Apterokarpos gardneri,LC,,,,P.N.A.,2018,Nova avaliação,
Anacardiaceae,Astronium balansae Engl.,Astronium balansae,EN,"B2(iii,v)",TER24 - TER25,,P.A.,2020,Reavaliação,
Anacardiaceae,Astronium glaziovii Mattick,Astronium glaziovii,EN,"B1ab(i,iii)+2ab(ii,iii)",TER32,,P.A.,2018,Nova avaliação,
Anacardiaceae,Astronium nelson-rosae Santin,Astronium nelson-rosae,LC,,TER10,,P.A.,2018,Nova avaliação,
Anacardiaceae,Schinopsis balansae Engl.,Schinopsis balansae,EN,"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)",,,P.A.,2020,Reavaliação,
Anacardiaceae,Schinus ramboi F.A.Barkley,Schinus ramboi,EN,"B2ab(i,ii,iii)",,,P.A.,2019,Nova avaliação,
Anacardiaceae,Spondias admirabilis J.D. Mitch. & Daly,Spondias admirabilis,EN,"B1ab(i,iii)+2ab(ii,iii)",TER32,,P.A.,2018,Nova avaliação,
Anacardiaceae,Spondias expeditionaria J.D. Mitch. & Daly,Spondias expeditionaria,DD,,TER33,,P.A.,2018,Nova avaliação,
Anisophylleaceae,Polygonanthus punctulatus Kuhlm.,Polygonanthus punctulatus,DD,,,,P.A.,2020,Nova avaliação,
Annocanaceae,Annona pickelii (Diels) H.Rainer,Annona pickelii,NT,,,,P.A.,2020,Reavaliação,
Annocanaceae,Duguetia restingae Maas,Duguetia restingae,CR,"B1ab (i,ii,iii)",,,P.A.,2020,Reavaliação,
Annocanaceae,Duguetia reticulata Maas,Duguetia reticulata,DD,,,,P.A.,2020,Reavaliação,
Annocanaceae,Duguetia scottmorii Maas,Duguetia scottmorii,EN,"B2ab (i,ii,iii)",TER35,,P.A.,2020,Reavaliação,
Annocanaceae,Hornschuchia cauliflora Maas & Setten,Hornschuchia cauliflora,EN,"B1ab(i,ii,iii) + B2ab (i,ii,iii)",,,P.A.,2020,Reavaliação,
Annocanaceae,Hornschuchia obliqua Maas & Setten,Hornschuchia obliqua,EN,"B1ab(i,ii,iii) + B2ab (i,ii,iii)",,,P.A.,2020,Reavaliação,
Annonaceae,Annona acutiflora Mart.,Annona acutiflora,LC,,TER18 - TER32 - TER33 - TER35,,P.N.A.,2018,Nova avaliação,
Annonaceae,Annona annonoides (R.E.Fr.) Maas & Westra,Annona annonoides,DD,,,,P.A.,2018,Nova avaliação,
Annonaceae,Annona dolabripetala Raddi,Annona dolabripetala,LC,,TER1 - TER10 - TER18 - TER19 - TER20 - TER22 - TER29 - TER32 - TER33 - TER35 - TER39,,P.N.A.,2018,Nova avaliação,
Annonaceae,Annona gardneri R.E.Fr.,Annona gardneri,EN,"B1ab(i,iii)+2ab(ii,iii)",TER12,,P.A.,2018,Nova avaliação,
Annonaceae,Annona neosericea H.Rainer,Annona neosericea,LC,,TER10 - TER18 - TER19 - TER20 - TER24 - TER25 - TER33,,P.N.A.,2018,Nova avaliação,
Annonaceae,Annona salzmannii A.DC.,Annona salzmannii,LC,,TER33 - TER35 - TER39,,P.N.A.,2018,Nova avaliação,
Annonaceae,Annona sylvatica A.St.-Hil.,Annona sylvatica,LC,,TER10 - TER18 - TER19 - TER20 - TER22 - TER24 - TER25 - TER26 - TER29 - TER30 - TER32 - TER33 - TER35 - TER39,,P.N.A.,2018,Nova avaliação,
Annonaceae,Bocagea viridis A.St.-Hil.,Bocagea viridis,VU,D2,TER33,,P.A.,2019,Reavaliação,
Annonaceae,Bocageopsis pleiosperma Maas,Bocageopsis pleiosperma,LC,,,,P.A.,2018,Nova avaliação,
Annonaceae,Cymbopetalum euneurum N.A.Murray,Cymbopetalum euneurum,EN,"B2ab(ii,iii)",,,P.A.,2019,Nova avaliação,
Annonaceae,Diclinanona matogrossensis Maas,Diclinanona matogrossensis,DD,,,,P.A.,2018,Nova avaliação,
Annonaceae,Duckeanthus grandiflorus R.E.Fr.,Duckeanthus grandiflorus,DD,,,,P.A.,2018,Nova avaliação,
Annonaceae,Duguetia aripuanae Maas,Duguetia aripuanae,DD,,,,P.A.,2020,Nova avaliação,
