"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","coordinatePrecision","geoFlag","infraspecificEpithet","class","order","individualCount","phylum"
"1","2020-10-14 09:59:39-03","FURB","FURB","13362","PreservedSpecimen","Plantae","Begoniaceae","Begonia","scharffii","Begonia scharffii","Hook.","Varamillo, J.C","2017","06","29","Verdi, M.; Gasper, A.L. de","2175","2009","05","22","Brasil","Santa Catarina","Orleans","Rio Hipólito - Parque Nacional de São Joaquim.","-49.4994444","-28.2602778","-49.4994444","-28.2602778","646","646","Florística IFFSC 117(Rupícola) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: rupícola;","FURB15090","FURB15090",NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-10-14 09:59:39-03","FURB","FURB","17913","PreservedSpecimen","Plantae","Begoniaceae","Begonia","scharffii","Begonia scharffii","Hook.","Varamillo, J.C","2017","06","29","Schmitt, J.L.; Cristofolini, C. & Caglioni, E.","682","2009","11","24","Brasil","Santa Catarina","Treviso","Brasília.","-49.4986111","-28.4436111","-49.4986111","-28.4436111","572","572","Epífita IFFSC e74a (Abaixo de 4m) Sobre arbórea e Cyathea, encontrada também como rupícula Habitat: Floresta Ombrófila Densa; Estágio Avançado; mata ciliar Habito: epífita;","FURB15284","FURB15284",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-10-14 09:59:39-03","FURB","FURB","18938","PreservedSpecimen","Plantae","Begoniaceae","Begonia","scharffii","Begonia scharffii","Hook.","Varamillo, J.C","2017","06","29","Schmitt, J.L.; Cristofolini, C. & Caglioni, E.","866","2009","12","11","Brasil","Santa Catarina","Morro Grande","Três Barras.","-49.77","-28.71","-49.7700000","-28.7100000","203","203","Epífita IFFSC e37a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: epífita de árvore caída;","FURB15373","FURB15373",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:17:59-03","MBM","MBM","145049","PreservedSpecimen","Plantae","Begoniaceae","Begonia","hageana","Begonia hageana","W. Watson","Jaques, E.L.",NA,NA,NA,"Hatschbach, G.","53853","1990","12","02","Brazil","Santa Catarina","Lauro Müller","Serra do Rio do Rastro","-49.3967018127441","-28.3927993774414",NA,NA,NA,NA,NA,"MBM145049","MBM145049","Southern America","15992","auto",NA,NA,NA,NA,NA
"5","2018-06-22 05:25:00-03","MO","MOBOT","2455521","PreservedSpecimen","Plantae","Begoniaceae","Begonia","schenckii","Begonia schenckii calvescens","Brade ex L.B. Sm. & R.C. Sm.",NA,NA,NA,NA,"Pe. Raulino Reitz","Reitz 2200a","1948","12","15","Brazil","Santa Catarina",NA,"Bom Retiro. Riozinho",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,"calvescens",NA,NA,NA,NA
"6","2014-04-21 13:34:00-03","MO","MOBOT","2455537","PreservedSpecimen","Plantae","Begoniaceae","Begonia","schenckii","Begonia schenckii schenckii",NA,NA,NA,NA,NA,"Lyman B. Smith","Smith 6216","1952","3","14","Brazil","Santa Catarina",NA,"Palhoça. Pilões","-48.66666","-27.66666",NA,NA,"400.00000000",NA,NA,NA,NA,"South America",NA,NA,"schenckii",NA,NA,NA,NA
"7","2014-04-21 13:34:00-03","MO","MOBOT","2455537","PreservedSpecimen","Plantae","Begoniaceae","Begonia","schenckii","Begonia schenckii schenckii",NA,NA,NA,NA,NA,"Lyman B. Smith","Smith 6216","1952","3","14","Brazil","Santa Catarina",NA,"Palhoça. Pilões","-48.66666","-27.66666",NA,NA,"400.00000000",NA,NA,NA,NA,"South America",NA,NA,"schenckii",NA,NA,NA,NA
"8","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","49027",NA,"Plantae","Begoniaceae","Begonia","schenckii","Begonia schenckii","Irmsch.","L. Kollmann/28-08-2015",NA,NA,NA,"P. Fiaschi; M. Vaio, A. Gardner & M.F. Santos","3709","2011","04","02","Brasil","Santa Catarina","Timbé do Sul","Serra Dona Francisca. Estrada de São José dos Ausentes para Timbé do Sul, ca 24,5km após saída para São Jose dos Ausentes. Beira de estrada","-49.948639","-28.806917","49W56'55,1","28S48'24,9","950","950","Erva sobre barranco na beira da estrada. Folhas discolores, face abaxial verde bem claro. Inflorescência com eixo avermelhado, mais intenso na porção distal. Flores com pétalas alvas e estigmas amarelos. Frutos verde bem claro, com ala","MBML049027","MBML049027",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","1985146","PreservedSpecimen","Plantae","Begoniaceae","Begonia","haageana","Begonia haageana",NA,NA,NA,NA,NA,"G. Hatschbach","614","1947","2","2","Brazil","Paraná","Campo Largo","Serra S. Luis de Purunã. Margem de córrego","-49.5283012390137","-25.4585990905762",NA,NA,"1150",NA,NA,"US00314348","US00314348_01","South America - Neotropics","53742","auto",NA,"Dicotyledonae","Violales","1",NA
"10","2020-09-12 05:00:02-03","US","US","2282801","PreservedSpecimen","Plantae","Begoniaceae","Begonia","haageana","Begonia haageana",NA,NA,NA,NA,NA,"S. Leatherman","s.n.","1959","12",NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US00314347","US00314347_01","South America - Neotropics",NA,NA,NA,"Dicotyledonae","Violales","1",NA
