"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","recordNumber","phylum","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-02-08 08:46:56-03","NBC","NL-BOTANY","L 0836002","PreservedSpecimen","Plantae","Magnoliopsidae","Asparagales","Orchidaceae","Stenorrhynchos","arechavaletanii","Stenorrhynchos arechavaletanii","Barb.Rodr.","Pabst GFJ","Hatschbach GG","1959","11","28","Southern America","Brazil","Paraná","Fda. do Tigre.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200836002 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0836002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-31 13:41:19-03","MN","R","35552","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Stenorrhynchos","lateritium","Stenorrhynchos lateritium","Kraenzl.","Hoehne, F.C.","Gaudichaud, C.",NA,NA,NA,NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:41:19-03","MN","R","35555","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Stenorrhynchos","lateritium","Stenorrhynchos lateritium","Kraenzl.","Hoehne, F.C.","Dusén, P.K.H.","1903","12","14",NA,"Brasil","Paraná",NA,NA,NA,"2480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-31 13:41:19-03","MN","R","35556","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Stenorrhynchos","lateritium","Stenorrhynchos lateritium","Kraenzl.","Hoehne, F.C.","Dusén, P.K.H.","1903","12","22",NA,"Brasil","Paraná",NA,NA,NA,"2875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-31 13:41:19-03","MN","R","35559","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Stenorrhynchos","lateritium","Stenorrhynchos lateritium","Kraenzl.","Hoehne, F.C.","Dusén, P.K.H.","1904","01","07",NA,"Brasil","Paraná",NA,NA,NA,"3208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-31 13:41:19-03","MN","R","35560","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Stenorrhynchos","lateritium","Stenorrhynchos lateritium","Kraenzl.","Hoehne, F.C.","Dusén, P.K.H.","1907","03","05",NA,"Brasil","Paraná",NA,NA,NA,"3991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:26:39-03","IAP","PACA-AGP","37275","PreservedSpecimen","Plantae","Liliatae","Orchidales","Orchidaceae","Stenorrhynchos","arechavaletanii","Stenorrhynchos arechavaletanii","Barb. Rodr.","C.R. Buzatto","Hatschbach, G.","1947","01","09",NA,"Brasil","PR","Estrada do Cerne","Flor cor salmão. Habitat: In campestribus dumetosis Fenofase: flor","PACA037275","607","Magnoliophyta","2014","04","Castro","-50.0119018554688","-24.7910995483398","50779","auto",NA,NA,NA,NA,NA,NA
"8","2019-08-27 13:26:39-03","IAP","PACA-AGP","63908","PreservedSpecimen","Plantae","Liliatae","Orchidales","Orchidaceae","Stenorrhynchos","arechavaletanii","Stenorrhynchos arechavaletanii","Barb. Rodr.","C.R. Buzatto","Sacco","1956","04","18",NA,"Brasil","RS",NA,"Habitat: In dumetosis Fenofase: flor","PACA063908","597","Magnoliophyta","2014","04","Pelotas","-52.3424987792969","-31.771900177002","51462","auto",NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:26:39-03","IAP","PACA-AGP","30103","PreservedSpecimen","Plantae","Liliatae","Orchidales","Orchidaceae","Stenorrhynchos","arechavaletanii","Stenorrhynchos arechavaletanii","Barb. Rodr.","C.R. Buzatto","Emrich, K.",NA,NA,NA,NA,"Brasil","RS",NA,"Habitat: In campestribus Fenofase: flor","PACA030103",NA,"Magnoliophyta","2014","04","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:26:39-03","IAP","PACA-AGP","27475","PreservedSpecimen","Plantae","Liliatae","Orchidales","Orchidaceae","Stenorrhynchos","arechavaletanii","Stenorrhynchos arechavaletanii","Barb. Rodr.","C.R. Buzatto","Emrich, K.","1944","04","15",NA,"Brasil","RS",NA,"Habitat: In campestribus Fenofase: flor","PACA027475",NA,"Magnoliophyta","2014","04","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA,NA
