"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","infraspecificEpithet","fieldNumber","individualCount"
"1","2020-09-23 10:38:48-03","E","E","99990","PreservedSpecimen","Plantae","Ebenaceae","Diospyros","burchellii","Diospyros burchellii","Bridgewater, S., Ratter, J.A., Filho, J.F. & Dias, T.","1999","08","25","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109321","<a href=http://data.rbge.org.uk/herb/E00099990 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00099990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:48-03","E","E","202789","PreservedSpecimen","Plantae","Ebenaceae","Diospyros","burchellii","Diospyros burchellii","Ratter, J.A.; Bridgewater, S.; Filho, J. Fonsêca; Ribeiro, J.F. & Proença, C.","1997","11","12","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217202","<a href=http://data.rbge.org.uk/herb/E00202789 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202789","1827",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:38:48-03","E","E","102433","PreservedSpecimen","Plantae","Ebenaceae","Diospyros","hispida","Diospyros hispida","Ratter, J.A., Bridgewater, S. & dos Santos, J. Batista","1998","07","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:110815","<a href=http://data.rbge.org.uk/herb/E00102433 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00102433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:38:48-03","E","E","187425","PreservedSpecimen","Plantae","Ebenaceae","Diospyros","hispida","Diospyros hispida","Harley, R.M.","1980","04","13","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:194814","<a href=http://data.rbge.org.uk/herb/E00187425 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00187425","21353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:38:48-03","E","E","187426","PreservedSpecimen","Plantae","Ebenaceae","Diospyros","hispida","Diospyros hispida","Harley, R.M.","1980","04","09","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:194813","<a href=http://data.rbge.org.uk/herb/E00187426 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00187426","21130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:38:48-03","E","E","102432","PreservedSpecimen","Plantae","Ebenaceae","Diospyros","hispida","Diospyros hispida","Ratter, J.A., Bridgewater, S. & dos Santos, J. Batista","1998","07","19","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:110816","<a href=http://data.rbge.org.uk/herb/E00102432 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00102432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1039501","PreservedSpecimen","Plantae","Ebenaceae","Diospyros","hispida","Diospyros hispida","M. F. d. Santos","2008","08","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1487545' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039501","378","Magnoliophyta","Ericales","A.DC.","M. F. d. Santos","Mato Grosso","Diamantino","Fazenda Iguaçu (Pequeno FIgueredo), entrada na rodovia BR-364.","-56.4461","-14.4086","NY01039501_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1039177","PreservedSpecimen","Plantae","Ebenaceae","Diospyros","hispida","Diospyros hispida","J. G. Kuhlmann","1929","03","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1482140' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039177","84","Magnoliophyta","Ericales","A.DC.","M. F. d. Santos","Minas Gerais",NA,"Granjas Rumidas, ramal de Montes Claros.",NA,NA,"NY01039177_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","886496","PreservedSpecimen","Plantae","Ebenaceae","Diospyros","hispida","Diospyros hispida","P. Fiaschi","2004","09",NA,"South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026575' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886496","2549","Magnoliophyta","Ericales","A.DC.","B. Wallnöfer","Bahia","Ilhéus","RPPN Salto Apepique. Rodovia Ilhéus-Itacaré, na altura do km 20 (Ponta do Tulha), entrada à esq., rumo ao Retiro. Estrada de acesso à RPPN.","-39.0769261","-14.589398","NY00886496_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02694679","PreservedSpecimen","Plantae","Ebenaceae","Diospyros","hispida","Diospyros hispida","L. Nusbaumer","2014","10","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2952088' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694679","4253","Magnoliophyta","Ericales","A.DC.","B. Wallnöfer","Alagoas","Quebrangulo","Reserva Biológica da Pedra Talhada. localité de Quebrangulo","-36.440634","-9.221062","NY02694679_01","770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
