"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","locality","fieldNumber","individualCount","class","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","512367","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Phragmipedium","vittatum","Phragmipedium vittatum","(Vell.) Rolfe","L. M. McCook","E. P. Heringer","10909","1965","01","14","South America","Brazil","Distrito Federal","Brasília","-47.9296989440918","-15.7797002792358","70570","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=625738' target='other'> <mi>dwc_moreinfo</mi></a>","NY00512367","NY00512367_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","512360","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Phragmipedium","vittatum","Phragmipedium vittatum","(Vell.) Rolfe","G. F. J. Pabst","H. S. Irwin","9093","1965","10","09","South America","Brazil","Distrito Federal","Brasília","-47.9296989440918","-15.7797002792358","70570","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=625734' target='other'> <mi>dwc_moreinfo</mi></a>","NY00512360","NY00512360_01","auto","975","975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","512363","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Phragmipedium","vittatum","Phragmipedium vittatum","(Vell.) Rolfe","G. F. J. Pabst","G. G. Hatschbach","36321","1975","02","20","South America","Brazil","Goiás","Alto Paraíso de Goiás","-47.5099983215332","-14.1324996948242","44724","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=625736' target='other'> <mi>dwc_moreinfo</mi></a>","NY00512363",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","512361","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Phragmipedium","vittatum","Phragmipedium vittatum","(Vell.) Rolfe","G. F. J. Pabst","H. S. Irwin","12950","1966","02","16","South America","Brazil","Goiás","Cavalcante","-47.4583015441895","-13.7974996566772","92497","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=625735' target='other'> <mi>dwc_moreinfo</mi></a>","NY00512361","NY00512361_01","auto","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","512366","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Phragmipedium","vittatum","Phragmipedium vittatum","(Vell.) Rolfe","L. M. McCook","F. C. Hoehne","5147","1921","01","27","South America","Brazil","Minas Gerais",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=625740' target='other'> <mi>dwc_moreinfo</mi></a>","NY00512366","NY00512366_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","512364","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Phragmipedium","vittatum","Phragmipedium vittatum","(Vell.) Rolfe","L. M. McCook","J. Semir",NA,"1976","03","18","South America","Brazil","Goiás","Alto Paraíso de Goiás","-47.5099983215332","-14.1324996948242","44724","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=625733' target='other'> <mi>dwc_moreinfo</mi></a>","NY00512364","NY00512364_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","512365","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Phragmipedium","vittatum","Phragmipedium vittatum","(Vell.) Rolfe","L. M. McCook","W. R. Anderson","6404","1973","03","05","South America","Brazil","Goiás","Alto Paraíso de Goiás","-47.5099983215332","-14.1324996948242","44724","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=625739' target='other'> <mi>dwc_moreinfo</mi></a>","NY00512365","NY00512365_01","auto","1600","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","512362","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Phragmipedium","vittatum","Phragmipedium vittatum","(Vell.) Rolfe","G. F. J. Pabst","H. S. Irwin","33179","1971","03","25","South America","Brazil","Goiás","Alto Paraíso de Goiás","-47.5099983215332","-14.1324996948242","44724","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=625737' target='other'> <mi>dwc_moreinfo</mi></a>","NY00512362","NY00512362_01","auto","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:52:49-03","EAO","IAN","90535","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Phragmipedium","vittatum","Phragmipedium vittatum","(Vell.) Rolfe","Pridgeon","Brade, AC","1728","1949","02","25","Southern America","Brasil",NA,NA,NA,NA,NA,NA,"Orquídea do brejo.Amarelas.","IAN090535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:52:49-03","EAO","IAN","126525","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Phragmipedium","vittatum","Phragmipedium vittatum","(Vell.) Rolfe","Pabst, GFJ","Irwin, HS; Grear Jr., JW; Grear Jr., JW","12950","1966","02","16","Southern America","Brasil","Goiás",NA,"-47","14",NA,NA,"Terrestrial, the inflorescence to 75 cm. tall. Perianth pale yellow-brown, the saccate labellum dull greenish purple without, yellow within. wet campo.","IAN126525",NA,NA,"1000","1000","-47","14",NA,NA,NA,NA,NA,NA,NA,NA
