"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","previousCatalogNumber","individualCount","fieldNumber","minimumDepthInMeters","maximumDepthInMeters","typeStatus"
"1","2021-04-05 14:34:11-03","UNESC","CRI","6476","PreservedSpecimen","Plantae","Simaroubaceae","Picrasma","crenata","Picrasma crenata","(Vell.) Engl.","J. A. Jarenkow","J. A. Jarenkow","3354","1996","12","26","Brasil","Rio Grande do Sul","Marcelino Ramos","-51.906667","-27.462222","51º54'24''W","27º27'44''S","CRI009999","CRI009999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:07-03","UNESC","CRI","8513","PreservedSpecimen","Plantae","Simaroubaceae","Picrasma","crenata","Picrasma crenata","(Vell.) Engl.","M. Verdi","M. Verdi; R.P. Hasckel & G. Klemz","949","2008","11","18","Brasil","Santa Catarina","Lacerdópolis","-51.614444","-27.268056","51º36'52''W","27º16'5''S","CRI010000","CRI010000","2008","11","18","Canela Funda - Santa Bárbara.","647","647","Floresta Estacional Decidual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:11-03","UNESC","CRI","6509","PreservedSpecimen","Plantae","Simaroubaceae","Picrasma","crenata","Picrasma crenata","(Vell.) Engl.","Cynthia Hering Rinnert","Cynthia Hering Rinnert",NA,NA,NA,NA,"Brasil","Santa Catarina","Balneário Camboriú","-48.637778","-27.001389","48º38'16''W","27º0'5''S","CRI009997","CRI009997","1999","10","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","538428","PreservedSpecimen","Plantae","Simaroubaceae","Picrasma","crenata","Picrasma crenata","(Vell.) Engl.","J. R. Pirani","P. K. H. Dusén","s.n.","1911","06","07","Brazil","Paraná",NA,NA,NA,NA,NA,"NY00538428","NY00538428_01",NA,NA,NA,"Herval",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=472916' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","585408","PreservedSpecimen","Plantae","Simaroubaceae","Picrasma","crenata","Picrasma crenata","(Vell.) Engl.","W. W. Thomas","W. W. Thomas","11919","1999","02","01","Brazil","Bahia","Jussari","-39.5233","-15.155",NA,NA,"NY00585408","NY00585408_01",NA,NA,NA,"Serra do Teimoso, 7.5 km N of Jussari on rd. to Plamira, then 2 km W to Fazenda Teimoso, Reserva Fazenda do Teimoso, southern end","300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=472914' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","569233","PreservedSpecimen","Plantae","Simaroubaceae","Picrasma","crenata","Picrasma crenata","(Vell.) Engl.","J. R. Pirani","J. C. Solomon","11068","1983","10","05","Bolivia","Tarija","Burnet O'Connor","-64.22","-21.48",NA,NA,"NY00569233",NA,NA,NA,NA,"21.5 km E of Narvaez on road to Entre Rios (6.9 km W of Entre Rios)","1350","1350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=472915' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 13:41:00-03","NY","NYBG","776888","PreservedSpecimen","Plantae","Simaroubaceae","Picrasma","crenata","Picrasma crenata",NA,"A. C. Cervi","A. C. Cervi","6861","1999","10","28","Brazil","Paraná","Ponta Grossa","-49.97","-25.42",NA,NA,"NY00776888","NY00776888_01",NA,NA,NA,"Parque Estadual de Vila Velha",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=472918' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","538429","PreservedSpecimen","Plantae","Simaroubaceae","Picrasma","crenata","Picrasma crenata","(Vell.) Engl.",NA,"R. Reitz","9552","1960","02","10","Brazil","Santa Catarina","Camboriú","-48.6542","-27.0256",NA,NA,"NY00538429","NY00538429_01",NA,NA,NA,"Praia de Camboriú","2","2","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=472922' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 13:41:00-03","NY","NYBG","569232","PreservedSpecimen","Plantae","Simaroubaceae","Picrasma","crenata","Picrasma crenata",NA,NA,"L. C. Stutz de Ortega","1962","1984","11","30","Paraguay",NA,NA,NA,NA,NA,NA,"NY00569232",NA,NA,NA,NA,"C. F. A. P. Pto. Stroessner",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=472923' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 13:41:00-03","NY","NYBG","538432","PreservedSpecimen","Plantae","Simaroubaceae","Picrasma","crenata","Picrasma crenata",NA,"J. C. Lindeman","J. C. Lindeman","2879","1966","11","06","Brazil","Paraná","Quedas do Iguaçu","-52.9081","-25.4497",NA,NA,"NY00538432","NY00538432_01",NA,NA,NA,"By forest road nae Rio Iguacú",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=472917' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Sapindales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
