"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","652515","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Cryptochloa","capillata","Cryptochloa capillata","(Trin.) Soderstr.","B. D. Sucre","2165","1968","01","25","South America","Brazil","Rio de Janeiro","Parque Lagem","-43.211728","-22.95845","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=372146' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652515","NY00652515_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 11:54:00-03","NY","NYBG","652514","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Cryptochloa","capillata","Cryptochloa capillata",NA,"C. E. Calderón","2195","1972","04","01","South America","Brazil","Bahia","Rd. Pôrto Seguro-Santa Cruz Cabrália: 8 km NE from the road Eunápolis-P. Seguro","-39.13","-16.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=372147' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652514",NA,"Santa Cruz Cabrália","80","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 11:54:00-03","NY","NYBG","652459","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Cryptochloa","capillata","Cryptochloa capillata",NA,"J. A. Kallunki","610","1994","02","22","South America","Brazil","Espírito Santo","EMCAPA, Estaçao Experimental Banal do Norte (at 2.5 km on road from BR-482 to Burarama), take first dirt road to the R (to Monte Alegre) after the station and then first trail to the L, through forest","-41.28","-20.6","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=372141' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652459","NY00652459_01","Cachoeiro de Itapemirim",NA,NA,"L. G. Clark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","652457","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Cryptochloa","capillata","Cryptochloa capillata","(Trin.) Soderstr.","W. W. Thomas","6098","1988","02","22","South America","Brazil","Espírito Santo","8 km W of Linhares on road to Colatina (on north side of Rio Doce)","-40.12","-19.37","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=372139' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652457",NA,"Linhares",NA,NA,"G. Davidse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 11:54:00-03","NY","NYBG","652516","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Cryptochloa","capillata","Cryptochloa capillata",NA,"W. Milliken","446","1987","07","17","South America","Brazil","Roraima","SEMA Ecological Reserve, Ilha de Maracá, W of Casa de Maracá","-61.55","3.35","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=372148' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652516",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 11:54:00-03","NY","NYBG","652518","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Cryptochloa","capillata","Cryptochloa capillata",NA,"O. Huber","5977","1981","02","13","South America","Venezuela","Amazonas",NA,"-64.05","2.7","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=372149' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652518",NA,"Mun. Atabapo","1200","1200","G. Davidse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 11:54:00-03","NY","NYBG","652458","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Cryptochloa","capillata","Cryptochloa capillata",NA,"T. R. Soderstrom","2201","1976","05","12","South America","Brazil","Bahia","Parque Nacional Monte Pascoal, located 14 km east of BR 101 at a point 13 km north of Itamarajú","-39.4166","-16.8833","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=372150' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652458",NA,"Porto Seguro","110","110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 11:54:00-03","NY","NYBG","652517","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Cryptochloa","capillata","Cryptochloa capillata",NA,"J.-J. de Granville","9016","1986","01","27","South America","French Guiana",NA,"Mont Galbao. Secteur Sud","-53.33","3.58","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=372143' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652517",NA,NA,"700","700","T. R. Soderstrom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 11:54:00-03","NY","NYBG","652460","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Cryptochloa","capillata","Cryptochloa capillata",NA,"T. R. Soderstrom","2131","1976","04","08","South America","Brazil","Bahia","Boundary of Municipios Camaca and Mascote, 24 km south of Camaca on BR 101",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=372151' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652460",NA,NA,"100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01081183","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Cryptochloa","capillata","Cryptochloa capillata","(Trin.) Soderstr.","J. R. Pirani","2990","1994","02","17","South America","Brazil","Bahia","km 21 da Rodovia Itamaraju - Prado. Floresta de Tabuleiro, muito alta, com muitas Lecythidaceae (Eschweilera e Lecythis) e Johannesia prínceps de até25 m alt, submata rice em palmeiras e marantáceas.","-39.4005024","-17.1565168","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1221338' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081183",NA,"Prado",NA,NA,"L. G. Clark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
