"record_id","modified","institutionCode","collectionCode","catalogNumber","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","basisOfRecord","continentOcean","yearIdentified","monthIdentified"
"1","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","36697","Plantae","Orchidaceae","Cattleya","xanthina","Cattleya xanthina","(Lindl.) Van den Berg","G.B. Bortolan/Jan.-2020","A. P. Fontana; et al","5180","2008","05","05","Brasil","Espírito Santo","Viana","Arredores da Reserva Biológica de Duas Bocas","-40.546667","-20.3","40W32'48","20S18'0","MBML036697","MBML036697",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","38580","Plantae","Orchidaceae","Cattleya","xanthina","Cattleya xanthina","(Lindl.) Van den Berg","G.B. Bortolan/Jan.-2020","C. N. de Fraga; A.P.Fontana, R.Goldenberg, R.C.Forzza, P. Labiak, L. Kollmann & P.B.Schwartsburd","2333","2009","01","18","Brasil","Espírito Santo","Cariacica","Reserva Biológica Duas Bocas. Localidade de Alegre, trilha do Pau Oco. Floresta Ombrófila Densa Montana.","-40.525","-20.276111","40W31'30","20S16'34","MBML038580","MBML038580","Erva epífita. Folhas verde com máculas vinosas. Flores com tépalas amarelas, labelo de base amarelada, ápice branco com nervuras vinosas na fauce, coluna branco-amarelada, com listras vinosas internamente.",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","40652","Plantae","Orchidaceae","Cattleya","xanthina","Cattleya xanthina","(Lindl.) Van den Berg","G.B. Bortolan/Jan.-2020","K. A. Brahim; M. Simonelli","6","2007","01","17","Brasil","Espírito Santo","Domingos Martins","Rio Jucu. Prop. De Arnoldo Lampier. Floresta Ombrófila Aberta, mata de encosta.","-40.655361","-20.312528","40W39'19,3","20S18'45,1","MBML040652","MBML040652","Epífita a 2m do solo. Flores amarelas","602","602",NA,NA,NA,NA,NA,NA
"4","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","5486","Plantae","Orchidaceae","Cattleya","xanthina","Cattleya xanthina","(Lindl.) Van den Berg","G.B. Bortolan/Jan.-2020","H. Q. Boudet Fernandes","2696","1989","02","22","Brasil","Espírito Santo","Santa Teresa","Museu de Biologia Mello Leitão, Parque","-40.6","-19.936111","40W36'0","19S56'10","MBML005486","MBML005486","Estéril. Sobre Alchernea próximo a casa de tratamento dos animais. Floresceu em janeiro. Herb. Culta. In orquidário.",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-07-10 09:48:23-03","MBML","MBML-HERBARIO","29099","Plantae","Orchidaceae","Hadrolaelia","xanthina","Hadrolaelia xanthina","(Lindl.) Chiron & V.P.Castro","L. Kollmann/14-09-2007","J. Rossini","583","2007","01","17","Brasil","Espírito Santo","Santa Leopoldina","Encantado, propriedade da Sra. Zenith Zani","-40.5297012329102","-20.1005992889404",NA,NA,"MBML029099",NA,"Epífita a 4m, pendúnculo verde claro, sépalas e pétalas amarelo-esverdeadas, labeloamarelo com ápice branco e estrias vináceas, antera com ápice vináceo. trilha seguindo a vertente esquerda da nascente no fundo vale, afloramento rocho",NA,NA,"23799","auto",NA,NA,NA,NA
"6","2020-07-10 09:48:23-03","MBML","MBML-HERBARIO","15864","Plantae","Orchidaceae","Hadrolaelia","xanthina","Hadrolaelia xanthina","(Lindl.) Chiron & V.P.Castro","A. P. Fontana/27-XII-2003","L. Kollmann; et al","2884","2000","04","26","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17","MBML015864",NA,"Mata de encosta. Epífita a 2m na sombra. Flor amarela. Labelo com listras lilás. Floração em cultivo em 14/02/2002.",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-07-10 09:48:23-03","MBML","MBML-HERBARIO","16803","Plantae","Orchidaceae","Hadrolaelia","xanthina","Hadrolaelia xanthina","(Lindl.) Chiron & V.P.Castro","A. P. Fontana/27-XII-2003","R.R. Vervloet; et al","147","2002","04","18","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","40W33'11","19S54'27","MBML016803","MBML016803","Epífita em galho caído, frutos imaturos de cor verde.",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-07-10 09:48:23-03","MBML","MBML-HERBARIO","19367","Plantae","Orchidaceae","Hadrolaelia","xanthina","Hadrolaelia xanthina","(Lindl.) Chiron & V.P.Castro","A. P. Fontana/27-XII-2003","L. Kollmann; et al","3613","2001","04","25","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17","MBML019367",NA,"Epífita caída. Flores amarelas. Floração em 01/2003. Cultivo/Herb.",NA,NA,NA,NA,NA,NA,NA,NA
"9","2017-09-11 17:11:58-03","UnB","HBVIRTFLBRAS",NA,"Plantae","Orchidaceae","Laelia","xanthina","Laelia xanthina","Lindl.",NA,"Backhouse","s.n.(Hort.",NA,NA,NA,"Brazil","Bahia",NA,"Habitat in Brasilia loco accurato haud indicato verissimiliter in prov. Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"O","Southern America",NA,NA
"10","2017-09-11 17:11:58-03","UnB","HBVIRTFLBRAS",NA,"Plantae","Orchidaceae","Laelia","xanthina","Laelia xanthina","Lindl.",NA,"Backhouse","s.n.(Hort.",NA,NA,NA,"Brazil","Bahia",NA,"Habitat in Brasilia loco accurato haud indicato verissimiliter in prov. Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"O","Southern America",NA,NA
"11","2019-11-21 10:13:29-03","IBt","SP","33188","Plantae","Orchidaceae","Hadrolaelia","xanthina","Hadrolaelia xanthina","(Lindl.) Chiron & V.P.Castro","Mamede, MCH","s.col.","s.n.",NA,NA,NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S",NA,"2011","03"
"12","2019-11-21 10:13:29-03","IBt","SP","25023","Plantae","Orchidaceae","Hadrolaelia","xanthina","Hadrolaelia xanthina","(Lindl.) Chiron & V.P.Castro","Mamede, MCH","Ostermeyer, R","s.n.","1930","01","16","Desconhecido",NA,NA,"Sem indicação de procedência",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S",NA,"2011","03"
