"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","relatedCatalogItem","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","identifiedBy","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount","sex"
"1","2020-09-24 10:58:18-03","UEPA","MFS-FLORES","MFSFL000015","S","Plantae","Rubiaceae","Psychotria","mapourioides","Psychotria mapourioides","DC.","Pereira, A.S.S.","28","2011","10","14","Brasil","Pará","Ananindeua","Águas Lindas, Coleta na Área do 15 (Embrapa Amazônia Oriental)","-48.374636","-1.365067","-48.374636","-1.365067","MFS000679","Arbusto de cerca de 1,5 m de altura. Flores pequenas de coloração alva.","MFSFL000015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:06-03","UNESC","CRI","10192","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","mapourioides","Psychotria mapourioides","DC.","M.G. Caxambu; et al.","4023","2012","04","28","Brasil","São Paulo","Pariquera-Açu","Propriedade do Sr. Flávio.","-47.875556","-24.715278","47º52'32''W","24º42'55''S",NA,"Floresta Ombrófila Densa Submontana Habito: árvore heliófita","CRI009425","30","30","CRI009425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:11-03","E","E","285069","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","mapourioides","Psychotria mapourioides",NA,"Salzmann, Philipp",NA,"1905","01","04","BR","Bahia",NA,"In convallibus",NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00285069 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285069",NA,NA,NA,"possible type","E. Tropical South America","herbarium specimen of unspecif","BGBASE:291729",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","502037","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","mapourioides","Psychotria mapourioides","DC.","W. W. Thomas","8902","1992","01","22","Brazil","Sergipe",NA,"Itabaiana. Forest at edge of the Estaçao Ecológica da Serra da Itabaiana, 5 km W of Areia Branca on BR 235 (ca. 41 km W of Aracajú)","-37.3889","-10.6875",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=126692' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502037",NA,NA,"NY00502037_01",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales","C. M. Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","686516","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","mapourioides","Psychotria mapourioides","DC.","R. P. Belém","1750","1965","09","08","Brazil","Bahia",NA,"Margem da Rodovia Camacan - Canavieiras, 32 km W de Canavieiras","-39.1821063","-15.5102013",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=834588' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686516",NA,NA,"NY00686516_01",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales","C. M. Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1329286","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","mapourioides","Psychotria mapourioides","DC.","R. S. Cowan","1412","1959","04","04","Trinidad and Tobago",NA,NA,"Roxborough-Parlatuvier Road, Main Ridge: Primary forest.",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1554645' target='other'> <mi>dwc_moreinfo</mi></a>","NY01329286","450","500","NY01329286_01",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01108114","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","mapourioides","Psychotria mapourioides","DC.","G. T. Prance","9007","1968","11","30","Brazil","Rondônia",NA,"Basin of Rio Madeira. Track from Mutumparaná to Rio Madeira. Capoeira.",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1271001' target='other'> <mi>dwc_moreinfo</mi></a>","NY01108114",NA,NA,"NY01108114_01",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01108122","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","mapourioides","Psychotria mapourioides","DC.","F. R. Nonato",NA,NA,NA,NA,"Brazil","Amapá",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1271030' target='other'> <mi>dwc_moreinfo</mi></a>","NY01108122",NA,NA,"NY01108122_01",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01108134","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","mapourioides","Psychotria mapourioides","DC.","C. H. L. Sastre","164",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1271033' target='other'> <mi>dwc_moreinfo</mi></a>","NY01108134",NA,NA,"NY01108134_01",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","502020","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","mapourioides","Psychotria mapourioides","DC.","A. M. V. de Carvalho","626","1981","04","19","Brazil","Bahia","Ilhéus","Estrada Olivença/Pontal. A 4 km ao N de Olivença","-39.0492","-14.7892",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=126723' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502020",NA,NA,"NY00502020_01",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales","J. H. Kirkbride Jr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
