"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","occurrenceRemarks","locality","phylum","order","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","coordinatePrecision","geoFlag","class","infraspecificEpithet","relationshipType","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:55-03","UNESC","CRI","773","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","major","Plantago major","L.","R. R. Negrelle","1991","07","02","Vanilde Citadini-Zanette; C. M. Martinello","1991","07","02","Brasil","Santa Catarina","Criciúma","-49.373333","-28.6725","49º22'24''W","28º40'21''S","CRI006200","CRI006200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:55-03","UNESC","CRI","14625","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","major","Plantago major","L.","Carina Scheffer de Matos","2000","10","30","Rodrigo Dimer Mendes","2000","10","15","Brasil","Rio Grande do Sul","Dom Pedro de Alcântara","-49.853611","-29.369722","49º51'13''W","29º22'11''S","CRI013932",NA,"Flores marrom avermelhadas. Habito: Herbácea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:48-03","UNESC","CRI","14632","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","major","Plantago major","L.","Matos, C. S.","2000","10","30","Mendes, R. D.","2000","10","15","Brasil","Rio Grande do Sul","Dom Pedro de Alcântara","-49.853333","-29.364167","49º51'12''W","29º21'51''S","CRI013940","CRI013940","Habito: Erva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:48-03","UNESC","CRI","14654","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","major","Plantago major","L.","Ana Paula Domingos","2000","11","07","Ana Paula Domingos","2000","11","05","Brasil","Santa Catarina","Criciúma","-49.370278","-28.678333","49º22'13''W","28º40'42''S","CRI013961","CRI013961","Folhas grades, flores pequenas branco amareladas, reunidas em espigas.. Habito: Herbácea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:47-03","UNESC","CRI","14626","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","major","Plantago major","L.","Domingos, A.","2000","11","07","Domingos, A.","2000","11","05","Brasil","Santa Catarina","Criciúma","-49.370278","-28.678333","49º22'13''W","28º40'42''S","CRI013933",NA,"folhas grandes, flores pequenas, branco-rosa amareladas, reunidas em espigas Habito: Herbácea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:55-03","UNESC","CRI","8983","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","major","Plantago major","L.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini Zanette; Patricia de Aguiar Amaral","2011","10","08","Brasil","Santa Catarina","Nova Veneza","-49.498056","-28.637222","49º29'53''W","28º38'14''S","CRI008764","CRI008764",NA,"Caravaggio.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:48-03","UNESC","CRI","14631","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","major","Plantago major","L.","Carina Scheffer de Matos","2000","10","30","Rodrigo Dimer Mendes","2000","10","15","Brasil","Rio Grande do Sul","Dom Pedro de Alcântara","-49.853333","-29.364167","49º51'12''W","29º21'51''S","CRI013939","CRI013939","Flores marrom-avermelhadas. Habito: Herbácea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","423633","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","major","Plantago major","L.","M. H. Nee",NA,NA,NA,"J. Semper","1945","01","14","Argentina","Mendoza",NA,"-68.815443","-32.84944",NA,NA,"NY00423633",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714980' target='other'> <mi>dwc_moreinfo</mi></a>","Las Heras","Magnoliophyta","Lamiales","305","South America","200","200","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","85192","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","major","Plantago major","L.","K. Rahn",NA,NA,NA,"B. C. Bennett","1988","09","27","Ecuador","Morona-Santiago",NA,"-78.15","-2.52",NA,NA,"NY00085192",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714991' target='other'> <mi>dwc_moreinfo</mi></a>","Centro Shuar Yukutais. 10 km S Sucua, Rio Upano, near house of Clare Antich","Magnoliophyta","Lamiales","3450","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","423630","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","major","Plantago major","L.","M. H. Nee",NA,NA,NA,"R. Reitz","1965","12","11","Brazil","Santa Catarina","Mafra","-49.810717","-26.134487",NA,NA,"NY00423630","NY00423630_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714979' target='other'> <mi>dwc_moreinfo</mi></a>","Mafra","Magnoliophyta","Lamiales","17382","South America","750","750","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
