"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","95229","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","ciliata","Picramnia ciliata","Mart.","W. W. Thomas","W. W. Thomas","9195","1992","05","07","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré.","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=267364' target='other'> <mi>dwc_moreinfo</mi></a>","NY00095229","NY00095229_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","569259","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","ciliata","Picramnia ciliata","Mart.","W. W. Thomas","L. P. de Queiroz","3242","1993","06","18","South America","Brazil","Bahia","Castro Alves","Topo da Serra da Jibóia, em torno, da Torre da Televisao","-39.47","-13.85","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=267358' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569259","NY00569259_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","04073059","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","ciliata","Picramnia ciliata","Mart.","D. Piotto","D. Piotto","2579","2010","06","10","South America","Brazil","Bahia","Uruçuca","Parque Est. Serra do Conduru","-39.08","-14.42","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3671320' target='other'> <mi>dwc_moreinfo</mi></a>","NY04073059",NA,"120","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","569262","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","ciliata","Picramnia ciliata","Mart.","W. W. Thomas","I. A. Silva","331","1982","06","02","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Linhares. Aceiro com LASA, ant. G. Santos, km 0,212, L. direito","-39.961174","-19.138199","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=267361' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569262","NY00569262_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","776889","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","ciliata","Picramnia ciliata","Mart.","J. R. Pirani","J. R. Pirani","2015","1987","08","13","South America","Brazil","São Paulo","Diadema","Vila Faccini, Parque Estadual","-46.610456","-23.69244","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=267367' target='other'> <mi>dwc_moreinfo</mi></a>","NY00776889","NY00776889_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","569256","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","ciliata","Picramnia ciliata","Mart.","J. R. Pirani","J. P. Lanna Sobrinho","780","1965","02","18","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Tijuca, Horto","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=267368' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569256","NY00569256_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","884922","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","ciliata","Picramnia ciliata","Mart.","M. M. M. Lopes","M. M. M. Lopes","614","2006","04","09","South America","Brazil","Bahia","Camacan","Camacã: RPPN Serra Bonita. 9.7 km W de Camacã na estrada para Jacareci, daí 6 km SW na estrada para a RPPN e Torre da Embratel.","-39.5653","-15.3917","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969259' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884922","NY00884922_01","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","569264","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","ciliata","Picramnia ciliata","Mart.","W. W. Thomas","A. M. V. de Carvalho","3556","1991","09","11","South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. 7.3 km na estrada Serra Grande/Itacaré, Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=267363' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569264","NY00569264_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","569258","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","ciliata","Picramnia ciliata","Mart.","W. W. Thomas","J. G. Jardim","359","1993","12","03","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Ao longo da estrada que vai à sede","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=267357' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569258","NY00569258_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","569255","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","ciliata","Picramnia ciliata","Mart.","J. R. Pirani","J. R. Pirani","2931","1994","02","10","South America","Brazil","Bahia","Buerarema","Estrada Oivença-Buerarema, ca. 43 km do início da estrada nao-pavimentada em Olivença","-39.2859721","-14.9784715","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=267369' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569255","NY00569255_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
