"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","typeStatus","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","788083","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","polyphylla","Baccharis polyphylla","Gardner","R. M. Harley","22545","1980","05","25","South America","Brazil","Bahia","Serra dos Lençóis. Serra da Larguinha, ca. 2km NE of Caeté-Açu (Capao Grande). West facing ridge.","-41.48","-12.6","1000","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532939' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788083","NY00788083_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","788084","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","polyphylla","Baccharis polyphylla","Gardner","A. F. M. Glaziou","19492",NA,NA,NA,"South America","Brazil",NA,"Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532940' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788084","NY00788084_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","788082","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","polyphylla","Baccharis polyphylla","Gardner","R. M. Harley","15443","1974","01","23","South America","Brazil","Bahia","Serra do Rio de Contas. On lower slopes of the Pico das Almas, ca. 25km WNW of the town of Rio de Contas.","-41.92","-13.53","1550","1550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532938' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788082","NY00788082_01","C. Jeffrey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00854988","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","polyphylla","Baccharis polyphylla","Gardner","L. B. Damazio",NA,NA,NA,NA,"South America","Brazil","Minas Gerais","Iust Diamantina et Biribiri.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939512' target='other'> <mi>dwc_moreinfo</mi></a>","NY00854988","NY00854988_01","G. Heiden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:09:57-03","UFBA","ALCB","27127","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Baccharis","polyphylla","Baccharis polyphylla","Gardner","Giulietti, AM; Campos, AGL; Conceição, AS; Brito, AT; Oliveira, RP de","1450","1998","08","15","Southern America","Brasil","Bahia","Chapada Diamantina, Pico do Barbado","-41.6636009216309","-13.2496995925903","1800","1800",NA,"Ca. 50 cm. Capítulos alvos.; Entre pedras.",NA,NA,NA,"Abaíra","26531","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:09:57-03","UFBA","ALCB","033745","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Baccharis","polyphylla","Baccharis polyphylla","Gardner","Hind, DJN; Bautista, HP; Queiroz, LP de; M.M. da Silva","PCD&nf;3982","1996","11","03","Southern America","Brasil","Bahia","Chapada Diamantina, Sopé da Serra de Santana","-41.766111","-13.134722",NA,NA,NA,"até 2 m., muito ramificada. Caule e ramos castanhos, estriados. Folhas aciculares, ápice amarelado. Filárias creme. Indivíduo feminino.",NA,NA,NA,"Piatã",NA,NA,"2005","04","-41.766111","-13.134722",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:09:57-03","UFBA","ALCB","64280","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Baccharis","polyphylla","Baccharis polyphylla","Gardner","Oliveira, RP de; Giulietti, AM; Turma Sist. Monocots Mestrado","622","2000","08","10","Southern America","Brasil","Bahia","Chapada Diamantina, Campo do Queiroz","-41.952778","-13.552778",NA,NA,NA,"Ca. 90 cm alt. Folhas concolores. Sépalas e capítulos esverdeados.",NA,NA,"Bautista, HP; Hind, DJN","Rio de Contas",NA,NA,"2000","09","-41.952778","-13.552778",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:09:57-03","UFBA","ALCB","62622","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Baccharis","polyphylla","Baccharis polyphylla","Gardner","Ganev, W","788",NA,NA,NA,"Southern America","Brasil","Bahia","Chapada Diamantina, Caminho Ribeirão de Baixo - quebradas, próxima a encosta da Serra do Atalho","-41.833333","-13.25","1200","1200",NA,"Ca. 1,5 m alt. Folhas verdes. Brácteas amareladas. Flores amareladas.; Solo argiloso.",NA,NA,NA,"Abaíra",NA,NA,NA,NA,"-41.833333","-13.25",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:09:57-03","UFBA","ALCB","63887","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Baccharis","polyphylla","Baccharis polyphylla","Gardner","Miranda, EB; Leite, KRB; Correia, C; Silva, BM da","487","2000","05","14","Southern America","Brasil","Bahia","Chapada Diamantina, Catolés: encosta da Serra da Tromba","-41.792222","-13.286667","1015","1015",NA,"Até 1,5 m alt., viscoso. Folhas coriáceas, concolor. Inflorescência esverdeada.",NA,NA,"Bautista, HP","Abaíra",NA,NA,"2001","05","-41.792222","-13.286667",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:09:57-03","UFBA","ALCB","68973","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Baccharis","polyphylla","Baccharis polyphylla","Gardner","Guedes, ML; Cruz, FG; Martins, DV; Gomes, DF; et al.","11454","2004","09","18","Southern America","Brasil","Bahia","Chapada Diamantina","-41.880278","-13.060833",NA,NA,NA,"de 20 cm, ramos com galias. Folhas lineares.Folhas lineares. Capítulos paucifloros, cremes. Ocasional.",NA,NA,"Guedes, ML","Piatã",NA,NA,"2005","05","-41.880278","-13.060833",NA,NA,NA,NA,NA,NA,NA,NA
