"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:40:04-03","E","E","68813","PreservedSpecimen","Plantae","Labiatae","Eriope","crassipes","Eriope crassipes","Davidse, Gerrit & González, Angel","14163","1978","02","14","W. Tropical South America","VE","herbarium specimen of unspecif","BGBASE:76622","<a href=http://data.rbge.org.uk/herb/E00068813 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00068813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01023628","PreservedSpecimen","Plantae","Lamiaceae","Eriope","crassipes","Eriope crassipes","A. Pontes","536","2002","11","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1198754' target='other'> <mi>dwc_moreinfo</mi></a>","NY01023628","Magnoliophyta","Lamiales","Benth.","R. M. Harley","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra. Estrada Sao Roque de Minas-Sacramento, a 41 km da portaria de Sao Roque de Minas","-46.3656","-20.2456","NY01023628_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00498619","PreservedSpecimen","Plantae","Lamiaceae","Eriope","crassipes","Eriope crassipes","G. G. Hatschbach","18951","1968","03","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=727558' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498619","Magnoliophyta","Lamiales","Benth.","S. F. Smith; L. B. Smith","Paraná","Jaguariaíva","Barra Rio das Mortes","-49.7056","-24.2511","NY00498619_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00498626","PreservedSpecimen","Plantae","Lamiaceae","Eriope","crassipes","Eriope crassipes","T. Sendulsky","1030","1970","10","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=727566' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498626","Magnoliophyta","Lamiales","Benth.","R. M. Harley","São Paulo","Itirapina","Itirapina","-47.8197","-22.25","NY00498626_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01871392","PreservedSpecimen","Plantae","Lamiaceae","Eriope","crassipes","Eriope crassipes","J. M. Pires","6252","1956","12","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2128699' target='other'> <mi>dwc_moreinfo</mi></a>","NY01871392","Magnoliophyta","Lamiales","Benth.",NA,"Pará",NA,"Serra do Cachimbo.",NA,NA,"NY01871392_01","425","425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00000511","PreservedSpecimen","Plantae","Lamiaceae","Eriope","crassipes","Eriope crassipes cristalinae","E. P. Heringer","11539","1967","08","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=476080' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000511","Magnoliophyta","Lamiales","Harley",NA,"Goiás","Cristalina",NA,"-47.6133","-16.7686","NY00000511_01",NA,NA,"cristalinae","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00749347","PreservedSpecimen","Plantae","Lamiaceae","Eriope","crassipes","Eriope crassipes cristalinae","H. S. Irwin","9795","1965","11","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=890354' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749347","Magnoliophyta","Lamiales","Harley","R. M. Harley","Goiás","Cristalina","Serra dos Cristais. 5 km W. of Cristalina","-47.6","-16.79518","NY00749347_01","1175","1175","cristalinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00857016","PreservedSpecimen","Plantae","Lamiaceae","Eriope","crassipes","Eriope crassipes","P. E. Gibbs","2765","1976","09","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936026' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857016","Magnoliophyta","Lamiales","Benth.","R. M. Harley","Goiás","Goiás","Serra Dourada","-50.1403","-15.9344","NY00857016_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00498616","PreservedSpecimen","Plantae","Lamiaceae","Eriope","crassipes","Eriope crassipes","H. S. Irwin","31663","1971","03","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=727565' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498616","Magnoliophyta","Lamiales","Benth.","R. M. Harley","Bahia","Barreiras","Valley of the Rio das Ondas. Ca. 80 km W. of Barreiras","-44.99","-12.15","NY00498616_01","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00498618","PreservedSpecimen","Plantae","Lamiaceae","Eriope","crassipes","Eriope crassipes","J. C. Lindeman","3112","1966","10","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=727562' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498618","Magnoliophyta","Lamiales","Benth.","R. M. Harley","Paraná","Jaguariaíva","Jaguariaíva","-49.7056","-24.2511","NY00498618_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01182070","PreservedSpecimen","Plantae","Lamiaceae","Eriope","crassipes","Eriope crassipes acutifolia","P. G. Delprete","8955","2004","10","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1397068' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182070","Magnoliophyta","Lamiales","Benth.","H. D. Ferreira","Goiás","Cocalzinho de Goiás","Serra dos Pireneus, Faz. Capitão do Mato. Após a 2° porteira, saindo da Faz. Capitão do Mato, sentido para Morro Cabeludo. Área de Cerrado Sensu.","-48.8","-15.8",NA,"1100","1100","acutifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00498620","PreservedSpecimen","Plantae","Lamiaceae","Eriope","crassipes","Eriope crassipes","P. K. H. Dusén","10480","1910","10","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=727574' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498620","Magnoliophyta","Lamiales","Benth.",NA,"Paraná","Jaguariaíva","Jaguariahyva","-49.713647","-24.340602","NY00498620_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00857097","PreservedSpecimen","Plantae","Lamiaceae","Eriope","crassipes","Eriope crassipes","G. Gardner","3387","1836",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936318' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857097","Magnoliophyta","Lamiales","Benth.","R. M. Harley","Goiás",NA,NA,NA,NA,"NY00857097_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00498627","PreservedSpecimen","Plantae","Lamiaceae","Eriope","crassipes","Eriope crassipes","J. R. Mattos","8543","1960","11","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=727571' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498627","Magnoliophyta","Lamiales","Benth.","L. B. Smith","São Paulo","Moji-Guaçu","Fazenda Campininha, 10 km NNW de Padua Sales",NA,NA,"NY00498627_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00498624","PreservedSpecimen","Plantae","Lamiaceae","Eriope","crassipes","Eriope crassipes","S. M. de Campos","135","1959","11","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=727569' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498624","Magnoliophyta","Lamiales","Benth.","J. J. Wurdack","São Paulo","Itapetininga","Faz. Bom Retiro; SW da cid. de Itapetininga, próximo ao rio Paranapanema","-48.0497","-23.5903","NY00498624_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00527376","PreservedSpecimen","Plantae","Lamiaceae","Eriope","crassipes","Eriope crassipes","J. R. Mattos","8543","1960","11","18","South America","Brazil","boxed",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=727572' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527376","Magnoliophyta","Lamiales","Benth.","L. B. Smith","São Paulo","Moji-Guaçu","Fazenda Campininha, 10 km NNW de Padua Sales",NA,NA,"NY00527376_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00857099","PreservedSpecimen","Plantae","Lamiaceae","Eriope","crassipes","Eriope crassipes","L. Riedel","2447","1833","11",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936314' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857099","Magnoliophyta","Lamiales","Benth.","R. M. Harley",NA,NA,"S. Paulo, Minas Gerais et Goyaz",NA,NA,"NY00857099_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00857018","PreservedSpecimen","Plantae","Lamiaceae","Eriope","crassipes","Eriope crassipes","H. S. Irwin","9240","1965","10","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936020' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857018","Magnoliophyta","Lamiales","Benth.","R. M. Harley","Distrito Federal","Brasília","Chapada da Contagem, ca. 20 km E of Brasília","-47.74305","-15.7797","NY00857018_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
