"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","imagecode","order"
"1","2019-10-09 11:09:44-03","UFBA","ALCB","133126","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Aldama","aspilioides","Aldama aspilioides","(Baker) E.E.Schill. & Panero","Reis-Silva, GA; Lozano, E; Silva, JM","316","2017","11","23","Southern America","Brasil","Paraná","Balsa Nova","Recanto dos Papagaios, trilha mergem direita do Rio dos papagaios.","-49.766944","-25.466944","-49.766944","-25.466944","920","920","Capítulos com flores do raio e discos amarelas,.; Em solo arenoso úmido e campos gerais.","ALCB050838",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:09:44-03","UFBA","ALCB","86015","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Aldama","aspilioides","Aldama aspilioides","(Baker) E.E.Schill. & Panero","Barbosa, E; Cunha, EM","1790","2006","10","28","Southern America","Brasil","Paraná","Palmeira","Recanto dos Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,NA,NA,"Xilopodífera. Capítulo amarelo.; Campo limpo seco.",NA,"Alves, M","2019","03","01","35166","auto",NA,NA
"3","2019-10-09 11:09:44-03","UFBA","ALCB","97708","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Aldama","aspilioides","Aldama aspilioides","(Baker) E.E.Schill. & Panero","Silva, JM; Ribas, OS","3485","2001","10","05","Southern America","Brasil","Paraná","Porto Amazonas","Rod. BR-277, Recanto dos Papagaios","-49.8903007507324","-25.5447006225586",NA,NA,NA,NA,"Ereta. Capítulo amarelo.; Campo limpo. Seco.",NA,"Alves, M","2015","02",NA,"14684","auto",NA,NA
"4","2020-11-04 10:54:43-03","ESALQ","ESA","135118","PreservedSpecimen","Plantae",NA,"Asteraceae","Aldama","aspilioides","Aldama aspilioides",NA,"Filartiga A.L.","18.0","2020","09","15",NA,"Brasil","PR","Ponta Grossa",NA,"-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,NA,"ESA135118",NA,NA,NA,NA,"46557","auto",NA,NA
"5","2020-11-04 11:02:45-03","ESALQ","ESA","98160","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Viguiera","aspiliodies","Viguiera aspiliodies",NA,"Vichnewski, W.","430.0","1997","05","07",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESA098160","Vichnewski, W.",NA,NA,NA,NA,NA,"ESA098160",NA
"6","2019-11-21 14:31:13-03","UFJF","CESJ","1376","PreservedSpecimen","Plantae","Angiosperma","Asteraceae","Aldama","aspilioides","Aldama aspilioides","(Baker) E.E.Schill. & Panero","L. Roth","s.n.","1955","08","28","América do Sul","Brasil","Minas Gerais","Nova Lima","Serra do Curral (Pico)","-43.8466987609863","-19.9855995178223",NA,NA,NA,NA,"Herbácea do cerrado-campo, 60-70 cm. Flores amarelas.","CESJ001376","L.C.Pereira","2012","03",NA,"29211","auto","CESJ001376",NA
"7","2021-03-01 16:22:57-03","UNICAMP","UEC","2372","S","Plantae","Magnoliopsida","Asteraceae","Aldama","aspilioides","Aldama aspilioides","(Baker) E.E.Schill. & Panero","Gibbs, PE; Leitão Filho, HF; Semir, J","1767","1976","02","10",NA,"Brazil","São Paulo","Itararé","Estado de São Paulo, 25Km ao Sul de Itararé.","-49.3400001525879","-24.1100006103516",NA,NA,NA,NA,"Herbáceo até 40cm. Flores amarelas, folhas rosuladas.","UEC118360","Alves, M","2014","10",NA,"27729","auto","UEC118360",NA
"8","2020-10-14 09:58:52-03","FURB","FURB","47714","PreservedSpecimen","Plantae",NA,"Asteraceae","Aldama","aspilioides","Aldama aspilioides","(Baker) E.E.Schill. & Panero","Engels, M.E.; Lozano, E.D.","1872","2013","11","03",NA,"Brasil","Paraná","Porto Amazonas","margem da rodovia.","-49.8903007507324","-25.5447006225586",NA,NA,NA,NA,NA,"FURB47714","Barboza, E","2015","04","06","14684","auto","FURB47714",NA
"9","2019-08-16 08:38:26-03","UTFPR","HCF","18865","S","Plantae",NA,"Asteraceae","Aldama","aspilioides","Aldama aspilioides","(Baker) E.E.Schill. & Panero","M.E. Engels","1872","2013","11","03",NA,"Brasil","PR","Porto Amazonas","Rodovia BR 277, margem da rodovia","-49.8903007507324","-25.5447006225586",NA,NA,NA,NA,"caule castanho. Folhas verdes. Capítulo amarelo. Campo.",NA,"E. Barboza","2015","04","06","14684","auto",NA,NA
"10","2020-12-21 16:14:01-03","MBM","MBM","336279","PreservedSpecimen","Plantae",NA,"Asteraceae","Aldama","aspilioides","Aldama aspilioides","(Baker) E.E. Schill. & Panero","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","77152","2004","03","15","Southern America","Brazil","Mato Grosso do Sul","Jardim",NA,"-56.1380996704102","-21.4803009033203",NA,NA,NA,NA,"Ereta, capítulo amarelo.; Depressão úmida.","MBM336279","Nakajima, J.N.","2009","09",NA,"79469","auto","MBM336279",NA
"11","2020-12-21 16:14:01-03","MBM","MBM","256575","PreservedSpecimen","Plantae",NA,"Asteraceae","Aldama","aspilioides","Aldama aspilioides","(Baker) E.E. Schill. & Panero","Roth, L.","1376","1955","08","28","Southern America","Brazil","Minas Gerais","Nova Lima","Serra do Curral","-43.8466987609863","-19.9855995178223",NA,NA,NA,NA,"Herbácea, 60-70 cm. Flores amarelas.; Cerrado-Campo.","MBM256575","Barroso, G.M.",NA,NA,NA,"29211","auto","MBM256575",NA
"12","2020-12-21 16:14:01-03","MBM","MBM","53263","PreservedSpecimen","Plantae",NA,"Asteraceae","Aldama","aspilioides","Aldama aspilioides","(Baker) E.E. Schill. & Panero","Hatschbach, G.","7769","1961","02","26","Southern America","Brazil","Paraná","Arapoti","Rio das Cinzas, Barra do Perdizes.","-49.8266983032227","-24.1578006744385",NA,NA,NA,NA,"Capítulos amarelos.; Do cerrado.","MBM053263","Magenta, M.","2006",NA,NA,"41852","auto","MBM053263",NA
"13","2020-12-21 16:14:01-03","MBM","MBM","6914","PreservedSpecimen","Plantae",NA,"Asteraceae","Aldama","aspilioides","Aldama aspilioides","(Baker) E.E. Schill. & Panero","Hatschbach, G.","17257","1967","10","03","Southern America","Brazil","Paraná","Colombo","Rio Canguiri","-49.2242012023926","-25.2917003631592",NA,NA,NA,NA,"Xilopodífera, flor amarela.; Do campo seco.","MBM006914","Magenta, M.","2006",NA,NA,"13536","auto","MBM006914",NA
"14","2020-12-21 16:14:01-03","MBM","MBM","77096","PreservedSpecimen","Plantae",NA,"Asteraceae","Aldama","aspilioides","Aldama aspilioides","(Baker) E.E. Schill. & Panero","Hatschbach, G.","45454","1982","09","22","Southern America","Brazil","Paraná","Palmeira","Ponta do Papagaio","-50.0064010620117","-25.4293994903564",NA,NA,NA,NA,"Capítulos amarelos.; Campo limpo.","MBM077096","Robinson, H.","1983",NA,NA,"35166","auto","MBM077096",NA
"15","2020-12-21 16:14:01-03","MBM","MBM","203532","PreservedSpecimen","Plantae",NA,"Asteraceae","Aldama","aspilioides","Aldama aspilioides","(Baker) E.E. Schill. & Panero","Ribas, O.S.; Luz, M.F. da; Luz, M.F. da","1553","1996","10","28","Southern America","Brazil","Paraná","Palmeira","Recanto dos Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,NA,NA,"Ereta, xilopodífera, até 70 cm, capítulo amarelo.; Campo limpo, seco.","MBM203532","Magenta, M.","2002","03","26","35166","auto","MBM203532",NA
"16","2020-12-21 16:14:01-03","MBM","MBM","42560","PreservedSpecimen","Plantae",NA,"Asteraceae","Aldama","aspilioides","Aldama aspilioides","(Baker) E.E. Schill. & Panero","Hatschbach, G.","2693","1951","11","10","Southern America","Brazil","Paraná","Palmeira","Rio do Salto","-50.0064010620117","-25.4293994903564",NA,NA,NA,NA,"Flor amarela.; Do campo.","MBM042560","Barroso, G.M.","1958",NA,NA,"35166","auto","MBM042560",NA
"17","2020-12-21 16:14:01-03","MBM","MBM","105009","PreservedSpecimen","Plantae",NA,"Asteraceae","Aldama","aspilioides","Aldama aspilioides","(Baker) E.E. Schill. & Panero","Oliveira, P.I.","965","1985","10","15","Southern America","Brazil","Paraná","Palmeira","Rio dos Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,NA,NA,"Capítulos amarelos.; Do campo limpo.","MBM105009","Robinson, H.","1986",NA,NA,"35166","auto","MBM105009",NA
"18","2020-12-21 16:14:01-03","MBM","MBM","190861","PreservedSpecimen","Plantae",NA,"Asteraceae","Aldama","aspilioides","Aldama aspilioides","(Baker) E.E. Schill. & Panero","Hatschbach, G.; Ziller, S.R.; Saldanha, J.; Ziller, S.R.; Saldanha, J.","64509","1996","02","24","Southern America","Brazil","Paraná","Pinhão","Rio Reserva","-51.6596984863281","-25.6956005096436",NA,NA,NA,NA,"Ereta, 70 cm, ramosa, capítulos amarelos.; Campo graminoso.","MBM190861","Magenta, M.","2006",NA,NA,"37408","auto","MBM190861",NA
"19","2020-12-21 16:14:01-03","MBM","MBM","28453","PreservedSpecimen","Plantae",NA,"Asteraceae","Aldama","aspilioides","Aldama aspilioides","(Baker) E.E. Schill. & Panero","Hatschbach, G.","32583","1973","09","27","Southern America","Brazil","Paraná","Ponta Grossa",NA,"-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"Xilopodífera, capítulos amarelos.; Campo limpo.","MBM028453","Pruski, J.","1992",NA,NA,"46557","auto","MBM028453",NA
"20","2020-12-21 16:14:01-03","MBM","MBM","53664","PreservedSpecimen","Plantae",NA,"Asteraceae","Aldama","aspilioides","Aldama aspilioides","(Baker) E.E. Schill. & Panero","Hatschbach, G.","12847","1965","10","01","Southern America","Brazil","Paraná","Ponta Grossa","Fazenda Barrozinha.","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"Planta com xilopódio, capítulos amarelos.; Do campo seco.","MBM053664","Magenta, M.","2006",NA,NA,"46557","auto","MBM053664",NA
