"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2021-04-05 14:25:37-03","UNESC","CRI","13837","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","astringens","Eugenia astringens","Cambess.","Alexandre Medeiros","2018","06","03","Alexandre Medeiros","1065","2018","06","03","Brasil","Santa Catarina","Balneário Camboriú","Barra APA Costa Branca","-48.595556","-27.006111","48º35'44''W","27º0'22''S","Frutos vermelhos e amarelo Habitat: Terrestre Habito: Arbóreo","CRI012448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:37-03","UNESC","CRI","13921","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","astringens","Eugenia astringens","Cambess.","Fabio Longen","2018","06","03","Alexandre Medeiros","948","2018","06","03","Brasil","Santa Catarina","Balneário Camboriú","Barra APA Costa Brava","-48.595556","-27.006111","48º35'44''W","27º0'22''S","Frutos amarelos esverdeados Habitat: Terrestre Habito: Arbórea","CRI012532","CRI012532",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:37-03","UNESC","CRI","10377","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","astringens","Eugenia astringens","Cambess.","Marcos Sobral","2011",NA,NA,"Vanilde Citadini-Zanette; Robson dos Santos & Aurélio José de Aguiar",NA,"2000","10","31","Brasil","Santa Catarina","Governador Celso Ramos","Praia de Palmas","-48.533333","-27.332778","48º32'0''W","27º19'58''S","Habito: Arbóreo","CRI014217","CRI014217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:44-03","UNESC","CRI","9122","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","astringens","Eugenia astringens","Cambess.","Ribeiro, C.L.","2019","08","05","L.A. Funez","372","2012","02","18","Brasil","Santa Catarina","Navegantes","Dunas de Navegantes, Meia Praia.","-48.634444","-26.854167","48º38'4''W","26º51'15''S","Habitat: restinga Habito: arbórea","CRI005131","CRI005131","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:44-03","UNESC","CRI","5460","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","umbelliflora","Eugenia umbelliflora","O.Berg","Marcos Sobral","1997","06","02","V. Citadini-Zanette; C. Galvani & C. Gouchante",NA,"1996","05","08","Brasil","Santa Catarina","Imbituba",NA,"-48.670556","-28.240556","48º40'14''W","28º14'26''S","Habitat: restinga Habito: arbórea","CRI005147","CRI005147","38","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:44-03","UNESC","CRI","983","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","umbelliflora","Eugenia umbelliflora","O.Berg","Marcos Sobral",NA,NA,NA,"V. Citadini-Zanette; M. Butuhy & A. J. de Aguar","1282","1988","09","08","Brasil","Santa Catarina","Jaguaruna","Lagoa do Camacho.","-49.025833","-28.615556","49º1'33''W","28º36'56''S",NA,"CRI005145","CRI005145","12","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:44-03","UNESC","CRI","7849","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","umbelliflora","Eugenia umbelliflora","O.Berg","Tais B. Guimarães","2005","05","26","Daniel B. Falkenberg; Tais B. Guimarães",NA,"2005","05","26","Brasil","Santa Catarina","Florianópolis","Parque Municipal das Dunas - Lagoa da Conceição.","-48.48","-27.592222","48º28'48''W","27º35'32''S","Restinga Habito: arbustiva","CRI005146","CRI005146","17","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","579761","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","apiocarpa","Eugenia apiocarpa","O.Berg","G. M. Barroso",NA,NA,NA,"D. S. D. de Araújo","8800","1989","05","15","Brazil","Rio de Janeiro","Campos","Mata Bom Jesus.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=668099' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579761","NY00579761_01",NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02636894","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","astringens","Eugenia astringens","Cambess.",NA,NA,NA,NA,"L.A. Gomes","654","2012","08","16","Brazil","Sergipe",NA,"Capela, RVS Mata do Junco: Borda de Mata.","-37.05862507213","-10.524659",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2293404' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636894","NY02636894_01",NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","557985","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","astringens","Eugenia astringens","Cambess.","M. Sobral",NA,NA,NA,"P. K. H. Dusén","8730","1909","10","02","Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479611' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557985",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
