"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","locality","phylum","order","minimumElevationInMeters","occurrenceRemarks","continentOcean","barcode","imagecode","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","individualCount","class","typeStatus"
"1","2021-01-17 13:47:17-03","MN","R","216437","PreservedSpecimen","Plantae","Moraceae","Dorstenia","sucrei","Dorstenia sucrei","Carauta","Machado, A.F.P.","Machado, A.F.P. 940; Carrijo, T.T.","940","2008","05","25","Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-17 13:47:17-03","MN","R","216438","PreservedSpecimen","Plantae","Moraceae","Dorstenia","sucrei","Dorstenia sucrei","Carauta","Vianna-Filho, M.D.M.","Carrijo, T.T. 1345; Monteiro, D.; Machado, A.F.P. & Vianna-Filho, M.D.M.",NA,"2008","03","27","Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto","2008","03","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:31:52-03","MN","R","216439","PreservedSpecimen","Plantae","Moraceae","Dorstenia","sucrei","Dorstenia sucrei","Carauta","Machado, A.F.P.","Machado, A.F.P.","941","2008","03",NA,"Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-17 13:47:17-03","MN","R","216440","PreservedSpecimen","Plantae","Moraceae","Dorstenia","sucrei","Dorstenia sucrei","Carauta","Machado, A.F.P.","Carrijo, T.T. 1345; Monteiro, D.; Machado, A.F.P. & Vianna-Filho, M.D.M.",NA,"2008","03","27","Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-17 13:47:17-03","MN","R","216444","PreservedSpecimen","Plantae","Moraceae","Dorstenia","sucrei","Dorstenia sucrei","Carauta","Vianna-Filho, M.D.M.","Carrijo, T.T. 1350; Monteiro, D.; Machado, A.F.P. & Vianna-Filho, M.D.M.",NA,"2008","03","27","Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto","2008","03","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-01-17 13:47:17-03","MN","R","216443","PreservedSpecimen","Plantae","Moraceae","Dorstenia","sucrei","Dorstenia sucrei","Carauta","Vianna-Filho, M.D.M.","Carrijo, T.T. 1349; Monteiro, D.; Machado, A.F.P. & Vianna-Filho, M.D.M.",NA,"2008","03","27","Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto","2008","03","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:31:52-03","MN","R","216441","PreservedSpecimen","Plantae","Moraceae","Dorstenia","sucrei","Dorstenia sucrei","Carauta","Machado, A.F.P.","Carrijo, T.T.","1347","2008","03",NA,"Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-17 13:47:17-03","MN","R","216442","PreservedSpecimen","Plantae","Moraceae","Dorstenia","sucrei","Dorstenia sucrei","Carauta","Vianna-Filho, M.D.M.","Carrijo, T.T. 1359; Monteiro, D.; Machado, A.F.P. & Vianna-Filho, M.D.M.",NA,"2008","03","27","Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto","2008","03","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-17 13:47:17-03","MN","R","212065","PreservedSpecimen","Plantae","Moraceae","Dorstenia","sucrei","Dorstenia sucrei","Carauta",NA,"Carrijo,T.T 1440; Machado,A.F.P",NA,"2008","05",NA,"Brasil","Espirito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto",NA,NA,NA,"Estação Biológica Santa Lúcia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-17 13:47:17-03","MN","R","212063","PreservedSpecimen","Plantae","Moraceae","Dorstenia","sucrei","Dorstenia sucrei","Carauta",NA,"Machado, A.F.P.","677","2008","03","15","Brasil","Espirito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto",NA,NA,NA,"Estação Biológica Santa Lúcia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-01-17 13:47:17-03","MN","R","212064","PreservedSpecimen","Plantae","Moraceae","Dorstenia","sucrei","Dorstenia sucrei","Carauta",NA,"Machado, A.F.P.","688","2008","03","16","Brasil","Espirito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto",NA,NA,NA,"Estação Biológica Santa Lúcia - Trilha do Indaiá-açú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0045067","PreservedSpecimen","Plantae","Moraceae","Dorstenia","sucrei","Dorstenia sucrei",NA,"J. P. P. Carauta","G. Hatschbach; M. Hatschbach & J. M. Silva","71411","2000","10","18","Brazil","Espirito Santo",NA,"-40.74931","-20.635712",NA,NA,NA,NA,NA,"Santa Luzia (Mun. Alfredo Chaves)","Magnoliophyta","Rosales","900","Ascendente, até 50cm.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:35:52-03","MBM","MBM","255097","PreservedSpecimen","Plantae","Moraceae","Dorstenia","sucrei","Dorstenia sucrei","J.P. Carauta","Carauta, J.P.","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","71411",NA,NA,NA,"Brazil","Espírito Santo","Alfredo Chaves","-40.749698638916","-20.6350002288818","32447","auto",NA,NA,NA,"Santa Luzia",NA,NA,NA,NA,"Southern America","MBM255097","MBM255097",NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:35:52-03","MBM","MBM","169309","PreservedSpecimen","Plantae","Moraceae","Dorstenia","sucrei","Dorstenia sucrei","J.P. Carauta","Romaniuc Neto, E.","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","61146",NA,NA,NA,"Brazil","Espírito Santo","Alfredo Chaves","-40.749698638916","-20.6350002288818","32447","auto",NA,NA,NA,"São Bento de Urânia, rodovia para Castelinho",NA,NA,NA,NA,"Southern America","MBM169309","MBM169309",NA,NA,NA,NA,NA,NA
"15","2020-12-11 11:38:53-03","UFMG","BHCB","51186","PreservedSpecimen","Plantae","Moraceae","Dorstenia","sucrei","Dorstenia sucrei","Carauta",NA,"Lombardi, JA","3676","2000","03","25","Brasil","Minas Gerais","Caratinga","-41.818889","-19.736389",NA,NA,"2007","07",NA,"Fazenda Montes Claros, Cascata próxima ao lago na trilha do Matão.","Dicotyledon",NA,NA,"Erva, ca. 0.3 m, com látex, folhas cartáceas, inflorescências verdes externamente, bordas arroxeadas, centro creme.; Mata atlântica secundária, junto a curso d'água.","Southern America","BHCB039443",NA,"-41.818889","-19.736389",NA,NA,NA,NA
"16","2020-12-11 11:38:53-03","UFMG","BHCB","98658","PreservedSpecimen","Plantae","Moraceae","Dorstenia","sucrei","Dorstenia sucrei","Carauta",NA,"Salino, A; Almeida, TE; Heringer, G","10974","2006","05","09","Brasil","Minas Gerais","Santa Rita do Itueto","-41.372944","-19.278333",NA,NA,"2007","07",NA,"Parque Estadual de Sete Salões., Trilha para a Gruta de Sete Salões e Pico do Garrafão a partir da fazenda dos Correa.","Dicotyledon",NA,"820","Arbusto com 50-100cm de altura, sobre rocha com humos no interior da mata. Inflorescência verde.; Área com Floresta Estacional Semidecidual e Campo Rupestre.","Southern America","BHCB039464",NA,"-41.372944","-19.278333","820",NA,NA,NA
"17","2020-12-11 11:38:53-03","UFMG","BHCB","22389","PreservedSpecimen","Plantae","Moraceae","Dorstenia","sucrei","Dorstenia sucrei","Carauta",NA,"Costa, LVC; et al.","s.n.","1991","09","25","Brasil","Minas Gerais","Caratinga","-42.1391983032227","-19.7896995544434","49886","auto","2007","07",NA,"Estação Biológica de Caratinga","Dicotyledon",NA,NA,"Herbáceo.; Floresta atlântica","Southern America","BHCB039457",NA,NA,NA,NA,NA,NA,NA
