"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem","typeStatus"
"1","2016-09-29 18:42:00-03","NY","NYBG","402830","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Tabebuia","obtusifolia","Tabebuia obtusifolia","A. H. Gentry","J. A. de Jesus","393","1969","03","11","South America","Brazil","Bahia","Ilhéus","Plantaçao de Cacau.","-39.0492","-14.7892","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769863' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402830","NY00402830_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 18:42:00-03","NY","NYBG","402831","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Tabebuia","obtusifolia","Tabebuia obtusifolia",NA,"R. F. de Oliveira","159","1973","10","31","South America","Brazil","Rio de Janeiro","Rio de Janeiro","GB, Baixada de Jacarepaguá, Restinga de Itapeba, Taxas.","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769865' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402831","NY00402831_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","402832","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Tabebuia","obtusifolia","Tabebuia obtusifolia","A. H. Gentry","A. F. M. Glaziou","1477",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769864' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402832","NY00402832_01","(Cham.) Bureau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:11:55-03","UFBA","ALCB","027165","PreservedSpecimen","Plantae","Dicotyledon",NA,"Bignoniaceae","Tabebuia","obtusifolia","Tabebuia obtusifolia","Queiroz, LP de","Guedes, ML","2264","1990","02","14","Southern America","Brasil","Pernambuco","Recife","Mata de Dois Irmãos, mod. 11. ind.550.","-34.8810997009277","-8.05389022827148",NA,"de 11,50m de altura, com 30 cm de CAP. Folhas coriáceas, discolores, com a face abaixal brilhante. Madeira amarela.",NA,NA,"(Cham.) Bureau","18865","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:24:42-03","MN","R","12367","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Tabebuia","obtusifolia","Tabebuia obtusifolia",NA,"Glaziou, A.F.M.","1477","1863","07","28",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000012367","R000012367_001","(Cham.) Bureau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-07-02 14:01:12-03","JBP","HPL","12729","S","Plantae",NA,NA,"Bignoniaceae","Tabebuia","obtusifolia","Tabebuia obtusifolia",NA,"T.B. Flores, J.S. Ciqueria, D. Folli","218","2009","08","27",NA,"Brasil","ES","Linhares","Reserva Natural Vale. Arboreto- Vale.","-40.0722","-19.3911",NA,NA,NA,NA,"(Cham.) Bureau","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-02-15 11:35:09-02","IPA","IPA","16860","S","Plantae","Plantae",NA,"Bignoniaceae","Tabebuia","obtusifolia","Tabebuia obtusifolia","Gentry, A.","Jesus, J.A. de","393","1969","03","11","Southern America","Brasil","Bahia","Ilhéus","CEPEC, plantação de café.","-39.0494003295898","-14.7889003753662",NA,"Árvore 15m x 25cm. Flores verdes e arroxeadas com as pontas das pétalas brancas, estigma esverdeado e anteras cremes.","IPA0016860",NA,"(Cham.) Bureau","61245","auto","1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-02-15 11:35:09-02","IPA","IPA","10264","S","Plantae","Plantae",NA,"Bignoniaceae","Tabebuia","obtusifolia","Tabebuia obtusifolia","Gehrt, A.","Pickel, B.","4732","1940","03","20","Southern America","Brasil","São Paulo","Santos","mangue do matadouro; à margem enxuta do mangue.","-46.3300018310547","-23.9599990844727",NA,NA,"IPA0010264",NA,"(Cham.) Bureau","26836","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-07-26 11:39:33-03","IPA","IPA","10265","S","Plantae","Plantae",NA,"Bignoniaceae","Tabebuia","obtusifolia","Tabebuia obtusifolia",NA,"Magalhães, M.","10265","1936","09",NA,"Southern America","Brasil","São Paulo","Ubatuba","Horto Florestal, (Herb. Mus. Flor.274)","-45.0699996948242","-23.4300003051758",NA,NA,"IPA0010265",NA,"(Cham.) Bureau","34265","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-20 21:16:17-03","UFV","VIC","20054","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Tabebuia","leucoxyla","Tabebuia leucoxyla","Vathmo, I. de","Marquete, R.","425","1994","08","08",NA,"Brasil","Rio de Janeiro","Paraty","APA-Cairuçu - Laranjeiras, Praia Vermelha. Altitude de 0 m.s.m.","-44.5","-23.166667",NA,"Árvore; folhas coriáceas; flores alvas.","VIC020054","VIC020054","(Vell.) DC.",NA,NA,"1994","11","12","-44.5","-23.166667",NA,NA,NA,NA,NA,NA,NA
