"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","class","order","typeStatus","individualCount","coordinatePrecision","geoFlag"
"1","2019-10-09 11:09:49-03","UFBA","ALCB","105751","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Aspilia","prostrata","Aspilia prostrata","J.U. Santos","Alves, M","2016","06","Ogasawara, HA; Stadnik, A; Borges, RL; Hurbath, F","288","2013","01","21","Southern America","Brasil","Bahia","Licínio de Almeida","Pedra Preta.","-42.553333","-14.754444","-42.553333","-14.754444","1036","1036","ca. 40-70 cm. Folhas discolores. Brácteas involucrais verdes mais externas mais escuras, Corolas amarelas. Anteras negras, ramos do estilete amarelos e negros.",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:09:49-03","UFBA","ALCB","129312","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Aspilia","prostrata","Aspilia prostrata","J.U. Santos","Alves, M","2017","09","Ogasawara, HA; Hurbath, F; Lopes, R; Stadnik, A","302","2013","01","22","Southern America","Brasil","Bahia","Licínio de Almeida","Serra Geral. Cascarrento.","-42.5075","-14.682222","-42.5075","-14.682222",NA,NA,"brácteas involucrais verdes, corolas amarelas.","ALCB046859","ALCB046859",NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:09:49-03","UFBA","ALCB","129459","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Aspilia","prostrata","Aspilia prostrata","J.U. Santos","Alves, M","2017","10","Alves, M; Hurbath, F; Stadnik, A; Borges, RL","173","2013","05","24","Southern America","Brasil","Bahia","Licínio de Almeida","Saco da Onça.","-42.570833","-14.770833","-42.570833","-14.770833","1039","1039","até 30 cm de alt. Folhas levemente discolores. Brácteas involucrais verdes. Corolas amarelas. Anteras com tecas negras.","ALCB046984","ALCB046984",NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:09:49-03","UFBA","ALCB","129460","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Aspilia","prostrata","Aspilia prostrata","J.U. Santos","Alves, M","2017","10","Alves, M; Hurbath, F; Stadnik, A; Borges, RL","194","2013","05","24","Southern America","Brasil","Bahia","Jacaraci","Subindo o Morro do Chapéu.","-42.519444","-14.883333","-42.519444","-14.883333","1196","1196","até 40 cm alt. Folhas discolores. Brácteas involucrais verdes. Corolas amrelas. Anteras com tecas negras.","ALCB046985","ALCB046985",NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:09:49-03","UFBA","ALCB","129461","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Aspilia","prostrata","Aspilia prostrata","J.U. Santos","Alves, M","2017","10","Alves, M; Roque, N; Cordeiro, I; Hurbath, F","318","2014","02","22","Southern America","Brasil","Bahia","Licínio de Almeida","Cascarrento.","-42.557778","-14.550833","-42.557778","-14.550833","1003","1003","até 30 cm alt. Folhas discolores. Brácteas involucrais verdes. Corolas amarelas.","ALCB046986","ALCB046986",NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:09:49-03","UFBA","ALCB","129462","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Aspilia","prostrata","Aspilia prostrata","J.U. Santos","Alves, M","2017","10","Alves, M; Roque, N; Cordeiro, I; Hurbath, F","321","2014","02","23","Southern America","Brasil","Bahia","Jacaraci","Em direção ao Morro do Chapéu.","-42.519444","-14.882778","-42.519444","-14.882778","1199","1199","até 0,3 m alt. Folhas discolores. Brácteas involucrais verde-claras com ápice verde-escuro. Corolas amarelas. Anteras com tecas negras.","ALCB046987","ALCB046987",NA,NA,NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","2922484","PreservedSpecimen","Plantae",NA,"Asteraceae","Aspilia","prostrata","Aspilia prostrata","J.U. Santos","Alves, M.",NA,NA,"R. M. King & L. E. Bishop","8442","1981","1","14","South America - Neotropics","Brazil","Minas Gerais",NA,"Serra do Cipo at Chapeu de Sol",NA,NA,NA,NA,"1006",NA,NA,"US01765754","US01765754_01 US01765754_02","Dicotyledonae","Asterales","Isotype","1",NA,NA
"8","2019-10-07 09:11:06-03","UEFS","HUEFS","194994","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Aspilia","prostrata","Aspilia prostrata","J.U.Santos","M.Alves","2015","03","Santana, F.A.","101","2011","12","22",NA,"Brasil","Bahia","Licínio de Almeida","Serra Geral, Espinhaço.","-42.535556","-14.481389","42W32'8''","14S28'53''","1007","1007","Cerrado.","HUEFS0194994","HUEFS0194994","Asteranae","Asterales",NA,NA,NA,NA
"9","2019-10-07 09:11:06-03","UEFS","HUEFS","194984","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Aspilia","prostrata","Aspilia prostrata","J.U.Santos","M.Alves","2015","03","Santana, F.A.","91","2011","12","20",NA,"Brasil","Bahia","Licínio de Almeida","Serra Geral, Serra do Saco da Onça.","-42.573889","-14.740833","42W34'26''","14S44'27''","980","980","Cerrado.","HUEFS0194984","HUEFS0194984","Asteranae","Asterales",NA,NA,NA,NA
"10","2019-10-07 09:11:06-03","UEFS","HUEFS","194991","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Aspilia","prostrata","Aspilia prostrata","J.U.Santos","M.Alves","2015","03","Santana, F.A.","98","2011","12","22",NA,"Brasil","Bahia","Licínio de Almeida","Serra Geral, Espinhaço.","-42.535556","-14.481389","42W32'8''","14S28'53''","1007","1007","Cerrado.","HUEFS0194991","HUEFS0194991","Asteranae","Asterales",NA,NA,NA,NA
"11","2019-10-07 09:11:06-03","UEFS","HUEFS","236594","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Aspilia","prostrata","Aspilia prostrata","J.U.Santos","M.Alves","2017","10","Alves, M.","194","2013","05","24",NA,"Brasil","Bahia","Jacaraci","Subindo o Morro do Chapéu.","-42.519444","-14.883333","42W31'10''","14S53'0''","1196","1196","Campo rupestre.","HUEFS0236594","HUEFS0236594","Asteranae","Asterales",NA,NA,NA,NA
"12","2019-10-07 09:11:06-03","UEFS","HUEFS","236596","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Aspilia","prostrata","Aspilia prostrata","J.U.Santos","A.Alves","2017","10","Alves, M.","318","2014","02","22",NA,"Brasil","Bahia","Licínio de Almeida","Cascarrento.","-42.557778","-14.550833","42W33'28''","14S33'3''","1003","1003","Campo rupestre.","HUEFS0236596","HUEFS0236596","Asteranae","Asterales",NA,NA,NA,NA
"13","2019-10-07 09:11:06-03","UEFS","HUEFS","236597","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Aspilia","prostrata","Aspilia prostrata","J.U.Santos",NA,"2017","10","Alves, M.","321","2014","02","23",NA,"Brasil","Bahia","Jacaraci","Em direção ao Morro do Chapéu.","-42.519444","-14.882778","42W31'10''","14S52'58''","1199","1199","Campo rupestre.","HUEFS0236597","HUEFS0236597","Asteranae","Asterales",NA,NA,NA,NA
"14","2019-10-07 09:11:06-03","UEFS","HUEFS","231040","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Aspilia","prostrata","Aspilia prostrata","J.U.Santos",NA,NA,NA,"Stadnik,A.","323","2015","05","13",NA,"Brasil","Bahia","Licínio de Almeida","Cascarrento","-42.5074996948242","-14.6822004318237",NA,NA,NA,NA,NA,"HUEFS0231040","HUEFS0231040","Asteranae","Asterales",NA,NA,"31339","auto"
"15","2019-12-04 16:39:46-03","FFCLRP","SPFR","5395","PreservedSpecimen","Plantae",NA,"Asteraceae","Aspilia","prostrata","Aspilia prostrata","J.U.Santos","Alves,M.","2017","02","Da Costa,F.B.; Vichnewski,W.; Veneziani,R.C.S.","37","1997","10","20",NA,"Brasil","Minas Gerais","Capitólio","Rod. MG-050, Furnas-Capitólio, próximo à margem direita, encosta do morro.","-46.0499992370605","-20.6152992248535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29474","auto"
"16","2019-11-01 14:53:11-03","UnB","UB","7936","PreservedSpecimen","Plantae","Dicotyledoneae","Asteraceae","Aspilia","prostrata","Aspilia prostrata","J.U. Santos","Santos, JUM",NA,NA,"Killip, EP; Bishop, LE","8442","1981","01","14","Southern America","Brasil","Minas Gerais",NA,"Serra do Cipó. Chapéu de Sol",NA,NA,NA,NA,"3300","3300","Prostrada sobre o solo.; Erva 0,4m. Flor amarela; .","UB0036816","UB0036816",NA,NA,"holotype",NA,NA,NA
