"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1240078","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Raddia","angustifolia","Raddia angustifolia","Soderstr. & Zuloaga","isotype","T. R. Soderstrom","2110","1976","04","04","South America","Brazil","Bahia","Itaju do Colônia","Fazenda Uruguayana and vicinity, 8 km S of Santa Cruz da Vitória","-39.7244","-15.1425","210","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1505009' target='other'> <mi>dwc_moreinfo</mi></a>","NY01240078","NY01240078_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-19 15:45:28-03","UNEB","HUNEB","7406","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Poaceae","Raddia","angustifolia","Raddia angustifolia","Soderstrom & Zuloaga",NA,"Góes-Neto, A.",NA,"1995","12",NA,NA,"Brasil","Bahia","Cachoeira","Fazenda Favela","-38.9557991027832","-12.6183004379272",NA,NA,NA,"HUNEB0007406",NA,"Monocotyledoneae","26884","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:19:57-03","NBC","NL-BOTANY","L.3801932","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Raddia","angustifolia","Raddia angustifolia","J.Söderstr. & Zuloaga",NA,"Soderstrom TR; Russel GF; Hage J",NA,"1976","04","04","Southern America","Brazil",NA,NA,"Bahia: Municipio Itajú do Colónia: Fazenda Uruguayana and vicinity, 8 km south of Santa Cruz da Vitória, left on auxiliary road 1.5km.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3801932 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3801932","NL-L3801932","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-02-15 11:48:23-02","IPA","IPA","66687","S","Plantae","Plantae",NA,"Poaceae","Raddia","angustifolia","Raddia angustifolia","Soderstr. & Zuloaga",NA,"Soderstrom, T.R.","2110","1976","04","04","Southern America","Brasil","Bahia","Itaju do Colônia","8 Km of Santa Cruz da Vitória.","-39.7243995666504","-15.1424999237061",NA,NA,NA,"IPA0066687",NA,NA,"26963","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-02-15 11:48:23-02","IPA","IPA","15003","S","Plantae","Plantae",NA,"Poaceae","Raddia","angustifolia","Raddia angustifolia","Soderstr. & Zuloaga",NA,"Thomas, R.; Soderstrom, G.F.; Russel; Hage, J.; Soderstrom, G.F.; Russel; Hage, J.","2173","1976","04","28","Southern America","Brasil","Bahia","Ubaira","Km east of Ubaira on road to Munuipe. Open woodland on slope, diffuse ligth, leafmold on sandy soil. Some Bromeliaceae, Anthurium, hardly any epiphytes but many Bambusoideae (Piresia, Raddia, Sterptocheata).","-39.6627998352051","-13.2680997848511",NA,NA,"Elev. 340m. Short-rizomatous plants in leaf mold on sandy soil, locally common on slopes.The silt roots form a thick mat at the base of the plant that elevates it above vegetative only while those nearby in a clearing, where exposed t","IPA0015003",NA,NA,"29816","auto","Oliveira, R.P.","1976","04","28",NA,NA,NA,NA,NA,NA
"6","2019-11-27 13:51:57-03","UFS","ASE","2712","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poaceae","Raddia","angustifolia","Raddia angustifolia","Soderstr & Zuloaga",NA,"Almeida, MN de","91","1982","08","11","Southern America","Brasil","Sergipe","Frei Paulo","Faz. Serras","-37.534167","-10.549444",NA,NA,"Erva. Folhas simples e alternas. Erva de sombra de mata. Lâmina com ápice apiculado.; Erva. Folhas simples e alternas. Erva de sombra de mata. Lâmina com ápice apiculado.; Caatinga hipoxerófila","ASE0006445","ASE0006445",NA,NA,NA,"Filgueiras","2003","03","10","-37.534167","-10.549444",NA,NA,NA,NA
"7","2020-04-22 16:26:53-03","UFPB","JPB","27555","PreservedSpecimen","Plantae","Angiosperma","Monocotyledon","Poaceae","Raddia","angustifolia","Raddia angustifolia","Soderst. & Zuloaga",NA,"Silva, AG da; Nascimento, LM","292","2000","04","28","Southern America","Brasil","Pernambuco","Brejo da Madre de Deus","Mata do Malhada, Trilha em mata.","-36.417722","-8.187333","656",NA,"; HABITAT: Mata estacional.; DESC: Erva com cerca de 20cm de altura. Flores com sépalas verde e estames escuros. Ocasional.",NA,NA,NA,NA,NA,"Oliveira, RP","2009","01",NA,"-36.417722","-8.187333","960",NA,NA,NA
"8","2007-10-09 16:13:42-03","MNHN","RECOLNAT_MNHN_P","P00405003","PreservedSpecimen",NA,NA,NA,"Poaceae","Raddia","angustifolia","Raddia angustifolia","Soderstr. & Zuloaga","isotype","Soderstrom, T.R.|Russell, G.F.|Hage, J.",NA,"1976","4","4",NA,"Brésil",NA,NA,"Bahia",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00405003' target='other'> <mi>dwc_moreinfo</mi></a>","P00405003",NA,NA,NA,NA,"Soderstrom",NA,NA,NA,NA,NA,NA,"2110",NA,NA
"9","2015-09-15 19:57:23-03","MNHN","RECOLNAT_MNHN_P","P00405004","PreservedSpecimen",NA,NA,NA,"Poaceae","Raddia","angustifolia","Raddia angustifolia","Soderstr. & Zuloaga","isotype","Soderstrom, T.R.|Russell, G.F.|Hage, J.",NA,"1976","4","4",NA,"Brésil",NA,NA,"Bahia",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00405004' target='other'> <mi>dwc_moreinfo</mi></a>","P00405004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2110",NA,NA
"10","2013-05-14 15:32:48-03","MNHN","RECOLNAT_MNHN_P","P00409089","PreservedSpecimen",NA,NA,NA,"Poaceae","Raddia","angustifolia","Raddia angustifolia","Soderstr. & Zuloaga",NA,"Soderstrom, T.R.|Russell, G.F.|Hage, J.",NA,"1976","4","28",NA,"Brazil",NA,NA,"Bahia. Municipio Ubaira: 3 km east of Ubaira on road to Munuipe",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00409089' target='other'> <mi>dwc_moreinfo</mi></a>","P00409089",NA,NA,NA,NA,"Oliveira",NA,NA,NA,NA,NA,NA,"2173",NA,NA
