"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","infraspecificEpithet","typeStatus","class","relatedCatalogItem","individualCount","fieldNumber","previousCatalogNumber","sex"
"1","2021-04-05 14:33:44-03","UNESC","CRI","6630","PreservedSpecimen","Plantae","Meliaceae","Trichilia","lepidota","Trichilia lepidota","Mart.","T. D. Pennington","R. Reitz; R. M. Klein","1956","06","08","Brasil","Santa Catarina","Palhoça","Pilões.","-48.668056","-27.645833","48º40'5''W","27º38'45''S","4","4","Habito: arbórea","CRI004668","CRI004668",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:44-03","UNESC","CRI","8471","PreservedSpecimen","Plantae","Meliaceae","Trichilia","lepidota","Trichilia lepidota","Mart.","Vanilde C. Zanette","Kleber Haileê Emerich","2008","01","01","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S","30","30","Habitat: mata ciliar","CRI004666","CRI004666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:44-03","UNESC","CRI","5290","PreservedSpecimen","Plantae","Meliaceae","Trichilia","lepidota","Trichilia lepidota","Mart.","J. A. Jarenkow","J. A. Jarenkow; D. B. Falkenberg","1993","01","09","Brasil","Rio Grande do Sul","Morrinhos do Sul","Perdida.","-49.935","-29.365556","49º56'6''W","29º21'56''S","21","21","Habito: arbórea","CRI004660","CRI004660","2264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:44-03","UNESC","CRI","6900","PreservedSpecimen","Plantae","Meliaceae","Trichilia","lepidota","Trichilia lepidota","Mart.","T. D. Pennington","R. Reitz; R. M. Klein","1954","07","02","Brasil","Santa Catarina","Itajaí","Morro da fazenda.","-48.662222","-26.908333","48º39'44''W","26º54'30''S","4","4","Habito: arbórea","CRI004671","CRI004671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:44-03","UNESC","CRI","2127","PreservedSpecimen","Plantae","Meliaceae","Trichilia","lepidota","Trichilia lepidota","Mart.","T. D. Pennington","R. Reitz; R. M. Klein","1954","07","02","Brasil","Santa Catarina","Itajaí","Morro da Fazenda.","-48.662222","-26.908333","48º39'44''W","26º54'30''S","4","4","Habito: arbórea","CRI004663","CRI004663",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:44-03","UNESC","CRI","2129","PreservedSpecimen","Plantae","Meliaceae","Trichilia","lepidota","Trichilia lepidota","Mart.","T.D. Pennington","R. Reitz","1958","07","29","Brasil","Santa Catarina","Rio do Sul",NA,"-49.642778","-27.226389","49º38'34''W","27º13'35''S",NA,NA,NA,"CRI004673","CRI004673",NA,"1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:44-03","UNESC","CRI","2105","PreservedSpecimen","Plantae","Meliaceae","Trichilia","lepidota","Trichilia lepidota","Mart.","T. D. Pennington","R. Reitz; R. M. Klein","1956","06","08","Brasil","Santa Catarina","Palhoça","Pilões.","-48.668056","-27.645833","48º40'5''W","27º38'45''S","4","4","Habito: arbórea","CRI004657","CRI004657",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:44-03","UNESC","CRI","6627","PreservedSpecimen","Plantae","Meliaceae","Trichilia","lepidota","Trichilia lepidota","Mart.","T. D. Pennington","R. Reitz; R. M. Klein","1954","07","02","Brasil","Santa Catarina","Itajaí",NA,"-48.670833","-26.910556","48º40'15''W","26º54'38''S",NA,NA,NA,"CRI004672","CRI004672","1922","1981","01","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:44-03","UNESC","CRI","2124","PreservedSpecimen","Plantae","Meliaceae","Trichilia","lepidota","Trichilia lepidota","Mart.","T. D. Pennington","R. Reitz; R. M. Klein","1957","12","19","Brasil","Santa Catarina","São Francisco do Sul","Tres Barras, Garuva.","-48.638333","-26.243889","48º38'18''W","26º14'38''S","21","21","Habito: arbórea","CRI004665","CRI004665",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:44-03","UNESC","CRI","2128","PreservedSpecimen","Plantae","Meliaceae","Trichilia","lepidota","Trichilia lepidota","Mart.","T. D. Pennington","R. Klein","1956","06","14","Brasil","Santa Catarina","Ibirama","Horto Florestal I. N. P.","-49.518056","-27.0575","49º31'5''W","27º3'27''S","158","158","Habito: arbórea","CRI004662","CRI004662",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
