"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","typeStatus","fieldNumber","sex"
"1","2021-04-05 14:25:35-03","UNESC","CRI","14984","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","elegans","Mollinedia elegans","Tul.","Verdi, M","2010","10","14","Verdi, M.; Martins, E.M. & Veiga, O.N.","5576","2010","08","27","Brasil","Paraná","Guaratuba","Morro dos Perdidos / APA Estadual de Guaratuba. Morro dos Perdidos / APA Estadual de Guaratuba.","-48.966667","-25.868889","48º58'W","25º52'8''S","954","954","CRI014382","CRI014382",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:35-03","UNESC","CRI","11988","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","elegans","Mollinedia elegans","Tul.","Aline Votri Guislon & Guilherme Alves Elias","2016","09","19","Robson dos Santos; Vanilde Citadini-Zanette; Aline Votri Guislon; Peterson Teodoro Padilha & Daniela Pacheco",NA,"2016","09","09","Brasil","Santa Catarina","Criciúma","Mata da Satc.","-49.408611","-28.705278","49º24'31''W","28º42'19''S","24.5","24.5","CRI010134","CRI010134","Habito: Arbusto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:35-03","UNESC","CRI","3307","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","elegans","Mollinedia elegans","Tul.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1920","1991","10","24","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004824","CRI004824",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:35-03","UNESC","CRI","3373","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","fruticulosa","Mollinedia fruticulosa","Perkins","A. L. Peixoto",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1969","1993","03","20","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004821","CRI004821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","592241","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","elegans","Mollinedia elegans","Tul.","S. F. Smith",NA,NA,NA,"R. A. Wasum","1156","2001","09","08","Brazil","Rio Grande do Sul","Sao Francisco de Paula","José Velho","-50.5833","-29.4483",NA,NA,"750","750","NY00592241","NY00592241_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=222356' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","454237","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","elegans","Mollinedia elegans","Tul.","M. R. C. Paiva",NA,NA,NA,"F. Chagas e Silva","1813","1995","10","05","Brazil","Paraná","Telêmaco Borba","Lagoa-harmonia","-50.6156","-24.3242",NA,NA,NA,NA,"NY00454237","NY00454237_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=222358' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","454250","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","elegans","Mollinedia elegans","Tul.","S. F. Smith",NA,NA,NA,"R. A. Wasum",NA,"1987","06","20","Brazil","Rio Grande do Sul","Caxias do Sul","Conceiçao","-51.1792","-29.1683",NA,NA,"750","750","NY00454250","NY00454250_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=222343' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","454239","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","elegans","Mollinedia elegans","Tul.","G. G. Hatschbach",NA,NA,NA,"A. C. Cervi","2888","1989","10","21","Brazil","Paraná","Ponta Grossa","Parque Estadual Vila Velha","-49.98","-25.25",NA,NA,NA,NA,"NY00454239","NY00454239_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=222362' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","454246","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","elegans","Mollinedia elegans","Tul.","A. Peixoto",NA,NA,NA,"G. G. Hatschbach","24964","1970","10","20","Brazil","Paraná","Ortigueira","Rio do Barreiro","-50.9492","-24.2083",NA,NA,NA,NA,"NY00454246","NY00454246_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=222359' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","454248","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","elegans","Mollinedia elegans","Tul.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","29826","1972","07","25","Brazil","Paraná","Bocaiúva do Sul","Cabeça D'Anta","-49.115","-25.2061",NA,NA,NA,NA,"NY00454248","NY00454248_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=222361' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
